File name,Range x,Range y,Range z,Bit depth,Prop. empty sl. x,Prop. empty sl. y,Prop. empty sl. z,Ocup. voxels x (min),Ocup. voxels x (max),Ocup. voxels x (mean),Ocup. voxels x (median),Ocup. voxels y (min),Ocup. voxels y (max),Ocup. voxels y (mean),Ocup. voxels y (median),Ocup. voxels z (min),Ocup. voxels z (max),Ocup. voxels z (mean),Ocup. voxels z (median),Bottom hor. x (min),Bottom hor. x (max),Bottom hor. x (mean),Bottom hor. x (median),Bottom hor. y (min),Bottom hor. y (max),Bottom hor. y (mean),Bottom hor. y (median),Bottom hor. z (min),Bottom hor. z (max),Bottom hor. z (mean),Bottom hor. z (median),Bottom vert. x (min),Bottom vert. x (max),Bottom vert. x (mean),Bottom vert. x (median),Bottom vert. y (min),Bottom vert. y (max),Bottom vert. y (mean),Bottom vert. y (median),Bottom vert. z (min),Bottom vert. z (max),Bottom vert. z (mean),Bottom vert. z (median),Top  hor. x (min),Top  hor. x (max),Top  hor. x (mean),Top  hor. x (median),Top  hor. y (min),Top  hor. y (max),Top  hor. y (mean),Top  hor. y (median),Top  hor. z (min),Top  hor. z (max),Top  hor. z (mean),Top  hor. z (median),Top vert. x (min),Top vert. x (max),Top vert. x (mean),Top vert. x (median),Top vert. y (min),Top vert. y (max),Top vert. y (mean),Top vert. y (median),Top vert. z (min),Top vert. z (max),Top vert. z (mean),Top vert. z (median),Entropy x (min),Entropy x (max),Entropy x (mean),Entropy y (min),Entropy y (max),Entropy y (mean),Entropy z (min),Entropy z (max),Entropy z (mean),SR entropy x (min),SR entropy x (max),SR entropy x (mean),SR entropy y (min),SR entropy y (max),SR entropy y (mean),SR entropy z (min),SR entropy z (max),SR entropy z (mean)
file0000,88118,26381,36857,17,0.9699383787832363,0.91391858085058,0.9317651527483857,0,2,0.03064038402614646,0.0,0,86,0.10234250625426428,0.0,0,14,0.0732541103695263,0.0,0.0,26381.0,11268.246130615327,10458.0,0.0,36857.0,18598.640241600606,18370.0,0.0,26381.0,11432.515288788221,10742.0,0.0,36857.0,18875.823707059266,19104.0,0.0,88118.0,39049.40158520475,33577.0,0.0,36857.0,18232.401585204756,17480.0,0.0,88118.0,41083.39145750771,37625.0,0.0,36857.0,19197.005724350507,19856.0,0.0,88118.0,39839.53280318091,36866.0,0.0,26381.0,11194.549105367792,10235.0,0.0,88118.0,41394.804373757455,39418.0,0.0,26381.0,11581.908946322068,11087.0,0.0,6.232010083224682e-08,9.850759768037186e-10,0.0,7.046859711385923e-07,1.0181786590701846e-09,0.0,1.7313511652456355e-07,1.0209036632059496e-09,0.0,0.002584651098570304,3.640986626524712e-08,0.0,0.0033535711244360067,2.3160178940314775e-07,0.0,0.003120445783796367,1.8341766056785538e-07
file0001.ply,87467,31864,34245,17,0.9682512461700279,0.9182802447826769,0.9208374700694971,0,3,0.03243471898294233,0.0,0,5,0.08903185313039384,0.0,0,3,0.08284179174210127,0.0,0.0,31864.0,15029.557796182931,14283.0,0.0,34245.0,17379.338854879366,17637.0,0.0,31864.0,15188.9247389269,14497.0,97.0,34245.0,17614.465250270077,17913.0,0.0,87207.0,43417.65552995392,44754.0,0.0,34245.0,17072.68932411674,17125.5,498.0,87467.0,45415.061059907835,47045.0,0.0,34245.0,17841.983486943165,18391.5,0.0,87467.0,43279.46624861674,44451.0,0.0,31864.0,14966.130210254518,14221.0,524.0,87467.0,44521.38399114718,46240.0,0.0,31864.0,15268.488011803762,14657.0,0.0,8.21473500034226e-08,9.339782015484566e-10,0.0,5.107929642439905e-08,9.733916188734644e-10,0.0,3.3618950066833125e-08,9.727729126238873e-10,0.0,0.00013780350999855357,4.6799545193686424e-09,0.0,0.0006958471395538897,8.909474131549052e-08,0.0,0.0001465075706041239,1.1545795285176562e-08
file0002.ply,88274,23491,38996,17,0.9702407250070801,0.9018389238889835,0.9383542323768495,0,26,0.031096006796941376,0.0,0,42,0.11684828877915886,0.0,0,27,0.07039003000230787,0.0,0.0,23491.0,9295.221164826798,8884.0,0.0,38996.0,19637.61210506281,19682.0,0.0,23491.0,9397.142367719833,9000.0,0.0,38996.0,19988.20441568329,20281.0,0.0,88274.0,38756.29921942758,35613.0,0.0,38996.0,19268.698612315697,18821.5,0.0,88274.0,41326.77666955767,40513.0,70.0,38996.0,20457.130095403296,21218.0,0.0,88274.0,39059.615640599004,36271.5,0.0,23491.0,9460.871880199667,9272.5,0.0,88274.0,40287.173044925126,38280.5,0.0,23491.0,9684.09983361065,9539.0,0.0,7.524618985401981e-07,1.0548360902934934e-09,0.0,3.383362766132353e-07,1.1066853197975836e-09,0.0,3.598349440871393e-07,1.0851148619981647e-09,0.0,0.006817284960102145,9.136383213871785e-08,0.0,0.006817284960102145,5.462523416644278e-07,0.0,0.005674047773486112,3.076940134027443e-07
file0003.ply,88950,24883,35887,17,0.9689491967487718,0.9008198038900498,0.9283604547481052,0,9,0.032006385538105246,0.0,0,23,0.11441086642018967,0.0,0,31,0.07933013820775747,0.0,0.0,24883.0,10395.33924692252,10034.5,0.0,35887.0,17424.217595944967,16658.5,0.0,24883.0,10505.807023895728,10325.0,0.0,35887.0,17708.488052136134,17165.0,0.0,88950.0,42963.84238249595,41993.0,0.0,35885.0,16871.24230145867,15958.5,0.0,88950.0,45279.08468395462,45822.5,0.0,35887.0,18176.989465153973,17956.0,0.0,88950.0,43494.57526254376,42797.0,0.0,24883.0,10453.057176196033,10283.0,0.0,88950.0,45039.76118241929,45609.0,36.0,24883.0,10763.167639050953,10521.0,0.0,2.8225284601907124e-07,1.1149454839789556e-09,0.0,2.0527521113905236e-07,1.1703669657594926e-09,0.0,3.855945048199456e-07,1.1525354674668643e-09,0.0,0.00041408050860676455,1.3711372618141273e-08,0.0,0.0030920980420083535,1.759911339258359e-07,0.0,0.0018591717551081925,1.0497841896107923e-07
file0004.ply,88439,25859,36172,17,0.9698100407055631,0.9056844547563805,0.9308047438697371,0,40,0.031580732700135686,0.0,0,55,0.1080046403712297,0.0,0,46,0.07721228540624223,0.0,0.0,25859.0,13254.01011235955,13094.0,0.0,36172.0,18485.00074906367,17724.0,0.0,25859.0,13381.005617977527,13271.5,0.0,36172.0,18760.385393258428,18284.5,0.0,88439.0,41470.92045920459,37827.0,0.0,36172.0,18241.270192701926,17039.0,0.0,88439.0,43113.70971709717,40067.0,0.0,36172.0,19175.29971299713,18864.0,0.0,88439.0,42312.66679984019,39653.0,0.0,25859.0,13204.969236915702,12865.0,0.0,88439.0,43435.14782261287,40570.0,0.0,25859.0,13492.84578505793,13310.0,0.0,1.1084409289881767e-06,1.0498594951165723e-09,0.0,4.682509746722699e-07,1.1019210252389354e-09,0.0,5.432563680956637e-07,1.0857677601803268e-09,0.0,0.005530456028729502,1.4562090341059099e-07,0.0,0.0026743517827768036,4.696289167388675e-07,0.0,0.00036223841547886287,4.8962547632792796e-08
file0005.ply,84379,27464,42355,17,0.9684522398672671,0.9133442563262334,0.9396779677023326,0,4,0.032318084854230864,0.0,0,17,0.09929000546149645,0.0,0,9,0.06438285012749079,0.0,0.0,27464.0,11411.19196093163,9712.5,0.0,42355.0,20626.587152516906,20235.5,0.0,27464.0,11564.46694214876,10113.0,0.0,42355.0,20969.43087903832,20883.0,0.0,84379.0,40139.02268907563,39154.5,0.0,42355.0,20132.550840336135,19108.0,0.0,84379.0,42148.5474789916,44775.5,0.0,42355.0,21424.23193277311,22067.0,0.0,84379.0,41002.76007827789,41470.0,0.0,27464.0,11351.34481409002,9538.0,0.0,84379.0,42475.560078277886,45637.0,0.0,27464.0,11817.149119373777,10559.0,0.0,1.0163530935588238e-07,8.753746134868553e-10,0.0,1.3836939407546475e-07,9.12601514581871e-10,0.0,1.1410769708171826e-07,9.004493503699935e-10,0.0,0.0006490662326406403,1.7115597780630815e-08,0.0,0.0006393926348481657,1.0975860061685034e-07,0.0,0.00013985891771255962,1.9037287993854775e-08
file0006.ply,87567,26348,38702,17,0.9676594189658323,0.9073589130517287,0.9312714776632303,0,3,0.03303718253243194,0.0,0,138,0.1097954381570458,0.0,0,27,0.07474872748882516,0.0,0.0,26348.0,11862.693855932202,11555.5,0.0,38560.0,19235.185734463277,19366.0,0.0,26348.0,12013.400423728814,11767.5,0.0,38702.0,19516.63100282486,19822.5,0.0,87507.0,39934.84555510037,37422.0,0.0,38702.0,18889.030725112658,18603.0,0.0,87567.0,41791.37771405162,40572.0,0.0,38702.0,19836.78451454322,20499.0,0.0,87567.0,41503.35977443609,40571.0,0.0,26348.0,11938.49097744361,11707.5,0.0,87567.0,42593.96052631579,42195.5,0.0,26348.0,12273.684962406014,12092.0,0.0,8.761652932636538e-08,1.014814551115318e-09,0.0,1.0583666599785257e-06,1.047891523431758e-09,0.0,3.2521036206046786e-07,1.0461637458335932e-09,0.0,0.007004955801403838,1.2796390790411564e-07,0.0,0.00887502381395882,8.459954910806332e-07,0.0,0.0012233541244460104,5.454638176375267e-08
file0007.ply,87358,25065,36572,17,0.9704094598152452,0.9025373015239767,0.9357722910343697,0,4,0.030231573163612222,0.0,0,3,0.10536184472991303,0.0,0,25,0.07221174090175812,0.0,0.0,25065.0,12063.15164410058,11429.0,0.0,36147.0,18204.58259187621,18262.0,0.0,25065.0,12201.836363636363,11558.0,0.0,36572.0,18540.200386847195,19161.0,0.0,87358.0,42620.59312320917,40158.0,0.0,36572.0,17806.146541137947,16992.0,0.0,87358.0,45038.334424887435,43412.0,0.0,36572.0,18849.295947605402,20254.0,0.0,87358.0,42758.00808854832,40043.0,0.0,25065.0,12173.550021285653,11525.0,0.0,87358.0,44758.79565772669,43168.0,19.0,25065.0,12642.500638569603,12150.0,0.0,1.2747199090677107e-07,1.0279508277143893e-09,0.0,2.9512753410513567e-08,1.0837348567972732e-09,0.0,3.176968830895289e-07,1.061289944628497e-09,0.0,0.0002521846252158436,8.035847110567175e-09,0.0,0.000561617545378521,8.64094128974908e-08,0.0,0.0031127477008046772,2.578739100343586e-07
file0008.ply,87424,29103,38102,17,0.9701229625393194,0.918327377680044,0.9396372989003491,0,12,0.03159279382327709,0.0,0,33,0.09490104452996152,0.0,0,67,0.07248773062488519,0.0,0.0,29103.0,13633.129402756509,12907.5,0.0,38102.0,18397.014165390505,17931.5,0.0,29103.0,13737.123660030627,13118.5,0.0,38102.0,18742.698698315467,18779.0,0.0,87424.0,42496.74084981069,42089.0,0.0,38102.0,18136.723180479596,17346.0,78.0,87424.0,44355.16196886832,44873.0,0.0,38102.0,19088.52797644089,20096.0,0.0,87424.0,41792.903913043476,40506.5,0.0,29103.0,13462.93347826087,12468.0,0.0,87424.0,43191.31782608695,41900.5,68.0,29103.0,13837.222608695653,12840.0,0.0,3.019535947472464e-07,8.926347596109043e-10,0.0,2.776950863955339e-07,9.282543802691837e-10,0.0,7.009961626050485e-07,9.109314668197159e-10,0.0,0.01905258908205301,2.261684790034225e-07,0.0,0.003402981461303106,1.7226768376256106e-07,0.0,0.005219012629547964,2.09942229759655e-07
file0009.ply,89695,25890,34806,17,0.969028719229397,0.9034799737360473,0.9258195190622576,0,7,0.03197466999643239,0.0,0,57,0.11077208296319184,0.0,0,36,0.08239721895021117,0.0,0.0,25890.0,11800.761339092873,11086.0,0.0,34806.0,17255.783297336213,17055.5,0.0,25890.0,11965.183585313174,11402.5,0.0,34806.0,17587.349172066235,17602.5,0.0,89680.0,43169.532613045216,41335.0,0.0,34806.0,16784.936774709884,16310.0,0.0,89695.0,45372.99519807923,45486.0,0.0,34806.0,17957.69587835134,18102.0,0.0,89680.0,43682.40588690937,42040.0,0.0,25890.0,11762.457397366383,10940.0,8.0,89695.0,44989.94035631294,44505.0,0.0,25890.0,12074.58714175058,11515.5,0.0,2.2046248178960433e-07,1.1042277507524934e-09,0.0,4.956777628158196e-07,1.1574170332136365e-09,0.0,4.2452598066240097e-07,1.143589133216852e-09,0.0,0.00021465247544885158,8.524320917608479e-09,0.0,0.003847451125599816,4.245257109520377e-07,0.0,0.0011930122195676317,8.340588800693849e-08
