File name,Range x,Range y,Range z,Bit depth,Prop. empty sl. x,Prop. empty sl. y,Prop. empty sl. z,Ocup. voxels x (min),Ocup. voxels x (max),Ocup. voxels x (mean),Ocup. voxels x (median),Ocup. voxels y (min),Ocup. voxels y (max),Ocup. voxels y (mean),Ocup. voxels y (median),Ocup. voxels z (min),Ocup. voxels z (max),Ocup. voxels z (mean),Ocup. voxels z (median),Bottom hor. x (min),Bottom hor. x (max),Bottom hor. x (mean),Bottom hor. x (median),Bottom hor. y (min),Bottom hor. y (max),Bottom hor. y (mean),Bottom hor. y (median),Bottom hor. z (min),Bottom hor. z (max),Bottom hor. z (mean),Bottom hor. z (median),Bottom vert. x (min),Bottom vert. x (max),Bottom vert. x (mean),Bottom vert. x (median),Bottom vert. y (min),Bottom vert. y (max),Bottom vert. y (mean),Bottom vert. y (median),Bottom vert. z (min),Bottom vert. z (max),Bottom vert. z (mean),Bottom vert. z (median),Top  hor. x (min),Top  hor. x (max),Top  hor. x (mean),Top  hor. x (median),Top  hor. y (min),Top  hor. y (max),Top  hor. y (mean),Top  hor. y (median),Top  hor. z (min),Top  hor. z (max),Top  hor. z (mean),Top  hor. z (median),Top vert. x (min),Top vert. x (max),Top vert. x (mean),Top vert. x (median),Top vert. y (min),Top vert. y (max),Top vert. y (mean),Top vert. y (median),Top vert. z (min),Top vert. z (max),Top vert. z (mean),Top vert. z (median),Entropy x (min),Entropy x (max),Entropy x (mean),Entropy y (min),Entropy y (max),Entropy y (mean),Entropy z (min),Entropy z (max),Entropy z (mean),SR entropy x (min),SR entropy x (max),SR entropy x (mean),SR entropy y (min),SR entropy y (max),SR entropy y (mean),SR entropy z (min),SR entropy z (max),SR entropy z (mean)
file0000,43597,78986,42966,17,0.9449974769484839,0.9739830605036272,0.9424907487141294,0,16,0.060094499747694846,0.0,0,469,0.033170015318976544,0.0,0,19,0.06097702888263085,0.0,0.0,78986.0,45855.1763969975,43601.0,0.0,42966.0,21139.361134278566,20343.5,0.0,78986.0,46843.53419516263,43601.0,0.0,42966.0,22087.361551292743,23234.0,0.0,43597.0,14448.155231143552,6408.0,0.0,42966.0,21463.74111922141,21177.0,0.0,43597.0,14873.503163017032,6491.0,0.0,42966.0,22156.913868613137,23041.0,0.0,43597.0,15857.488870902469,7353.0,0.0,78986.0,46624.130716309184,43601.0,0.0,43597.0,16675.74868474302,7818.0,0.0,78986.0,47605.25819506273,43601.0,0.0,1.3720393110211176e-07,5.827882725012683e-10,0.0,5.8515405039955355e-06,5.413498147229383e-10,0.0,1.5931970455172088e-07,5.841530866166423e-10,0.0,0.023959046315850975,1.830675686650423e-06,0.0,0.00077602273450375,4.000481822851977e-08,0.0,0.03213925433855835,1.9779072455294833e-06
file0001.ply,46132,76904,43785,17,0.9447467105976199,0.9677264157076914,0.9423560042022564,0,3,0.0577894348947608,0.0,0,34,0.03466614654443794,0.0,0,3,0.06088704152012059,0.0,0.0,76904.0,39230.33699489996,38572.0,0.0,43785.0,21335.395056885052,20798.0,0.0,76904.0,39958.826206355436,38727.0,0.0,43785.0,22104.92075323656,22235.0,0.0,46132.0,19107.589443996778,14669.0,0.0,43785.0,21408.692183722804,20783.0,0.0,46132.0,19598.300161160354,15611.0,0.0,43785.0,22192.173247381143,22617.0,0.0,46132.0,19758.14619651347,16683.0,0.0,76904.0,39301.68264659271,38590.5,0.0,46132.0,20187.21236133122,17718.5,0.0,76904.0,40320.753565768624,38780.5,0.0,2.8069481035539004e-08,5.663764195700325e-10,0.0,4.589529037818109e-07,5.518938568992817e-10,0.0,2.6705153204774185e-08,5.673424773943102e-10,0.0,0.0042102414482845935,6.06419501072416e-07,0.0,0.01896397257473527,1.071678268762507e-06,0.0,0.007363619802860137,1.198237284511409e-06
file0002.ply,49373,80286,33378,17,0.9515129420342691,0.9809931869418461,0.9319032924892897,0,22,0.05434034107019889,0.0,0,497,0.03341761430866765,0.0,0,36,0.08037987956499595,0.0,0.0,80286.0,42635.10275689223,38535.0,0.0,33378.0,16396.400584795323,15469.0,0.0,80286.0,43928.196741854634,38535.0,0.0,33378.0,17112.68128654971,16975.0,0.0,49373.0,17233.6500655308,9471.5,0.0,33378.0,16801.59239842726,15074.0,0.0,49373.0,17615.980996068152,9589.5,0.0,33378.0,17149.40760157274,16907.0,0.0,49373.0,18277.49846018478,10704.0,0.0,80286.0,44776.18917729872,38535.0,0.0,49373.0,19003.902331720194,11097.0,0.0,80286.0,45685.21733391993,38535.0,0.0,2.3234506878135138e-07,6.572918220405251e-10,0.0,6.967331516267607e-06,5.78851785892066e-10,0.0,2.55709626085323e-07,6.624344394836778e-10,0.0,0.011794896685406698,7.71109458159999e-07,0.0,0.0017182324939223686,3.575404836931864e-08,0.0,0.017072279528030435,1.9798737524317555e-06
file0003.ply,40120,82322,40170,17,0.9550609406545201,0.9824228951811765,0.9468024196559707,0,377,0.06644899179980558,0.0,0,584,0.032384631269511556,0.0,0,128,0.0663662841353215,0.0,0.0,82322.0,38453.85302273988,37610.0,0.0,40170.0,19682.358846367166,19098.0,0.0,82322.0,39214.19301164726,38286.0,0.0,40170.0,20284.197448696617,20012.0,0.0,40120.0,11538.455425017277,2443.0,0.0,40170.0,19505.801658604007,17993.0,0.0,40120.0,11766.798894263995,2443.0,0.0,40170.0,19943.489288182445,19267.0,0.0,40120.0,15528.284978942444,11608.0,0.0,82322.0,42960.510528778665,41474.0,0.0,40120.0,16200.43425362658,13226.0,0.0,82322.0,43653.786148806736,41474.0,0.0,2.793832137984879e-06,6.178350922130483e-10,0.0,8.275645295691913e-06,5.647694250092998e-10,0.0,1.0100766108243568e-06,6.410225353817806e-10,0.0,0.019924414025040665,1.1982139119219346e-06,0.0,0.0077878266829489945,1.9458409227191301e-07,0.0,0.035925580783167384,1.7798814673415475e-06
file0004.ply,47817,72890,48375,17,0.9462963737504705,0.9668683376548545,0.9480114106168348,0,6,0.05592036471621565,0.0,0,4,0.036684913089407474,0.0,0,15,0.05527534314536134,0.0,0.0,72890.0,39525.019470404986,37961.5,0.0,48375.0,24074.047118380062,24146.5,0.0,72890.0,39919.15459501558,38981.5,0.0,48375.0,24728.648753894082,25209.5,0.0,47817.0,22171.18592132505,19463.0,0.0,48375.0,23680.4082815735,23269.0,0.0,47817.0,23075.349896480333,21388.0,0.0,48375.0,25205.71138716356,26430.0,0.0,47817.0,22362.96023856859,20005.0,0.0,72890.0,39482.541948310136,38512.0,0.0,47817.0,22948.376143141155,20964.0,48.0,72890.0,40371.81510934394,39635.0,0.0,5.2022130476424404e-08,5.24509649125278e-10,0.0,5.2826196891861824e-08,5.12974324420526e-10,0.0,1.2581197072430728e-07,5.2309997759759e-10,0.0,0.01644040502634352,4.921247903973308e-07,0.0,0.0074032332959609905,9.58537259743214e-07,0.0,0.003916730083100111,1.0143438623193255e-07
file0005.ply,48945,70566,50678,17,0.944837167490704,0.9640766930718324,0.9471575997947868,0,4,0.05759408327544641,0.0,0,13,0.0399478509785027,0.0,0,14,0.055624617691746085,0.0,0.0,70566.0,32750.741851851853,31246.5,0.0,50678.0,25017.61,24986.5,0.0,70566.0,33310.38333333333,31386.5,0.0,50678.0,25587.487777777777,25608.0,0.0,48945.0,21178.250493096646,20286.0,0.0,50500.0,24638.22721893491,24483.0,0.0,48945.0,22066.21459566075,22064.0,0.0,50678.0,25819.89980276134,26057.0,0.0,48945.0,21610.52427184466,20989.0,0.0,70566.0,32917.00485436893,31268.5,0.0,48945.0,22133.023151605677,22000.0,0.0,70566.0,33472.43465272591,31427.5,0.0,3.487269711608981e-08,5.329359894851317e-10,0.0,1.5172270072606305e-07,5.222049758306085e-10,0.0,1.1884672141828677e-07,5.313910974550637e-10,0.0,0.0015906965387993469,5.8656443750394004e-08,0.0,0.00433363544779865,3.365833716343644e-07,0.0,0.0002584406092523188,1.772536202148165e-08
file0006.ply,50438,65264,54858,16,0.9479371121552767,0.9605914349191756,0.9515302867350844,0,3,0.054164436249727395,0.0,0,3,0.04186010878725197,0.0,0,3,0.04980039738238028,0.0,0.0,65264.0,38884.12071591774,35471.0,0.0,54858.0,27881.37357197258,27883.0,0.0,65264.0,39457.21820258949,36248.5,0.0,54858.0,28521.41660319878,28924.5,0.0,50438.0,20778.697122861588,18026.0,0.0,54858.0,27721.13063763608,27715.5,0.0,50438.0,21389.145800933125,18543.5,0.0,54858.0,28591.199844479004,29151.5,0.0,50438.0,21200.217751034223,18417.0,0.0,65264.0,38979.054531778864,35632.0,0.0,50438.0,21589.262504701015,18832.0,0.0,65264.0,39458.73486273035,36238.0,0.0,2.6473664955210653e-08,5.007681411517709e-10,0.0,3.3852242600404364e-08,4.945166461743783e-10,0.0,2.8683125637172312e-08,4.99304423190765e-10,0.0,0.023601646914854363,4.877607416852513e-07,0.0,0.0017604990542493002,5.42341328652013e-08,0.0,0.0015753972533509087,5.848449047605465e-08
file0007.ply,35175,82910,43397,17,0.9404139185808505,0.9708120755991364,0.9429236370339646,0,92,0.07360131908119172,0.0,0,23,0.031226254658609835,0.0,0,3,0.05965712705654638,0.0,0.0,82889.0,38615.66125954199,39725.0,0.0,43397.0,20768.19322519084,19382.5,0.0,82910.0,40167.72996183206,40167.5,0.0,43397.0,22234.820610687024,23051.5,0.0,35175.0,14378.714049586777,6796.5,0.0,43397.0,21155.602892561983,20573.5,0.0,35175.0,14893.046280991735,7100.0,0.0,43397.0,21869.688842975207,22363.5,0.0,35175.0,14749.28704077513,7211.0,0.0,82910.0,37632.70205894227,38332.0,0.0,35175.0,15253.214372224465,8589.0,0.0,82910.0,38547.664917238595,39176.0,0.0,6.817532010676899e-07,6.618889090999535e-10,0.0,4.1322487444478334e-07,6.499227153787587e-10,0.0,3.2195668212284495e-08,6.7086077602987e-10,0.0,0.006122957463543048,9.632560284834552e-07,0.0,0.01735924143781461,6.738828543989315e-07,0.0,0.009822657642392714,4.0746737346622857e-07
file0008.ply,41406,81065,41399,17,0.9577366145820755,0.9764882934892557,0.9401207729468599,0,388,0.06498901151979133,0.0,0,338,0.03319517430242025,0.0,0,53,0.065,0.0,0.0,81065.0,38250.99542857143,40210.0,0.0,41399.0,20220.663428571428,19713.5,0.0,81065.0,39140.72285714286,40379.5,0.0,41399.0,21122.874285714286,21283.5,0.0,41406.0,11872.769150052465,2179.0,0.0,41399.0,20194.261804826863,19734.5,0.0,41406.0,12279.578174186778,2179.0,0.0,41399.0,20896.20986358867,20870.0,0.0,41406.0,14020.378781766842,5296.0,0.0,81065.0,44968.936668011294,41842.0,0.0,41406.0,14896.427188382413,7310.0,0.0,81065.0,46061.32634126664,41842.0,0.0,2.8309165113233948e-06,5.884410853241451e-10,0.0,4.676249655358268e-06,5.78903974709687e-10,0.0,4.3198263804781037e-07,6.35216559065941e-10,0.0,0.009947630792161306,8.57339181899472e-07,0.0,0.0059160020426350865,2.3713216799455901e-07,0.0,0.009947630792161306,1.1465071838577656e-06
file0009.ply,49696,69077,50203,17,0.9462945449423507,0.9731607747763398,0.949426340530635,0,3,0.055878624464253374,0.0,0,446,0.04020093227945221,0.0,0,57,0.055314317584256235,0.0,0.0,69077.0,28111.278756088424,32473.0,0.0,50203.0,25259.0599475459,25031.0,0.0,69077.0,28931.774822030722,33322.0,0.0,50203.0,25845.825402772574,26011.0,0.0,49298.0,16534.596548004316,13238.5,0.0,50203.0,25363.5668824164,25221.0,0.0,49696.0,16972.064724919095,13523.5,0.0,50203.0,25860.55879180151,26050.5,0.0,49696.0,19486.788499409216,17402.0,0.0,69077.0,27262.785348562425,32309.0,0.0,49696.0,20047.67664434817,18328.0,0.0,69077.0,28260.369042930288,32309.0,0.0,2.729174697291846e-08,5.326133348967478e-10,0.0,4.264849313106818e-06,4.840133576136933e-10,0.0,4.530588189196026e-07,5.283155557164643e-10,0.0,0.012251494645809349,5.486143104089624e-07,0.0,0.012722186752604897,1.8912176397390126e-07,0.0,0.003328322431538158,1.3321348839049115e-07
