File name,Range x,Range y,Range z,Bit depth,Prop. empty sl. x,Prop. empty sl. y,Prop. empty sl. z,Ocup. voxels x (min),Ocup. voxels x (max),Ocup. voxels x (mean),Ocup. voxels x (median),Ocup. voxels y (min),Ocup. voxels y (max),Ocup. voxels y (mean),Ocup. voxels y (median),Ocup. voxels z (min),Ocup. voxels z (max),Ocup. voxels z (mean),Ocup. voxels z (median),Bottom hor. x (min),Bottom hor. x (max),Bottom hor. x (mean),Bottom hor. x (median),Bottom hor. y (min),Bottom hor. y (max),Bottom hor. y (mean),Bottom hor. y (median),Bottom hor. z (min),Bottom hor. z (max),Bottom hor. z (mean),Bottom hor. z (median),Bottom vert. x (min),Bottom vert. x (max),Bottom vert. x (mean),Bottom vert. x (median),Bottom vert. y (min),Bottom vert. y (max),Bottom vert. y (mean),Bottom vert. y (median),Bottom vert. z (min),Bottom vert. z (max),Bottom vert. z (mean),Bottom vert. z (median),Top  hor. x (min),Top  hor. x (max),Top  hor. x (mean),Top  hor. x (median),Top  hor. y (min),Top  hor. y (max),Top  hor. y (mean),Top  hor. y (median),Top  hor. z (min),Top  hor. z (max),Top  hor. z (mean),Top  hor. z (median),Top vert. x (min),Top vert. x (max),Top vert. x (mean),Top vert. x (median),Top vert. y (min),Top vert. y (max),Top vert. y (mean),Top vert. y (median),Top vert. z (min),Top vert. z (max),Top vert. z (mean),Top vert. z (median),Entropy x (min),Entropy x (max),Entropy x (mean),Entropy y (min),Entropy y (max),Entropy y (mean),Entropy z (min),Entropy z (max),Entropy z (mean),SR entropy x (min),SR entropy x (max),SR entropy x (mean),SR entropy y (min),SR entropy y (max),SR entropy y (mean),SR entropy z (min),SR entropy z (max),SR entropy z (mean)
file00,75946,30547,57088,17,0.9668979683200126,0.9400615424905068,0.9561736937063182,0,3,0.033734051377934615,0.0,0,339,0.0838680109990834,0.0,0,3,0.044877296852283276,0.0,0.0,30547.0,12422.27167859984,11374.5,0.0,57088.0,28718.845266507557,29229.0,0.0,30547.0,12594.35879077168,11850.5,0.0,57088.0,29019.59427207637,29761.0,0.0,75946.0,30170.069361004917,29903.0,0.0,57088.0,28437.542872747134,28988.0,0.0,75946.0,30879.331512834517,30913.0,0.0,57088.0,29109.081376297105,30143.0,0.0,75946.0,38293.95523581135,40687.5,0.0,30547.0,12327.195443645083,11285.0,0.0,75946.0,38780.33772981615,41653.5,0.0,30547.0,12598.69384492406,11866.0,0.0,5.256578063839938e-08,6.210136653195418e-10,0.0,1.9586863501487905e-06,6.04470567159712e-10,0.0,4.004591595993665e-08,6.287863028461765e-10,0.0,0.017531438179828204,3.808982562326004e-07,0.0,0.0001827608352954185,1.8249673462076887e-08,0.0,0.010810174771247657,3.7162081090775e-07
file01.ply,77432,30270,54916,17,0.9673911639740163,0.9368042020415579,0.9546224302128666,0,2,0.03312541164619736,0.0,0,305,0.08473456443460738,0.0,0,3,0.0467068485168527,0.0,0.0,30270.0,12268.045148514851,10758.0,0.0,54916.0,27348.447128712873,27090.0,0.0,30270.0,12385.335445544555,10913.0,0.0,54916.0,27590.651485148515,27475.0,0.0,77046.0,32060.207527443807,32024.0,0.0,54916.0,26832.55201254574,26563.0,0.0,77432.0,32806.54835337167,33053.0,0.0,54916.0,27699.322007318347,27659.0,0.0,77432.0,39001.85473515249,41564.5,0.0,30270.0,12160.975521669341,10516.0,0.0,77432.0,39693.73194221509,42623.0,0.0,30270.0,12490.449438202248,11204.5,0.0,3.7383841431909026e-08,6.384824342373723e-10,0.0,1.8057089026846076e-06,6.30632271079914e-10,0.0,3.965577820847637e-08,6.478295204968834e-10,0.0,0.0027426166773660316,6.295499784984128e-08,0.0,0.002486603250370211,2.1977163235533104e-07,0.0,0.00040962117480883455,1.9188996587174425e-08
file02.ply,76899,28426,56741,17,0.9669830949284786,0.9143068209800542,0.9555884529977794,0,3,0.033589076723016906,0.0,0,14,0.09086431913321842,0.0,0,6,0.04552183567727609,0.0,0.0,28426.0,12617.008270972823,12567.0,0.0,56741.0,27955.246947617172,27575.0,0.0,28426.0,12703.693974005513,12645.0,0.0,56741.0,28252.16463174478,28140.0,0.0,76899.0,38998.0513136289,41074.5,0.0,56741.0,27685.461412151068,26748.0,0.0,76899.0,40168.13669950739,42465.0,0.0,56741.0,28603.091543513958,28732.0,0.0,76899.0,39509.75793650794,41667.0,0.0,28426.0,12625.263492063492,12555.0,0.0,76899.0,40138.183333333334,42636.0,0.0,28426.0,12756.872619047619,12668.5,0.0,5.6623828069764224e-08,6.662702951526869e-10,0.0,9.51571312074576e-08,6.942624269708402e-10,0.0,8.202078646618796e-08,6.750521971923009e-10,0.0,8.171800372801996e-05,3.53424775505521e-09,0.0,0.001951329620806599,4.3299774002609707e-07,0.0,0.002645397046210618,1.0216738672612968e-07
file03.ply,77838,25061,57356,17,0.9684091522244633,0.9332056499880297,0.9570758582213156,0,2,0.032233199295982735,0.0,0,377,0.1001117229271407,0.0,0,4,0.04374357096779818,0.0,0.0,25061.0,9704.165514436763,8101.0,0.0,57356.0,28371.458316388776,28074.0,0.0,25061.0,9826.778771858479,8369.0,0.0,57356.0,28761.329808865394,28594.0,0.0,77838.0,28868.07825567503,28876.5,0.0,57356.0,28270.523894862603,27809.0,0.0,77838.0,29623.26284348865,30480.5,0.0,57356.0,28956.357825567502,28973.5,0.0,77838.0,38583.14256701869,40898.5,0.0,25061.0,9703.150690495531,8094.0,0.0,77838.0,38921.94679122665,41468.5,0.0,25061.0,9847.265637692932,8452.0,0.0,4.294121180541962e-08,7.135959903366958e-10,0.0,2.105993083213862e-06,6.920763223684754e-10,0.0,6.213676182138324e-08,7.235097720721871e-10,0.0,0.03422832050258604,1.0429683991149763e-06,0.0,0.002539207471802413,1.1907775501761785e-07,0.0,0.0325536179441122,7.276164492308953e-07
file04.ply,75977,30499,57099,17,0.9665034615283371,0.9390491803278689,0.9557618213660245,0,2,0.03407565347863855,0.0,0,325,0.08488524590163934,0.0,0,3,0.0453415061295972,0.0,0.0,30499.0,12486.315913555993,11333.0,0.0,57099.0,28322.14970530452,28145.0,0.0,30499.0,12642.056581532417,11636.0,0.0,57099.0,28606.665618860512,28383.0,0.0,75676.0,28574.362560516405,28239.0,0.0,57099.0,28093.94889725659,27860.0,0.0,75977.0,29309.055944055945,29742.0,0.0,57099.0,28926.884884346422,29171.0,0.0,75977.0,36782.76128266033,38535.0,0.0,30499.0,12376.357878068091,11081.5,0.0,75977.0,37324.51662707839,39357.5,0.0,30499.0,12691.462391132225,11783.5,0.0,3.576172921632505e-08,6.282033684608827e-10,0.0,1.881291958367913e-06,6.126098206963707e-10,0.0,4.009039922013829e-08,6.359678597349097e-10,0.0,0.01276631790558333,3.7139474038221073e-07,0.0,0.00020228901741095625,2.052769652024392e-08,0.0,0.0030330539425410074,8.993677304231166e-08
file05.ply,75871,30546,57241,17,0.9664434837621256,0.9386846498837856,0.9559938506690892,0,2,0.03408371994938844,0.0,0,322,0.08465643107342784,0.0,0,2,0.045176618566786626,0.0,0.0,30546.0,12360.348389630793,11039.5,0.0,57241.0,28550.972505891594,28452.0,0.0,30546.0,12497.90534171249,11371.5,15.0,57241.0,28802.179890023566,28805.5,0.0,75871.0,28615.37373198078,28125.0,0.0,57241.0,28070.72877736252,27703.0,0.0,75871.0,29420.84676988788,29448.0,0.0,57241.0,28736.133475707422,28872.0,0.0,75871.0,36757.80944819373,38774.0,0.0,30546.0,12277.003969829297,10876.0,0.0,75871.0,37435.63556967051,39744.0,0.0,30546.0,12611.707026597856,11761.0,0.0,3.5624767722442313e-08,6.260016164735039e-10,0.0,1.863008241694921e-06,6.11061308524497e-10,0.0,2.7228058528812743e-08,6.335180882597777e-10,0.0,0.003982768258012736,5.600580371383949e-08,0.0,5.278504699308884e-05,6.534759385565701e-09,0.0,0.006881492623392568,3.209789336068932e-07
file06.ply,75844,30386,57340,17,0.9660491792471488,0.9374732615921282,0.9553722467344483,0,2,0.0345441360669787,0.0,0,318,0.08622108138348636,0.0,0,2,0.04569156450009592,0.0,0.0,30386.0,12290.68504854369,11122.0,0.0,57340.0,28490.029514563106,28407.0,0.0,30386.0,12444.77786407767,11492.0,0.0,57340.0,28810.08854368932,28903.0,0.0,75844.0,29441.72052631579,29226.5,0.0,57340.0,28421.195789473684,28439.5,14.0,75844.0,30320.21,30838.0,0.0,57340.0,29179.3,29571.0,0.0,75844.0,37359.967565455256,39796.0,0.0,30386.0,12193.795623290347,10969.0,0.0,75844.0,37864.513091051194,40818.0,0.0,30386.0,12461.470105509965,11528.0,0.0,3.574468138747175e-08,6.365289122246221e-10,0.0,1.8388059483328196e-06,6.222281179923726e-10,0.0,2.737414899189812e-08,6.442860487185486e-10,0.0,0.01597776128973744,3.693670006990957e-07,0.0,0.00017066830934234003,1.574868255761114e-08,0.0,0.021655581639158615,7.222576648147854e-07
file07.ply,78372,27906,54960,17,0.9686499177012492,0.9207725660228616,0.955659467622496,0,2,0.031885981141464535,0.0,0,7,0.08954742537714552,0.0,0,2,0.045468605010825856,0.0,0.0,27906.0,11401.317053317054,10246.0,0.0,54960.0,27346.030525030525,27407.0,0.0,27906.0,11519.454212454213,10409.0,0.0,54960.0,27638.450956450957,27687.0,0.0,78314.0,34202.540027137045,34430.0,0.0,54844.0,26690.772048846677,26610.0,0.0,78372.0,35795.5092718227,36293.0,0.0,54960.0,28283.493894165535,28517.0,0.0,78314.0,36522.04062371769,37229.0,0.0,27906.0,11360.416495691425,10227.0,102.0,78372.0,37124.985227739024,38273.0,0.0,27906.0,11579.704554780468,10550.0,0.0,4.0366701224054886e-08,6.63656073402477e-10,0.0,4.9791939032515005e-08,6.897911272991687e-10,0.0,2.8776286100493505e-08,6.739661771819913e-10,0.0,0.00010185382429203093,5.519823222353903e-09,0.0,0.0036266832651304162,5.429249806462096e-07,0.0,0.0036266832651304162,1.1493090585430156e-07
file08.ply,74727,27648,59438,17,0.965153623809014,0.9107381822127383,0.9563922677030232,0,3,0.035568996895407344,0.0,0,3,0.0961336757206409,0.0,0,3,0.044718114369353454,0.0,0.0,27648.0,10119.698924731183,6727.0,0.0,59438.0,29792.73233486943,29775.5,0.0,27648.0,10275.039170506912,6886.5,0.0,59438.0,30072.100998463902,30550.0,0.0,74727.0,36354.73824959481,35956.0,0.0,59438.0,29321.11507293355,28816.0,0.0,74727.0,37770.102512155594,38007.5,0.0,59438.0,30526.227714748784,31120.0,0.0,74727.0,36851.669367283954,36540.5,0.0,27648.0,10087.984953703704,6656.5,0.0,74727.0,37459.3287037037,37455.5,0.0,27648.0,10321.136574074075,6912.5,0.0,5.562478718429402e-08,6.929240087599358e-10,0.0,2.154972350509136e-08,7.216685717714507e-10,0.0,4.472371345708148e-08,6.998698557339646e-10,0.0,0.00012717029534741026,7.2508738742544925e-09,0.0,0.0005821197905975198,5.2498639064404706e-08,0.0,0.0006315018330735708,3.846689401999876e-08
file09.ply,74901,29345,58130,17,0.9673172945982751,0.9304164110952089,0.9582322684970154,0,3,0.03324343809244079,0.0,0,377,0.0848497239828256,0.0,0,3,0.042834288073489185,0.0,0.0,29345.0,12080.390114379084,11584.5,0.0,58130.0,28323.95588235294,28279.5,0.0,29345.0,12238.18954248366,11800.0,0.0,58130.0,28623.41911764706,28628.5,0.0,57326.0,28309.00440744368,27986.0,0.0,58024.0,29056.04946131244,29293.0,0.0,74901.0,28936.47404505387,28836.5,527.0,58130.0,29689.33545543585,30387.5,0.0,74901.0,33310.454695222405,33073.5,0.0,29345.0,12014.423805601318,11509.0,0.0,74901.0,33795.063838550246,33944.5,0.0,29345.0,12259.692751235585,11839.0,0.0,5.368205937998625e-08,6.250818996849485e-10,0.0,2.1563012835570975e-06,6.25698620209008e-10,0.0,4.2161443289522586e-08,6.318834337075401e-10,0.0,0.0014574622289973082,2.257395171569446e-08,0.0,0.00012571649120400946,9.049834760084453e-09,0.0,0.002724604397454028,5.877012066967488e-08
file10.ply,75586,30400,57181,17,0.9663566486300554,0.9390480576296832,0.9556154034486377,0,3,0.03431807056769021,0.0,0,340,0.08532614058748067,0.0,0,3,0.04536392571088804,0.0,0.0,30400.0,12467.217459693276,11353.0,0.0,57181.0,28365.265827762487,28185.0,0.0,30400.0,12654.436099095556,11906.0,0.0,57181.0,28722.817538340543,28860.0,0.0,74790.0,28792.697787371828,28417.0,0.0,57181.0,28178.995143011332,27609.0,0.0,75586.0,29619.08526713438,29924.0,0.0,57181.0,28931.271451699948,29148.0,0.0,75586.0,37170.93026004728,39316.5,0.0,30400.0,12514.328211189913,11536.5,0.0,75586.0,37588.21276595745,39706.0,0.0,30400.0,12719.58353033885,11950.0,0.0,5.272609281850524e-08,6.336540588922637e-10,0.0,1.969921413815727e-06,6.164945168515439e-10,0.0,4.04131679651763e-08,6.415253474832364e-10,0.0,0.0012661952382430446,2.6513218986025532e-08,0.0,0.0003723773366522766,2.236921165316095e-08,0.0,0.020496657705832283,8.210067291047139e-07
file11.ply,69178,18725,68212,17,0.9628933635929978,0.877015913702873,0.9619867180742674,0,15,0.03820523569291259,0.0,0,161,0.14114066004485742,0.0,0,2,0.03874628003459751,0.0,0.0,18725.0,9017.373198285937,9624.0,0.0,68212.0,34169.076353720295,34256.0,0.0,18725.0,9140.916244643553,9734.0,0.0,68212.0,34629.92169848071,34854.0,0.0,64094.0,33156.33130699088,33870.0,0.0,68212.0,33619.21537125488,33275.0,0.0,69178.0,34105.9431176726,35076.0,0.0,68212.0,35014.93486756405,35304.0,0.0,69178.0,34662.38064018511,35424.0,0.0,18725.0,8955.102198225994,9545.0,0.0,69178.0,35029.08677207867,35818.0,0.0,18725.0,9077.12495179329,9681.0,0.0,3.2629476194023585e-07,9.458564725225934e-10,0.0,8.955168799749102e-07,9.858573915463934e-10,0.0,4.741764279250814e-08,9.474065869272857e-10,0.0,0.004665590176919944,3.496310881065977e-07,0.0,0.020055973682714417,3.94473384436209e-06,0.0,3.851517760070559e-05,3.852038900329195e-09
