File name,Range x,Range y,Range z,Bit depth,Prop. empty sl. x,Prop. empty sl. y,Prop. empty sl. z,Ocup. voxels x (min),Ocup. voxels x (max),Ocup. voxels x (mean),Ocup. voxels x (median),Ocup. voxels y (min),Ocup. voxels y (max),Ocup. voxels y (mean),Ocup. voxels y (median),Ocup. voxels z (min),Ocup. voxels z (max),Ocup. voxels z (mean),Ocup. voxels z (median),Bottom hor. x (min),Bottom hor. x (max),Bottom hor. x (mean),Bottom hor. x (median),Bottom hor. y (min),Bottom hor. y (max),Bottom hor. y (mean),Bottom hor. y (median),Bottom hor. z (min),Bottom hor. z (max),Bottom hor. z (mean),Bottom hor. z (median),Bottom vert. x (min),Bottom vert. x (max),Bottom vert. x (mean),Bottom vert. x (median),Bottom vert. y (min),Bottom vert. y (max),Bottom vert. y (mean),Bottom vert. y (median),Bottom vert. z (min),Bottom vert. z (max),Bottom vert. z (mean),Bottom vert. z (median),Top  hor. x (min),Top  hor. x (max),Top  hor. x (mean),Top  hor. x (median),Top  hor. y (min),Top  hor. y (max),Top  hor. y (mean),Top  hor. y (median),Top  hor. z (min),Top  hor. z (max),Top  hor. z (mean),Top  hor. z (median),Top vert. x (min),Top vert. x (max),Top vert. x (mean),Top vert. x (median),Top vert. y (min),Top vert. y (max),Top vert. y (mean),Top vert. y (median),Top vert. z (min),Top vert. z (max),Top vert. z (mean),Top vert. z (median),Entropy x (min),Entropy x (max),Entropy x (mean),Entropy y (min),Entropy y (max),Entropy y (mean),Entropy z (min),Entropy z (max),Entropy z (mean),SR entropy x (min),SR entropy x (max),SR entropy x (mean),SR entropy y (min),SR entropy y (max),SR entropy y (mean),SR entropy z (min),SR entropy z (max),SR entropy z (mean)
file00,36545,71750,58812,17,0.9290209598861708,0.9631503393680925,0.9553500076513696,0,3,0.07437202429814481,0.0,0,3,0.037881005142785466,0.0,0,3,0.0462142723547515,0.0,0.0,71750.0,24319.46569005397,23242.0,0.0,58812.0,29160.348111025443,22228.5,0.0,71750.0,25075.78103315343,24205.0,0.0,58812.0,30142.8199691596,37456.0,0.0,36545.0,18188.873298033282,17799.5,0.0,58812.0,29349.164901664146,22755.0,0.0,36545.0,18526.864599092285,18447.0,0.0,58812.0,29916.31013615734,37056.5,0.0,36545.0,18162.887661843106,17799.5,0.0,71750.0,24536.96496572734,23559.0,0.0,36545.0,18613.857578065497,18498.5,111.0,71750.0,24963.674409748666,24040.0,0.0,2.263017252891089e-08,5.873085141024149e-10,0.0,4.307150065634913e-08,5.708280830023539e-10,0.0,3.563312492407635e-08,5.756503802296756e-10,0.0,0.0014293248293582683,4.751996307300678e-08,0.0,0.0013546806969457318,2.1003793479559655e-08,0.0,0.00817533169826862,3.706864558806052e-07
file01.ply,29095,42288,85719,17,0.9297154248006599,0.9554967012698338,0.9781264582361175,0,104,0.08087022271102558,0.0,0,199,0.055640946818321546,0.0,0,145,0.02744983667755483,0.0,0.0,42288.0,20572.017114914426,18640.0,0.0,85719.0,41887.40929095355,39918.0,217.0,42288.0,21352.486063569682,19667.0,0.0,85719.0,43819.422493887534,48287.0,0.0,29095.0,13840.166843783209,13651.5,0.0,85719.0,41981.637619553665,32267.0,3.0,29095.0,14075.98352816153,14011.0,93.0,85719.0,43064.42082890542,45455.5,0.0,29095.0,13591.467733333333,13341.0,0.0,42288.0,22537.249066666667,20678.0,0.0,29095.0,13918.8,13786.0,0.0,42288.0,22980.1168,21206.0,0.0,7.602041019266405e-07,7.257766124566897e-10,0.0,1.9964513873386453e-06,6.98278985595852e-10,0.0,2.88238221389294e-06,6.802794992545041e-10,0.0,0.0055101094154779325,4.83191014847504e-07,0.0,0.005302190559603335,1.9338763219771258e-07,0.0,0.012741060337325754,1.534589140726833e-07
file02.ply,34995,78152,51332,17,0.9255629214767402,0.9656443130781928,0.9758439989870064,0,25,0.0793519259343925,0.0,0,3,0.03553286502117641,0.0,0,186,0.05409775388151871,0.0,0.0,78152.0,24772.802303262957,20657.0,0.0,51332.0,25053.491362763914,14234.0,0.0,78152.0,25885.681765834932,21445.0,0.0,51332.0,26208.17811900192,35842.0,0.0,34995.0,17496.083054003724,17500.0,0.0,51332.0,25372.67076350093,20923.0,0.0,34995.0,17815.319925512104,17901.0,0.0,51332.0,26077.75009310987,32086.0,0.0,34995.0,17478.36370967742,17482.5,0.0,78152.0,32374.474193548387,28452.0,0.0,34995.0,18095.165322580644,18227.5,165.0,78152.0,33207.58790322581,29569.0,0.0,1.7884896743627306e-07,6.563642173704563e-10,0.0,5.110118215254843e-08,6.352748241701226e-10,0.0,1.7173247971596593e-06,5.753228038384921e-10,0.0,0.010295350212120184,7.139006915123404e-07,0.0,0.004418222733818969,1.4005104660423513e-07,0.0,0.00023502861153398515,7.8494818896906e-09
file03.ply,43524,62793,63880,16,0.9394141298104538,0.9570818868044718,0.9575930245299854,0,19,0.064192992533027,0.0,0,3,0.04449469694556805,0.0,0,2,0.0437375745526839,0.0,0.0,62793.0,23627.99507015548,19950.0,0.0,63880.0,31064.91884717482,28278.0,0.0,62793.0,24204.439514599922,20499.0,0.0,63880.0,32270.308684110732,34815.0,0.0,43524.0,21545.907606679037,21460.0,0.0,63880.0,31238.446753246753,28632.0,0.0,43524.0,21901.489424860854,21874.0,39.0,63880.0,32117.21150278293,34802.0,0.0,43524.0,21604.052787006276,21490.0,0.0,62793.0,24290.61018826135,20499.0,0.0,43524.0,21919.79549649317,21947.0,0.0,62793.0,24703.839055001845,21071.0,0.0,1.3781614818719423e-07,5.312851231254605e-10,0.0,3.3696760830293495e-08,5.240012799180597e-10,0.0,2.326331849532756e-08,5.23769737128157e-10,0.0,2.9631299838660006e-05,4.501610578695537e-09,0.0,0.006184932967981151,1.8667343815645423e-07,0.0,0.01801774639237144,4.961986766937791e-07
file04.ply,48426,76233,40871,17,0.9491605922316063,0.9744995671222814,0.9396652965355256,0,7,0.0533586635554546,0.0,0,316,0.03389563711729674,0.0,0,9,0.06322176551184185,0.0,0.0,76233.0,26577.617384240453,13544.5,0.0,40871.0,22254.59301380991,21860.0,0.0,76233.0,27337.880178716492,17363.5,0.0,40871.0,22644.42891957758,22302.0,0.0,48426.0,29554.41049382716,29589.5,0.0,40871.0,23082.79989711934,22486.0,0.0,48426.0,29909.921810699587,29983.0,0.0,40871.0,23442.156893004114,22824.5,0.0,48426.0,29063.398621248987,29274.0,0.0,76233.0,26484.845904298458,13859.0,0.0,48426.0,29463.57502027575,29621.5,0.0,76233.0,27389.08191403082,18550.0,0.0,6.778475591823072e-08,5.62986524925106e-10,0.0,3.8350362440334446e-06,5.237140842650581e-10,0.0,7.326809342456814e-08,5.672118289964868e-10,0.0,0.03491870568141903,1.377948132728393e-06,0.0,0.00016973950634765537,6.672575697983532e-09,0.0,0.0080259079103153,6.491000963193928e-07
file05.ply,22046,63150,73636,17,0.896947430489409,0.9624075628256085,0.9671632467373739,0,4,0.11384768902798567,0.0,0,3,0.03974600560561194,0.0,0,3,0.03408612518163423,0.0,0.0,63150.0,25719.065580985916,25082.0,0.0,73636.0,45747.48679577465,35442.0,0.0,63150.0,26663.779049295776,25941.0,0.0,73636.0,47909.948503521126,55898.5,0.0,21941.0,9827.388374052232,9953.0,0.0,73636.0,46174.45661331087,36060.0,0.0,22046.0,10089.076663858466,10195.0,0.0,73636.0,47215.14195450716,42912.0,0.0,22046.0,9909.08064516129,10023.0,0.0,63150.0,26076.61952026468,25307.0,0.0,22046.0,10006.386683209264,10148.5,177.0,63150.0,26378.84036393714,25660.0,0.0,2.7144652479371322e-08,8.167950627640063e-10,0.0,5.6275898859901946e-08,7.817013864865609e-10,0.0,6.51427715909592e-08,7.771486043428058e-10,0.0,0.0004140430850154476,7.211873611794535e-08,0.0,0.0003477755127110168,2.6475283793071524e-08,0.0,0.00026818563057469673,1.691914038517912e-08
file06.ply,25403,78355,55993,17,0.9022201228153047,0.9676093726070754,0.954548701646605,0,4,0.10380255077940481,0.0,0,4,0.03365409158201031,0.0,0,3,0.047094331535521665,0.0,0.0,78355.0,25512.91948470209,17781.0,0.0,55900.0,27722.0768921095,25086.5,0.0,78355.0,26471.85628019324,18624.5,0.0,55993.0,28640.125603864733,31706.5,0.0,25403.0,11909.4231678487,10800.0,0.0,55993.0,27937.830181245074,26397.0,0.0,25403.0,12177.942474389283,11311.0,0.0,55993.0,28451.408983451536,31494.5,0.0,25403.0,11941.287622789783,10828.0,0.0,78355.0,25859.097445972497,17866.0,0.0,25403.0,12199.959135559922,11318.0,0.0,78355.0,26443.129666011788,18446.0,0.0,2.8693953963658297e-08,7.891334207441698e-10,0.0,8.393404328472298e-08,7.516976148587117e-10,0.0,4.634121240851663e-08,7.632899997356333e-10,0.0,0.0011000065701428736,9.432269894772787e-08,0.0,0.0034033674871815165,1.472674677056085e-07,0.0,0.004889613135545705,5.532069950346698e-07
file07.ply,44422,63396,63119,16,0.9414492492627693,0.9591778790794517,0.9596166032953105,0,3,0.060644260855862955,0.0,0,8,0.042494124327649575,0.0,0,3,0.04268060836501901,0.0,0.0,63396.0,25163.647443291044,24145.0,0.0,63119.0,31315.678585159552,31983.0,0.0,63396.0,25819.327181853132,24811.0,0.0,63119.0,32181.418300653593,41528.0,0.0,44422.0,22076.804868624422,21647.0,0.0,63119.0,31255.64683153014,30596.0,0.0,44422.0,22516.841576506955,22203.5,0.0,63119.0,31985.306414219474,38989.0,0.0,44422.0,22068.492742251863,21800.0,0.0,63396.0,25208.85366810514,23960.0,0.0,44422.0,22451.362887406827,22123.0,0.0,63396.0,25989.309140839545,25122.0,0.0,2.38071180339149e-08,5.04220200534338e-10,0.0,8.510053962804915e-08,4.9609923004697e-10,0.0,3.328734072637305e-08,4.95942042678353e-10,0.0,0.011442746525199221,6.868570584842039e-07,0.0,3.422184235650163e-05,3.5183601278645338e-09,0.0,0.011442746525199221,1.2951847656200895e-06
file08.ply,25790,71162,65192,17,0.9105114187119537,0.964925593356098,0.961744359056954,0,40,0.09995734946299097,0.0,0,9,0.03622669083653022,0.0,0,4,0.039544122835273726,0.0,0.0,71162.0,24615.854419410745,16728.0,0.0,65135.0,31611.817157712307,25379.0,0.0,71162.0,26072.91377816291,17573.5,0.0,65192.0,33466.82712305026,38747.5,0.0,25790.0,12829.82251602564,12823.0,0.0,65192.0,32294.58814102564,30399.0,0.0,25790.0,13056.338541666666,13089.0,0.0,65192.0,32888.23477564102,34842.0,0.0,25790.0,12826.199679230152,12818.0,0.0,71162.0,26473.818765036085,17809.5,0.0,25790.0,12992.748596631916,13033.5,0.0,71162.0,27074.1511627907,18226.0,0.0,2.434147981118233e-07,7.153734554208155e-10,0.0,1.547990673430197e-07,6.898991364951116e-10,0.0,6.585309397375144e-08,6.926899133460858e-10,0.0,0.00020028417594685939,1.9946499646171133e-08,0.0,0.005226633748232626,1.1274850845643087e-07,0.0,0.005226633748232626,1.4117487594596636e-07
file09.ply,4414,91458,39509,17,0.8253680634201586,0.98262609475284,0.9592255125284738,0,122,0.3834654586636467,0.0,0,25,0.018511026798893493,0.0,0,3,0.04284991141483169,0.0,0.0,91458.0,57401.24643320363,53149.0,0.0,39400.0,24195.250324254215,27517.0,39.0,91458.0,66086.16472114138,73089.0,0.0,39509.0,27780.153047989625,29151.0,0.0,4414.0,3272.5726872246696,3430.0,0.0,39509.0,26079.51478917558,28505.0,0.0,4414.0,3304.0604153555696,3454.0,0.0,39509.0,26212.38766519824,28688.0,0.0,4414.0,3264.84295468653,3424.0,0.0,91458.0,54433.00434512725,51478.0,0.0,4414.0,3314.191185599007,3447.0,0.0,91458.0,55380.81688392303,51812.0,0.0,8.866784342722995e-07,3.2219483546287103e-09,0.0,3.4650067368746942e-06,3.0369722790751185e-09,0.0,2.113474565881444e-07,3.176465472910112e-09,0.0,0.010099050089606277,2.7447228969086273e-06,0.0,0.008269865324912593,3.160750766253404e-07,0.0,0.011821702053948334,1.0738310378385158e-06
