File name,Range x,Range y,Range z,Bit depth,Prop. empty sl. x,Prop. empty sl. y,Prop. empty sl. z,Ocup. voxels x (min),Ocup. voxels x (max),Ocup. voxels x (mean),Ocup. voxels x (median),Ocup. voxels y (min),Ocup. voxels y (max),Ocup. voxels y (mean),Ocup. voxels y (median),Ocup. voxels z (min),Ocup. voxels z (max),Ocup. voxels z (mean),Ocup. voxels z (median),Bottom hor. x (min),Bottom hor. x (max),Bottom hor. x (mean),Bottom hor. x (median),Bottom hor. y (min),Bottom hor. y (max),Bottom hor. y (mean),Bottom hor. y (median),Bottom hor. z (min),Bottom hor. z (max),Bottom hor. z (mean),Bottom hor. z (median),Bottom vert. x (min),Bottom vert. x (max),Bottom vert. x (mean),Bottom vert. x (median),Bottom vert. y (min),Bottom vert. y (max),Bottom vert. y (mean),Bottom vert. y (median),Bottom vert. z (min),Bottom vert. z (max),Bottom vert. z (mean),Bottom vert. z (median),Top  hor. x (min),Top  hor. x (max),Top  hor. x (mean),Top  hor. x (median),Top  hor. y (min),Top  hor. y (max),Top  hor. y (mean),Top  hor. y (median),Top  hor. z (min),Top  hor. z (max),Top  hor. z (mean),Top  hor. z (median),Top vert. x (min),Top vert. x (max),Top vert. x (mean),Top vert. x (median),Top vert. y (min),Top vert. y (max),Top vert. y (mean),Top vert. y (median),Top vert. z (min),Top vert. z (max),Top vert. z (mean),Top vert. z (median),Entropy x (min),Entropy x (max),Entropy x (mean),Entropy y (min),Entropy y (max),Entropy y (mean),Entropy z (min),Entropy z (max),Entropy z (mean),SR entropy x (min),SR entropy x (max),SR entropy x (mean),SR entropy y (min),SR entropy y (max),SR entropy y (mean),SR entropy z (min),SR entropy z (max),SR entropy z (mean)
file0000,38003,84308,38019,17,0.9320334701610357,0.9689475619447508,0.9317201472908996,0,3,0.07133459635827807,0.0,0,27,0.032155523135133854,0.0,0,3,0.07130457653866386,0.0,0.0,84308.0,49769.632984901276,53546.0,0.0,38019.0,18849.61517615176,18741.0,0.0,84308.0,51001.22028648858,55274.0,0.0,38019.0,19355.073170731706,19664.0,0.0,38003.0,18816.097784568374,18918.0,0.0,38016.0,18907.12643239114,18896.5,8.0,38003.0,19152.528647822764,19125.5,0.0,38019.0,19277.79220779221,19522.0,0.0,38003.0,18671.78312788906,18715.5,0.0,84308.0,49903.511941448385,53852.0,0.0,38003.0,19118.332049306624,19138.0,0.0,84308.0,50745.62596302003,55059.5,0.0,2.9420970423196487e-08,7.326864834919462e-10,0.0,5.066992287133221e-07,7.069832916764138e-10,0.0,2.9432788303408328e-08,7.329111874554589e-10,0.0,0.015876450935412848,1.2669718869389193e-06,0.0,8.051328955181846e-05,1.6890565389475378e-09,0.0,0.015876450935412848,1.6897066128718516e-06
file0001.ply,24259,93454,24428,17,0.9208573784006595,0.9822802418276175,0.9214458225879079,0,3,0.08413025556471558,0.0,0,98,0.021839387940720132,0.0,0,5,0.08354824184371035,0.0,0.0,93454.0,57999.4234375,74705.0,0.0,24428.0,11932.5484375,11971.0,0.0,93454.0,59248.177083333336,74788.0,0.0,24428.0,12311.0296875,12198.0,0.0,24202.0,11859.57306763285,11947.0,0.0,24274.0,11931.961352657005,12011.5,0.0,24259.0,12198.720410628019,12059.0,86.0,24428.0,12272.177536231884,12124.5,0.0,24259.0,11820.26628452319,11846.0,0.0,93454.0,57893.82386659719,74732.0,0.0,24259.0,12185.273058884835,12107.0,0.0,93454.0,59313.47003647733,74788.0,0.0,4.066472884427881e-08,1.1943200018243943e-09,0.0,3.9637678257930555e-06,1.0885889005858413e-09,0.0,6.659932820151452e-08,1.193840802200867e-09,0.0,0.022114446611666377,1.2445615361661653e-06,0.0,0.0001756048232100389,6.408887325674958e-09,0.0,0.00019662477745026034,2.4345711248226865e-08
file0002.ply,61500,77353,14947,17,0.9839677403619453,0.9931225276003827,0.9355766657746856,0,2,0.01647127688980667,0.0,0,146,0.013095638234609717,0.0,0,3,0.06776826331281777,0.0,0.0,77353.0,37613.24036511156,56780.5,0.0,14947.0,7427.776876267749,7548.5,0.0,77353.0,37919.52535496958,56826.5,0.0,14947.0,7550.117647058823,7582.5,0.0,61500.0,38315.25187969925,48367.5,0.0,14947.0,7440.87030075188,7571.0,0.0,61500.0,38597.9454887218,48603.5,0.0,14947.0,7723.244360902256,7598.5,0.0,61500.0,32486.286604361372,46969.0,0.0,77353.0,36707.92523364486,56381.0,0.0,61500.0,33487.831775700935,47294.0,0.0,77353.0,38004.36137071651,56923.0,0.0,5.284074375998757e-08,4.4866286980056665e-10,0.0,3.816108467707166e-06,3.987712976599441e-10,0.0,2.0182614715523345e-08,4.77063869440182e-10,0.0,0.018760579169770017,7.848151481709326e-07,0.0,2.7201741938279625e-05,1.7320690795149643e-09,0.0,0.020904114249428087,3.830758480031487e-06
file0003.ply,43822,88655,13668,17,0.9811514501517468,0.9935932142212597,0.9466676421098836,0,9,0.019396207470962736,0.0,0,140,0.00958761956325573,0.0,0,48,0.06218450508449777,0.0,0.0,88655.0,42435.67312348668,49271.0,0.0,13668.0,6884.255447941889,6913.0,0.0,88655.0,42511.01573849879,49271.0,0.0,13668.0,6933.5217917675545,6934.0,0.0,43822.0,27225.850352112677,32805.5,0.0,13668.0,6722.769366197183,6822.5,0.0,43822.0,27303.786971830985,32841.5,0.0,13668.0,6798.633802816901,6886.0,0.0,43822.0,20694.008230452673,16793.0,0.0,88655.0,41286.06995884774,43676.0,0.0,43822.0,21673.787379972564,23063.0,0.0,88655.0,43589.71330589849,60987.0,0.0,2.1127056953863247e-07,5.04724897317686e-10,0.0,5.485658712392499e-06,4.521671461328357e-10,0.0,3.423856399082586e-07,5.234578022463404e-10,0.0,8.50487807202115e-05,4.787090134655415e-09,0.0,0.0003649928468881991,4.729177937031836e-09,0.0,0.006451171247875094,7.425228262150681e-07
file0004.ply,57910,56080,57839,16,0.9533421975099722,0.9781744262762789,0.9530601659751037,0,3,0.04793562535614995,0.0,0,870,0.04949983060216473,0.0,0,2,0.04799446749654219,0.0,0.0,56080.0,14915.540710584752,13637.0,0.0,57839.0,28575.727979274612,28752.5,0.0,56080.0,15044.848630643968,13637.0,0.0,57839.0,28941.863064396744,28949.0,0.0,57910.0,27839.53594771242,28763.0,0.0,57839.0,27923.071895424837,28516.5,0.0,57910.0,29151.72140522876,29011.5,0.0,57839.0,29167.250816993463,28959.5,0.0,57910.0,28386.14511970534,28587.0,0.0,56080.0,14927.07955801105,13637.0,0.0,57910.0,28802.91602209945,28924.0,0.0,56080.0,15099.920810313075,13637.0,0.0,2.9089460333688078e-08,4.874377685807722e-10,0.0,6.056792223541352e-06,4.170989336432913e-10,0.0,1.9730518440227185e-08,4.876063553383245e-10,0.0,0.00946022656510452,9.802857758197243e-07,0.0,0.00012582504425070378,7.298496548230107e-09,0.0,0.010991105345616512,7.797930419631688e-07
file0005.ply,28407,91522,28352,17,0.9086172909039707,0.971417020858145,0.9075230134377315,0,3,0.09733173753872149,0.0,0,3,0.030210985216830744,0.0,0,3,0.09752054456318555,0.0,0.0,91522.0,15363.063559322034,14683.5,0.0,28352.0,13751.285824345146,13761.5,0.0,91522.0,15999.42411402157,15572.5,0.0,28352.0,14318.166024653312,14346.0,0.0,28407.0,13958.22247706422,14003.0,0.0,28352.0,13740.230886850153,13757.0,0.0,28407.0,14507.501911314985,14457.0,0.0,28352.0,14265.720565749236,14212.0,0.0,28407.0,14028.435926773456,14059.0,0.0,91522.0,15428.974828375285,14858.5,0.0,28407.0,14547.674675819984,14520.5,203.0,91522.0,15983.564836003052,15509.0,0.0,3.599002706321394e-08,1.2224392405190018e-09,0.0,1.0966372325271195e-07,1.159684511655493e-09,0.0,3.592357381822704e-08,1.2232904694708867e-09,0.0,0.0002167268069402077,5.966275768811562e-08,0.0,0.0007883626101412068,3.0130338000552855e-08,0.0,0.0004144176386306781,5.275976402581166e-08
file0006.ply,49635,70870,46012,17,0.9557780643081635,0.9675466693005602,0.9524916871318975,0,76,0.052804416149568864,0.0,0,21,0.036982686853579035,0.0,0,72,0.056962162867015845,0.0,0.0,70870.0,9096.611845102505,8183.0,0.0,46012.0,23068.90478359909,23335.0,0.0,70870.0,9334.959453302961,8408.0,0.0,46012.0,23425.918451025056,24993.0,0.0,49635.0,24450.497826086958,24476.0,0.0,46012.0,22316.570869565217,21931.5,197.0,49635.0,26297.33347826087,27319.0,0.0,46012.0,24120.30304347826,24855.0,0.0,49635.0,25034.066331198537,25319.0,0.0,70870.0,9073.03613906679,8016.5,0.0,49635.0,25573.954254345837,27759.5,0.0,70870.0,9302.857731015554,8296.0,0.0,6.245361963462841e-07,5.209308821751292e-10,0.0,2.587344094155269e-07,5.218311800717406e-10,0.0,5.52313926481289e-07,5.226384074146989e-10,0.0,0.006015672870225327,3.391131411957886e-07,0.0,0.00020386972071543243,1.0399310641233867e-08,0.0,0.010335586702865962,5.84059041357481e-07
file0007.ply,37532,84643,37532,17,0.9344310340233928,0.9877250602523511,0.9338448831694776,0,41,0.07052460501425413,0.0,0,742,0.03127215159964085,0.0,0,39,0.07052460501425413,0.0,0.0,84643.0,10720.281999187322,7978.0,0.0,37532.0,18402.533522958147,18226.0,0.0,84643.0,11373.268183665177,8732.0,0.0,37532.0,18864.426249492077,18638.0,0.0,37532.0,18378.03272377286,18049.0,0.0,37532.0,18298.220404234842,18243.0,0.0,37532.0,19163.97978825794,18702.0,0.0,37532.0,19164.5822906641,18662.0,0.0,37532.0,18699.72331856625,18585.0,0.0,84643.0,10823.914619412002,8082.0,0.0,37532.0,19048.73580346355,18903.0,0.0,84643.0,11215.27668143375,8638.0,0.0,3.568384617375204e-07,7.275598293931164e-10,0.0,1.1745348701222945e-05,5.865740609029867e-10,0.0,3.4031741487471076e-07,7.278695310571769e-10,0.0,0.03386855598926829,4.468940220728263e-06,0.0,2.9484055841316967e-05,2.3260995177011555e-09,0.0,0.03386855598926829,3.374652613091294e-06
file0008.ply,80604,53433,24843,17,0.970088704174679,0.9588464273683422,0.9088713572693609,0,4,0.030432355312945848,0.0,0,27,0.04590710034809298,0.0,0,18,0.09873611334728707,0.0,0.0,53433.0,10810.18042306097,6988.0,0.0,24843.0,12302.250103691415,12381.0,0.0,53433.0,10984.81957693903,7096.0,5.0,24843.0,12407.19659892161,12410.0,0.0,80523.0,38950.10459299682,39257.0,0.0,24843.0,11995.654388358345,12251.0,0.0,80604.0,41543.848567530695,40805.0,0.0,24843.0,12730.957253296952,12537.0,0.0,80604.0,39339.14796819788,39391.0,0.0,53433.0,9861.439929328622,6643.0,106.0,80604.0,41010.16475265018,40614.0,0.0,53433.0,10734.47261484099,6945.0,0.0,8.963752889203978e-08,7.270152052283531e-10,0.0,3.7195013598865077e-07,7.355073232000451e-10,0.0,1.2235360544320862e-07,7.62731181420178e-10,0.0,0.012205299325810133,1.7011227398652743e-07,0.0,0.0013445603111315384,3.798518397235042e-08,0.0,0.0013445603111315384,1.7068563292508744e-07
file0009.ply,53845,66989,51045,17,0.9505812873751068,0.9685027616062098,0.9475962857030913,0,3,0.051443004122868924,0.0,0,453,0.04134945514255859,0.0,0,3,0.05426478078595776,0.0,0.0,66989.0,34614.508831266445,36441.0,0.0,51045.0,26601.742577978202,27632.0,0.0,66989.0,35270.215332581734,36441.0,0.0,51045.0,27084.674558436676,28366.0,0.0,53845.0,25491.732701421803,24705.5,0.0,51045.0,26936.768720379147,28306.5,0.0,53845.0,25856.04597156398,25082.0,0.0,51045.0,27287.29336492891,28769.0,0.0,53845.0,25577.987289719626,24871.0,0.0,66989.0,34554.884112149535,36441.0,0.0,53845.0,26008.66093457944,25309.0,0.0,66989.0,35232.36485981308,36441.0,0.0,2.7660395993093983e-08,4.969587430125928e-10,0.0,3.951379214273369e-06,4.6563344499981256e-10,0.0,2.6286125257898234e-08,4.982697958543731e-10,0.0,0.02250949565380769,1.1111481046103042e-06,0.0,0.00011205420069894696,3.2613585072710205e-09,0.0,0.02250949565380769,1.3277560886757313e-06
file0010.ply,39218,82244,39582,17,0.931028328106275,0.9671712566113442,0.9313341586034408,0,3,0.07200591550014024,0.0,0,24,0.034336433825764484,0.0,0,3,0.07134375868428365,0.0,0.0,82168.0,48512.57153419594,51300.0,0.0,39582.0,19790.255822550833,19870.0,0.0,82244.0,49400.95120147874,52273.0,0.0,39582.0,20249.186321626617,20626.0,0.0,39218.0,19475.914074074073,19327.5,0.0,39493.0,19848.494444444445,19976.0,34.0,39218.0,19827.424444444445,19840.5,0.0,39582.0,20202.683703703704,20572.0,0.0,39218.0,19408.584988962473,19252.0,0.0,82244.0,48402.97314201619,51239.0,0.0,39218.0,19817.328182487123,19908.5,0.0,82244.0,49243.88815305372,51934.0,0.0,2.8989030053585775e-08,7.289745169801801e-10,0.0,4.234396934448183e-07,7.043980915713567e-10,0.0,2.9245687388705867e-08,7.288892723670249e-10,0.0,0.00024929756585895897,2.5872833302325338e-08,0.0,0.00010577222700119921,4.992418353210662e-09,0.0,9.306791477675284e-05,8.296433017764462e-09
file0011.ply,66829,69403,25104,17,0.9739637887176418,0.9817301596449772,0.9359091814379605,0,4,0.026739488253778244,0.0,0,231,0.025747795516108583,0.0,0,30,0.07118103963353914,0.0,0.0,69403.0,31041.57643678161,40968.0,0.0,25104.0,11936.00804597701,12618.5,0.0,69403.0,31298.283333333333,41138.0,0.0,25104.0,12037.091379310345,12680.0,0.0,66829.0,42380.19637223975,53078.0,0.0,25104.0,11569.046529968455,12614.0,0.0,66829.0,42736.376971608835,53282.0,0.0,25104.0,11724.45425867508,12695.0,0.0,66829.0,33992.75699192045,49500.0,0.0,69403.0,28975.854568054692,39908.0,0.0,66829.0,35267.78558110628,50246.0,0.0,69403.0,30251.960223741455,40605.0,0.0,6.919497471773796e-08,4.924150841125291e-10,0.0,3.336725439332521e-06,4.5959184478724295e-10,0.0,1.8528512629856833e-07,5.101024543186684e-10,0.0,0.0037369196377183395,1.2028627755736853e-07,0.0,0.00022365446293183978,7.928771572750129e-09,0.0,0.01105130124015937,1.0630754382261575e-06
