File name,Range x,Range y,Range z,Bit depth,Prop. empty sl. x,Prop. empty sl. y,Prop. empty sl. z,Ocup. voxels x (min),Ocup. voxels x (max),Ocup. voxels x (mean),Ocup. voxels x (median),Ocup. voxels y (min),Ocup. voxels y (max),Ocup. voxels y (mean),Ocup. voxels y (median),Ocup. voxels z (min),Ocup. voxels z (max),Ocup. voxels z (mean),Ocup. voxels z (median),Bottom hor. x (min),Bottom hor. x (max),Bottom hor. x (mean),Bottom hor. x (median),Bottom hor. y (min),Bottom hor. y (max),Bottom hor. y (mean),Bottom hor. y (median),Bottom hor. z (min),Bottom hor. z (max),Bottom hor. z (mean),Bottom hor. z (median),Bottom vert. x (min),Bottom vert. x (max),Bottom vert. x (mean),Bottom vert. x (median),Bottom vert. y (min),Bottom vert. y (max),Bottom vert. y (mean),Bottom vert. y (median),Bottom vert. z (min),Bottom vert. z (max),Bottom vert. z (mean),Bottom vert. z (median),Top  hor. x (min),Top  hor. x (max),Top  hor. x (mean),Top  hor. x (median),Top  hor. y (min),Top  hor. y (max),Top  hor. y (mean),Top  hor. y (median),Top  hor. z (min),Top  hor. z (max),Top  hor. z (mean),Top  hor. z (median),Top vert. x (min),Top vert. x (max),Top vert. x (mean),Top vert. x (median),Top vert. y (min),Top vert. y (max),Top vert. y (mean),Top vert. y (median),Top vert. z (min),Top vert. z (max),Top vert. z (mean),Top vert. z (median),Entropy x (min),Entropy x (max),Entropy x (mean),Entropy y (min),Entropy y (max),Entropy y (mean),Entropy z (min),Entropy z (max),Entropy z (mean),SR entropy x (min),SR entropy x (max),SR entropy x (mean),SR entropy y (min),SR entropy y (max),SR entropy y (mean),SR entropy z (min),SR entropy z (max),SR entropy z (mean)
file000,56762,52513,63400,16,0.9538255553793844,0.9674943824503942,0.9576820554880838,0,18,0.04950407836090411,0.0,0,304,0.05350954031305937,0.0,0,23,0.04432106749104904,0.0,0.0,52513.0,10409.469668065623,2663.0,0.0,63400.0,31163.111789393362,30811.0,0.0,52513.0,10564.655475009538,2690.0,0.0,63400.0,32339.526898130483,32677.0,0.0,56762.0,13655.20913884007,5489.0,0.0,63400.0,29965.456942003515,29370.0,0.0,56762.0,15013.604569420035,5489.0,0.0,63400.0,33399.57820738137,34655.0,0.0,56762.0,18261.55497577339,16743.0,0.0,52513.0,10817.424524785687,2702.0,0.0,56762.0,18738.74207976146,17402.0,0.0,52513.0,11201.060752888558,2747.0,0.0,1.5627169339621534e-07,4.894850129662333e-10,0.0,2.106698889348278e-06,4.5932183263134275e-10,0.0,2.1907186535600123e-07,4.873946345959774e-10,0.0,0.01536153432235638,1.2435900220998748e-06,0.0,0.006251033876039215,7.563163918869921e-07,0.0,0.0005729682497678723,2.7747301852640875e-08
file001.ply,62883,49181,60153,16,0.9604827937154125,0.9638688951242325,0.9587059879642251,0,41,0.043794923987023726,0.0,0,443,0.05599609613273149,0.0,0,52,0.04578249160488081,0.0,0.0,49181.0,13153.357344064387,5093.0,0.0,60153.0,29405.389939637826,29636.0,0.0,49181.0,13685.391146881288,5606.0,5.0,60153.0,30520.34124748491,31376.0,0.0,62883.0,12792.59988745076,9930.0,0.0,60153.0,29882.635903207654,30436.0,0.0,62883.0,13315.570061902083,10219.0,0.0,60153.0,30536.794034890263,31402.0,0.0,62883.0,20680.985104669886,14402.5,0.0,49181.0,12848.530193236715,4693.5,0.0,62883.0,21188.97504025765,14786.0,0.0,49181.0,13230.199275362318,5195.0,0.0,3.8176237738713307e-07,4.815554325196656e-10,0.0,2.8655173250040293e-06,4.501456041136412e-10,0.0,4.584777910195875e-07,4.815025171988778e-10,0.0,0.005863202799072125,5.354226146190638e-07,0.0,0.003963509706633564,2.816934964500205e-07,0.0,0.027922074309280762,7.03083853806267e-07
file002.ply,60171,38462,69970,17,0.9563085820647477,0.9646673426409796,0.961584084835146,0,7,0.04541979658312836,0.0,0,855,0.07105529989860385,0.0,0,5,0.03905903874462277,0.0,0.0,38462.0,10001.13959680487,641.0,0.0,69970.0,34735.24876378851,35359.0,0.0,38462.0,10017.98706732598,641.0,0.0,69970.0,35627.57512362115,36788.0,0.0,60171.0,9131.512141280353,8675.0,0.0,69970.0,33871.005886681385,33026.0,0.0,60171.0,9197.727005150846,8675.0,0.0,69970.0,34588.261221486384,34520.0,0.0,60171.0,23350.022321428572,17608.0,0.0,38462.0,10119.113095238095,641.0,0.0,60171.0,23653.41183035714,17892.0,0.0,38462.0,10314.884300595239,641.0,0.0,7.792790693080457e-08,5.516210939569682e-10,0.0,4.8076039990006574e-06,4.851180086582855e-10,0.0,6.530593738120556e-08,5.487485286570881e-10,0.0,0.016300768597209886,1.4212912492764573e-06,0.0,0.016300768597209886,1.5301708730222984e-06,0.0,0.0024676093090139875,1.0654985968465664e-07
file003.ply,61510,43165,65908,17,0.9576986230105184,0.9606171523884539,0.9594592544265579,0,19,0.044951309521874136,0.0,0,284,0.06405504332113238,0.0,0,7,0.04195178200245794,0.0,0.0,43165.0,13193.152959262106,5481.0,0.0,65884.0,31759.232513451192,31520.5,0.0,43165.0,13242.376633358954,5607.0,0.0,65908.0,32710.009223674097,32587.0,0.0,61510.0,15346.325294117647,12322.0,0.0,65908.0,31955.94,32140.0,0.0,61510.0,15628.762352941176,12332.5,0.0,65908.0,32812.53941176471,33053.5,0.0,61499.0,24968.76609281437,18380.5,0.0,43165.0,12871.67627245509,4645.0,0.0,61510.0,25568.526571856288,18859.0,0.0,43165.0,13310.825973053892,5394.5,0.0,1.9100364589107262e-07,5.164043195819716e-10,0.0,1.7659905657938815e-06,4.831486629785547e-10,0.0,7.893635505542726e-08,5.16291838935046e-10,0.0,0.009403658516192638,6.295711912778333e-07,0.0,0.004471767436931329,3.1469411666048646e-07,0.0,0.01943154130993664,5.00099107673331e-07
file004.ply,46202,40892,78694,17,0.9611064216609311,0.9648350573447778,0.966300273206684,0,500,0.060970066878774105,0.0,0,545,0.06888709559093244,0.0,0,60,0.035796429252176125,0.0,0.0,40892.0,4354.565943238731,3583.0,0.0,78694.0,39869.47189760712,40098.0,0.0,40892.0,4479.233722871452,3950.0,0.0,78694.0,40633.868113522534,41102.0,0.0,46202.0,8668.00695410292,5224.0,0.0,78694.0,38197.99513212796,37795.0,0.0,46202.0,9141.856745479834,5224.0,0.0,78694.0,41768.34005563283,42884.5,0.0,46202.0,15982.541101055807,12742.0,0.0,40892.0,9776.85407239819,4034.0,0.0,46202.0,16293.113499245852,13245.0,0.0,40892.0,9943.836349924586,4034.0,0.0,3.7383317686954343e-06,5.68002536452466e-10,0.0,3.6142418384577108e-06,5.593095656313182e-10,0.0,8.368167231943831e-07,6.059317124408375e-10,0.0,0.024453996737434147,1.2071386784135746e-06,0.0,0.0045607777322390665,4.998329512457684e-07,0.0,0.015513198774680931,6.069550129590707e-07
file005.ply,52751,51137,67814,17,0.9531013042159538,0.9618874418240838,0.9606871636068717,0,16,0.05243403093721565,0.0,0,262,0.054088935820720406,0.0,0,22,0.04078743640787436,0.0,0.0,51137.0,17766.656831042845,12675.5,0.0,67814.0,32104.52708164915,31357.5,0.0,51137.0,18039.934114793858,13125.5,0.0,67814.0,34542.36742118027,35221.0,0.0,52751.0,5226.755772190867,3169.0,0.0,67814.0,33000.02411493073,33297.0,0.0,52751.0,5371.434581836839,3169.0,0.0,67814.0,33623.88660851719,34433.0,0.0,52751.0,10980.315828957238,4144.5,0.0,51137.0,18654.88447111778,14875.5,0.0,52751.0,11453.492498124531,4275.0,0.0,51137.0,19128.948237059263,15955.5,0.0,1.3441643776398468e-07,4.974603647213031e-10,0.0,1.841608609669331e-06,4.690257008232433e-10,0.0,2.308954168819297e-07,4.938946741535319e-10,0.0,0.0245811730735784,1.3389287712681133e-06,0.0,0.00490792001974893,2.387630265628589e-07,0.0,0.0002988592270727888,1.0615303445426986e-08
file006.ply,51378,49814,69846,17,0.9715058681562506,0.9689049483087423,0.9623176371211362,0,634,0.05410770937542576,0.0,0,651,0.055806483990765834,0.0,0,54,0.03980127994044125,0.0,0.0,49814.0,3479.5484972677596,2163.0,0.0,69846.0,34703.91325136612,34923.5,0.0,49814.0,3642.771174863388,2745.5,0.0,69846.0,35371.20560109289,35398.5,0.0,51378.0,4758.570045190446,1913.0,0.0,69846.0,33726.88766946417,33382.0,0.0,51378.0,5024.4215622982565,1913.0,0.0,69846.0,36642.53841187863,37770.0,0.0,51378.0,14137.164133738603,2136.5,0.0,49814.0,13767.510258358663,3737.0,0.0,51378.0,14496.034574468085,2631.5,0.0,49814.0,14084.900455927052,3737.0,0.0,4.3422577188249365e-06,4.4884234894426964e-10,0.0,4.324131261677626e-06,4.69984125196725e-10,0.0,5.684097905649779e-07,5.046942273576458e-10,0.0,0.011245823580351384,6.260818459153212e-07,0.0,0.011452785229133037,6.820361696747957e-07,0.0,0.0189934135745957,7.348356892809157e-07
file007.ply,47811,43356,76285,17,0.9681042416129841,0.9660723758562632,0.9645937655664211,0,609,0.0584999581694972,0.0,0,639,0.0645109209585534,0.0,0,24,0.03666465668667908,0.0,0.0,43356.0,2003.7540983606557,1461.0,0.0,76285.0,38459.43081967213,38545.0,0.0,43356.0,2167.871475409836,1624.0,0.0,76285.0,39052.47344262295,39308.0,0.0,47811.0,3913.5520054384774,1716.0,0.0,76285.0,38437.891230455476,38916.0,0.0,47811.0,4115.2549286199865,1716.0,0.0,76285.0,39234.70972127804,40087.0,0.0,47811.0,12976.808959644575,1907.0,0.0,43356.0,10724.130322102925,1806.0,0.0,47811.0,13322.32136245835,2235.0,0.0,43356.0,11005.429840799703,1806.0,0.0,4.385034459336902e-06,5.126412193053093e-10,0.0,4.184899681947173e-06,5.11711206521246e-10,0.0,3.2193340365483824e-07,5.709906479994173e-10,0.0,0.004872272318672569,2.4101225599871515e-07,0.0,0.008728471464945674,3.6219489721833975e-07,0.0,0.005252529470594038,2.9291976675465543e-07
file008.ply,58500,50184,63367,16,0.955094784704535,0.9691740559928266,0.9570287842444136,0,4,0.04750346147929095,0.0,0,561,0.05537511208528445,0.0,0,2,0.04385494255775786,0.0,0.0,50184.0,12938.787971069662,3403.0,0.0,63367.0,31132.70841263799,30873.0,0.0,50184.0,13254.208222306814,3403.0,0.0,63367.0,32389.03996954701,32730.0,0.0,58500.0,8432.980607627667,5535.0,0.0,63367.0,31716.586942469294,31898.0,0.0,58500.0,8650.870717517777,5541.0,0.0,63367.0,32577.12023270847,33228.0,0.0,58500.0,19183.861917003305,10337.0,0.0,50184.0,13365.888725670216,3403.0,0.0,58500.0,19631.84796180683,11156.0,0.0,50184.0,13762.451707675358,3403.0,0.0,3.900368599754652e-08,4.913923776614085e-10,0.0,3.6468608662217082e-06,4.4023040607469806e-10,0.0,2.1726989301636737e-08,4.907535313337708e-10,0.0,0.007672151128083279,1.2735859653258586e-06,0.0,0.0073322505107199475,4.998083059335418e-07,0.0,0.003007235893599341,7.117426430499955e-08
file009.ply,57984,42084,69618,17,0.9540053462102268,0.9750029701793989,0.9614329421565951,0,19,0.04787445028886781,0.0,0,734,0.065961744089343,0.0,0,25,0.03987417228055559,0.0,0.0,42084.0,7397.208098987627,965.0,0.0,69618.0,34136.53243344582,33518.0,0.0,42084.0,7423.4679415073115,965.0,0.0,69618.0,34878.497937757784,34842.0,0.0,57984.0,9212.423003802282,6288.0,0.0,69618.0,33755.12262357414,32167.5,0.0,57984.0,9473.945817490494,6288.0,0.0,69618.0,34568.19011406844,33375.5,0.0,57984.0,24202.427188081936,22376.0,0.0,42084.0,7298.842458100558,965.0,0.0,57984.0,24518.46554934823,22815.0,0.0,42084.0,7473.167597765363,965.0,0.0,1.8574480703199666e-07,5.357217588483163e-10,0.0,4.33354260011519e-06,4.52784949955643e-10,0.0,2.8667852389686973e-07,5.312648487556467e-10,0.0,0.01435770557174226,1.1566025607803342e-06,0.0,0.0025331780826579925,1.3536774252474137e-07,0.0,0.0018377778025745852,9.717813154233444e-08
