File name,Range x,Range y,Range z,Bit depth,Prop. empty sl. x,Prop. empty sl. y,Prop. empty sl. z,Ocup. voxels x (min),Ocup. voxels x (max),Ocup. voxels x (mean),Ocup. voxels x (median),Ocup. voxels y (min),Ocup. voxels y (max),Ocup. voxels y (mean),Ocup. voxels y (median),Ocup. voxels z (min),Ocup. voxels z (max),Ocup. voxels z (mean),Ocup. voxels z (median),Bottom hor. x (min),Bottom hor. x (max),Bottom hor. x (mean),Bottom hor. x (median),Bottom hor. y (min),Bottom hor. y (max),Bottom hor. y (mean),Bottom hor. y (median),Bottom hor. z (min),Bottom hor. z (max),Bottom hor. z (mean),Bottom hor. z (median),Bottom vert. x (min),Bottom vert. x (max),Bottom vert. x (mean),Bottom vert. x (median),Bottom vert. y (min),Bottom vert. y (max),Bottom vert. y (mean),Bottom vert. y (median),Bottom vert. z (min),Bottom vert. z (max),Bottom vert. z (mean),Bottom vert. z (median),Top  hor. x (min),Top  hor. x (max),Top  hor. x (mean),Top  hor. x (median),Top  hor. y (min),Top  hor. y (max),Top  hor. y (mean),Top  hor. y (median),Top  hor. z (min),Top  hor. z (max),Top  hor. z (mean),Top  hor. z (median),Top vert. x (min),Top vert. x (max),Top vert. x (mean),Top vert. x (median),Top vert. y (min),Top vert. y (max),Top vert. y (mean),Top vert. y (median),Top vert. z (min),Top vert. z (max),Top vert. z (mean),Top vert. z (median),Entropy x (min),Entropy x (max),Entropy x (mean),Entropy y (min),Entropy y (max),Entropy y (mean),Entropy z (min),Entropy z (max),Entropy z (mean),SR entropy x (min),SR entropy x (max),SR entropy x (mean),SR entropy y (min),SR entropy y (max),SR entropy y (mean),SR entropy z (min),SR entropy z (max),SR entropy z (mean)
file00,94073,18418,18619,17,0.9697578502030316,0.8566697431999566,0.8595059076262084,0,3,0.030922465293279758,0.0,0,4,0.15793474129974483,0.0,0,4,0.1562298603651987,0.0,0.0,18418.0,9720.074516695959,9751.0,0.0,18619.0,9537.059753954305,9665.0,0.0,18418.0,9830.35711775044,9856.0,0.0,18619.0,9630.833040421792,9766.0,0.0,94073.0,32904.7981060606,30850.0,0.0,18619.0,9356.9375,9470.5,0.0,94073.0,34977.7125,33576.5,19.0,18619.0,9786.80606060606,9975.0,0.0,94073.0,32601.74388379205,30736.5,0.0,18418.0,9545.980886850153,9543.5,0.0,94073.0,35235.378058103975,33963.0,0.0,18418.0,10031.564220183487,10016.0,0.0,2.467727317097998e-07,2.682497972812106e-09,0.0,6.884624958044603e-08,2.881503095094794e-09,0.0,6.95613974856516e-08,2.8785251429634257e-09,0.0,0.00042889177494835677,1.1966918071899061e-08,0.0,0.0170254317749647,1.3084187670452149e-06,0.0,0.00033294750882057584,8.614287583370649e-08
file01.ply,96011,16432,16519,17,0.9796900387451568,0.8912554007180673,0.8918280871670702,0,57,0.021851435237262008,0.0,0,4,0.12766993245299094,0.0,0,5,0.12699757869249395,0.0,0.0,16432.0,7837.196410256411,7776.0,0.0,16519.0,7983.557948717948,7874.0,0.0,16432.0,7928.628205128205,7921.5,0.0,16519.0,8070.912820512821,7950.5,0.0,96011.0,37644.65025181869,38869.0,0.0,16519.0,7898.862898712927,7613.0,0.0,96011.0,42103.77783995523,42867.0,0.0,16519.0,8153.273642977057,8306.0,0.0,96011.0,37524.680470061554,39043.0,0.0,16432.0,7745.028539451595,7401.0,0.0,96011.0,42259.02518186905,42804.0,0.0,16432.0,8018.676552881925,8253.0,0.0,4.960653327870303e-06,2.3469846974839146e-09,0.0,7.567039438433494e-08,2.5506145378821034e-09,0.0,9.404441926921636e-08,2.550152504218422e-09,0.0,0.0007714836881049696,2.9641019846083033e-08,0.0,0.017494232951246486,6.8272463996527896e-06,0.0,0.04159394911809519,1.0907060517154345e-05
file02.ply,97487,7013,6963,17,0.9746122599704579,0.7164242942686057,0.7179781734635267,0,7,0.02586985064828492,0.0,0,5,0.35956658112346734,0.0,0,8,0.36214819069500287,0.0,0.0,7013.0,3458.5967676767677,3402.0,0.0,6963.0,3459.1256565656568,3426.0,0.0,7013.0,3496.586262626263,3489.0,0.0,6963.0,3488.3264646464645,3468.0,0.0,97487.0,38135.638511814985,35500.0,0.0,6963.0,3278.8225238813475,2940.0,0.0,97487.0,45271.789341377575,45853.0,0.0,6963.0,3679.446958270488,4019.0,0.0,97487.0,37894.6451120163,34572.0,0.0,7013.0,3280.1216904276985,2921.5,0.0,97487.0,45318.947046843175,46347.0,0.0,7013.0,3685.428716904277,3974.0,0.0,3.4647910122175874e-06,1.4268630610187437e-08,0.0,2.095973989020228e-07,1.6060641125812145e-08,0.0,3.25152767923486e-07,1.6051325398510328e-08,0.0,0.0002629937669508972,1.2232968022056368e-08,0.0,0.04036975757828752,2.7917297570776333e-05,0.0,0.04036975757828752,2.9293611793345987e-05
file03.ply,95357,19009,19205,17,0.9792361416976028,0.920462914255655,0.9169009684473602,0,12,0.02119381698441662,0.0,0,161,0.10631246712256708,0.0,0,85,0.1052275330625846,0.0,0.0,19009.0,9119.298484848485,9098.0,0.0,19205.0,9545.007575757576,9602.0,0.0,19009.0,9150.682323232324,9098.0,0.0,19205.0,9585.015151515152,9602.0,0.0,95357.0,40866.56746031746,40375.5,0.0,19205.0,9401.498677248677,9387.5,0.0,95357.0,47047.41997354497,50604.5,0.0,19205.0,9715.839947089948,9792.5,0.0,95357.0,44186.81015037594,45130.0,0.0,11773.0,8994.684837092731,9098.0,0.0,95357.0,50120.71365914787,55877.5,6670.0,19009.0,9275.044486215538,9301.5,0.0,8.644547688677846e-07,1.731900307722477e-09,0.0,2.18735408637732e-06,1.8137199693765836e-09,0.0,1.2092372177096247e-06,1.8324342347524484e-09,0.0,0.015619332079736056,1.752166191166348e-07,0.0,0.034756744346676846,9.555978117131764e-06,0.0,0.034756744346676846,9.093945379496064e-06
file04.ply,96879,13941,14539,17,0.9793146160198183,0.8606369244010902,0.8658872077028886,0,41,0.022987200660611065,0.0,0,4,0.1597331803184622,0.0,0,5,0.1531636863823934,0.0,0.0,13941.0,6698.910678642715,6647.0,0.0,14539.0,7169.523453093812,7167.0,0.0,13941.0,6796.330838323353,6805.0,0.0,14539.0,7280.483532934131,7372.0,0.0,96879.0,35108.07462686567,34727.0,0.0,14193.0,7038.2671127123,6960.0,0.0,96879.0,38437.258363355635,38361.0,0.0,14539.0,7387.717961914565,7566.0,0.0,96879.0,35503.44564102564,35122.5,0.0,13941.0,6585.481025641026,6425.0,16.0,96879.0,38910.93641025641,38917.5,0.0,13941.0,6877.399487179488,7024.0,0.0,4.789350982346596e-06,3.2421350704455735e-09,0.0,8.47184449307272e-08,3.5797397810227775e-09,0.0,1.0902423624502013e-07,3.573400216644922e-09,0.0,0.0007584912958531224,2.2162747114445338e-08,0.0,0.015268335925883824,7.20625951344258e-06,0.0,0.006217797711210602,6.279222155952712e-06
file05.ply,98365,8840,8830,17,0.9813045157879755,0.829317950458093,0.8265202128864229,0,5,0.01908179655572047,0.0,0,44,0.21230630019228594,0.0,0,7,0.21254671045181747,0.0,0.0,8840.0,4222.187058183796,4102.0,0.0,8830.0,4344.012506797172,4341.0,0.0,8840.0,4259.8297988036975,4156.0,0.0,8830.0,4387.253942359978,4402.0,0.0,98228.0,39467.97084161697,39162.0,0.0,8830.0,4243.027833001988,3965.0,0.0,98365.0,45038.82107355865,46356.0,0.0,8830.0,4490.29688535454,4811.0,0.0,98228.0,38867.59595300261,37721.0,0.0,8840.0,4110.3648825065275,3648.5,0.0,98365.0,44586.02023498694,45966.0,0.0,8840.0,4395.592689295039,4581.5,0.0,1.6227450344259394e-06,6.75000197070712e-09,0.0,1.3006200979699148e-06,7.486264098879534e-09,0.0,2.280429766187036e-07,7.510774977588654e-09,0.0,0.0005897363075857677,2.1633173674800002e-08,0.0,0.03327031774155792,2.5526605015584574e-05,0.0,0.026284638501825438,2.1203538122654113e-05
file06.ply,96190,15165,14525,17,0.9765778503186369,0.866411710404853,0.8622470053696819,0,38,0.025075110977118443,0.0,0,49,0.15903995780034288,0.0,0,48,0.16604708798017348,0.0,0.0,15165.0,7944.247225920994,7922.0,0.0,14525.0,7193.358632933866,7146.0,0.0,15165.0,7983.354194407457,7978.0,0.0,14525.0,7226.242343541944,7177.0,0.0,96190.0,35994.29368213228,33948.0,0.0,14525.0,7032.030602171767,6871.0,0.0,96190.0,39611.64215202369,39614.5,635.0,14525.0,7391.554787759132,7401.0,0.0,96190.0,34921.176411794106,32603.0,0.0,15165.0,7781.809095452274,7476.0,0.0,96190.0,39288.00449775113,39077.0,0.0,15165.0,8192.209395302349,8429.0,0.0,4.12420355432685e-06,3.2833472273454357e-09,0.0,9.19070107407579e-07,3.5674669488045562e-09,0.0,8.653460991271327e-07,3.57646715307081e-09,0.0,0.00045486129906319823,1.0193368038229592e-08,0.0,0.015619332079736056,6.404591498332433e-06,0.0,0.007353786421473027,3.7501624942835805e-06
file07.ply,97745,14580,11016,17,0.977891678431854,0.859543241204307,0.81492239266588,0,74,0.024512512020952264,0.0,0,61,0.16432343460667992,0.0,0,62,0.21748207315966234,0.0,0.0,14580.0,7311.376214715409,7372.0,0.0,11016.0,5492.563627950023,5520.0,0.0,14580.0,7429.963905599259,7571.0,0.0,11016.0,5605.21517815826,5681.0,0.0,97745.0,33162.4306640625,28554.5,0.0,11016.0,5375.2236328125,5169.5,0.0,97745.0,35830.4345703125,33707.5,0.0,11016.0,5716.61962890625,6156.0,0.0,97745.0,32864.97106424718,28429.0,0.0,14580.0,7123.946051986268,6771.0,0.0,97745.0,35946.86758214811,33755.0,0.0,14580.0,7558.111819519372,8019.0,0.0,1.0361402440099508e-05,4.30372572151774e-09,0.0,1.4453820724599306e-06,4.7231185229737976e-09,0.0,1.1265635461387735e-06,4.783834647117407e-09,0.0,0.0007605998738671689,1.4036603210197916e-08,0.0,0.01971451129389136,8.963830087930591e-06,0.0,0.01971451129389136,1.128458381892361e-05
file08.ply,91768,25135,25276,17,0.9747845132888012,0.9143857415658816,0.9137160264271867,0,2,0.025836611491898136,0.0,0,10,0.09432686187141948,0.0,0,11,0.09380068837282905,0.0,0.0,25135.0,12494.882886776146,12411.0,0.0,25276.0,12543.421348314607,12397.5,0.0,25135.0,12657.66032843561,12638.5,0.0,25276.0,12680.671996542784,12641.0,0.0,91768.0,30531.48884758364,21789.5,0.0,25276.0,12407.223513011153,12031.5,0.0,91768.0,32627.273234200744,23975.5,0.0,25276.0,12769.123605947956,12898.5,0.0,91768.0,31054.408528198073,22273.0,0.0,25135.0,12399.402109124256,12148.0,0.0,91768.0,32672.58413571756,24099.0,0.0,25135.0,12748.995414947272,12957.0,0.0,9.344489827344855e-08,1.245858936730418e-09,0.0,1.2601938514722635e-07,1.3155458780023728e-09,0.0,1.387047197579976e-07,1.3161323556704763e-09,0.0,0.00024426581941974464,9.438908745815599e-09,0.0,0.012861989524097518,3.154325501891272e-06,0.0,0.009676310853196882,1.0017339213645278e-06
file09.ply,93432,13375,27088,17,0.9742489270386266,0.8446471291866029,0.9197091070176087,0,14,0.026564490062397653,0.0,0,61,0.18555622009569378,0.0,0,38,0.09162390638266454,0.0,0.0,13375.0,6619.249792186201,6747.0,0.0,27088.0,13090.491271820449,12938.0,0.0,13375.0,6686.313383208645,6800.5,0.0,27088.0,13182.406483790524,13053.5,0.0,93432.0,40834.013474494706,38833.0,0.0,25281.0,12569.424446583253,12437.0,0.0,93432.0,43095.27333974976,40641.0,699.0,27088.0,13201.422521655439,13198.0,0.0,93172.0,41854.799540229884,39284.0,0.0,12287.0,6544.5310344827585,6723.0,2247.0,93432.0,43368.17885057471,40655.0,283.0,13375.0,6799.444597701149,6814.0,0.0,1.00720643753122e-06,2.183877987831682e-09,0.0,6.446804085398314e-07,2.3515241528132618e-09,0.0,8.031329696783136e-07,2.2876521466381154e-09,0.0,0.0004112885616609086,1.491294092591619e-08,0.0,0.006315798409609859,7.648408388804049e-07,0.0,0.0029254459509131833,3.113951247047841e-07
