File name,Range x,Range y,Range z,Bit depth,Prop. empty sl. x,Prop. empty sl. y,Prop. empty sl. z,Ocup. voxels x (min),Ocup. voxels x (max),Ocup. voxels x (mean),Ocup. voxels x (median),Ocup. voxels y (min),Ocup. voxels y (max),Ocup. voxels y (mean),Ocup. voxels y (median),Ocup. voxels z (min),Ocup. voxels z (max),Ocup. voxels z (mean),Ocup. voxels z (median),Bottom hor. x (min),Bottom hor. x (max),Bottom hor. x (mean),Bottom hor. x (median),Bottom hor. y (min),Bottom hor. y (max),Bottom hor. y (mean),Bottom hor. y (median),Bottom hor. z (min),Bottom hor. z (max),Bottom hor. z (mean),Bottom hor. z (median),Bottom vert. x (min),Bottom vert. x (max),Bottom vert. x (mean),Bottom vert. x (median),Bottom vert. y (min),Bottom vert. y (max),Bottom vert. y (mean),Bottom vert. y (median),Bottom vert. z (min),Bottom vert. z (max),Bottom vert. z (mean),Bottom vert. z (median),Top  hor. x (min),Top  hor. x (max),Top  hor. x (mean),Top  hor. x (median),Top  hor. y (min),Top  hor. y (max),Top  hor. y (mean),Top  hor. y (median),Top  hor. z (min),Top  hor. z (max),Top  hor. z (mean),Top  hor. z (median),Top vert. x (min),Top vert. x (max),Top vert. x (mean),Top vert. x (median),Top vert. y (min),Top vert. y (max),Top vert. y (mean),Top vert. y (median),Top vert. z (min),Top vert. z (max),Top vert. z (mean),Top vert. z (median),Entropy x (min),Entropy x (max),Entropy x (mean),Entropy y (min),Entropy y (max),Entropy y (mean),Entropy z (min),Entropy z (max),Entropy z (mean),SR entropy x (min),SR entropy x (max),SR entropy x (mean),SR entropy y (min),SR entropy y (max),SR entropy y (mean),SR entropy z (min),SR entropy z (max),SR entropy z (mean)
file00,16958,62763,75802,17,0.9367297600094345,0.9646134726913518,0.9692756223368468,0,708,0.15967922636947934,0.0,0,132,0.04314575234210694,0.0,0,81,0.03572417978180283,0.0,0.0,62763.0,29100.440820130476,28583.0,0.0,75802.0,37219.04100652377,36586.0,0.0,62763.0,29972.81453867661,31135.0,0.0,75802.0,38433.497670083874,39758.0,0.0,16958.0,8328.965330932013,8468.0,0.0,75802.0,37628.4502476362,38193.0,0.0,16958.0,8492.534894191806,8679.0,0.0,75802.0,38165.194056731205,39011.0,0.0,16958.0,8392.527264920567,8571.0,0.0,62763.0,29625.82996994418,29508.0,0.0,16958.0,8575.793044224989,8831.0,0.0,62763.0,30025.531558608844,30160.0,0.0,3.5897341038431225e-06,9.498273754686816e-10,0.0,2.5318950696276074e-06,1.026873555902708e-09,0.0,1.9093225182592148e-06,1.0289320541871547e-09,0.0,0.013584180799014562,1.0739495553652786e-06,0.0,0.010076026027796479,4.4760518974866954e-07,0.0,0.01197423744354841,4.5769057920334175e-07
file01.ply,23673,80483,53745,17,0.8946523612401791,0.968490631678346,0.9516057008893685,0,6,0.11316211878009631,0.0,0,10,0.03328611898016997,0.0,0,3,0.049845569902876495,0.0,0.0,80483.0,25868.767040898154,24843.0,0.0,53745.0,26122.234562951082,25458.0,0.0,80483.0,27008.22854851644,26590.5,0.0,53745.0,27260.35685645549,27647.0,0.0,23673.0,11605.511435331231,11278.5,0.0,53745.0,26272.673501577287,25578.5,0.0,23673.0,11879.29692429022,11844.5,73.0,53745.0,26997.006703470033,27259.5,0.0,23673.0,11642.462514417532,11435.0,0.0,80483.0,26070.480584390618,25098.0,0.0,23673.0,11861.961168781238,11685.0,0.0,80483.0,26599.725490196077,25894.0,0.0,4.28158209736327e-08,8.713435694637336e-10,0.0,2.2293332232121488e-07,8.25744697848867e-10,0.0,4.831349889792671e-08,8.426632253257589e-10,0.0,0.0009927915115896288,9.302280725313224e-08,0.0,0.00038468060253923664,1.6103448535489745e-08,0.0,0.004815395263217915,1.3088732092782962e-07
file02.ply,35367,41809,83195,17,0.932905451255372,0.9399904329107869,0.9692893889129285,0,5,0.07444582673603257,0.0,0,4,0.06297536474527625,0.0,0,3,0.03164815616135391,0.0,0.0,41809.0,18967.476611883692,18101.0,0.0,83195.0,41802.38432364096,40529.0,5.0,41809.0,20417.70037926675,20697.0,0.0,83195.0,43813.23598820059,44670.0,0.0,35367.0,10206.486249501793,9735.0,0.0,83195.0,42405.000398565164,42163.0,0.0,35367.0,10535.252690314866,10209.0,0.0,83195.0,43384.62534874452,43685.0,0.0,35367.0,10315.728767123288,9844.0,0.0,41809.0,19573.2,19237.0,0.0,35367.0,10516.287279843444,10137.0,0.0,41809.0,19986.80469667319,19933.0,0.0,4.429670907675777e-08,7.048077022602698e-10,0.0,4.200146708282863e-08,7.020182441946485e-10,0.0,6.15108748669492e-08,6.815371108105776e-10,0.0,0.0006565429772414079,6.405755709701788e-08,0.0,0.0035255753202353773,1.4157904700991866e-07,0.0,0.0007497573732184748,1.670612570772336e-08
file03.ply,19101,76910,60415,17,0.876086273688619,0.9706673947809806,0.9582891949152542,0,81,0.1417652601821799,0.0,0,336,0.03520952789587965,0.0,0,19,0.044822563559322036,0.0,0.0,40201.0,16952.076468103085,16112.0,0.0,60415.0,29325.13857203211,28532.0,0.0,76910.0,17691.088719898606,17116.0,0.0,60415.0,31331.657794676805,31908.0,0.0,19101.0,8677.26640070922,7746.5,0.0,60415.0,29772.069592198583,29298.0,0.0,19101.0,8817.033687943262,8652.0,0.0,60415.0,30642.728723404256,31063.0,0.0,19101.0,8782.954761904763,8471.0,0.0,76910.0,19055.573412698413,17514.5,0.0,19101.0,8944.048412698412,9028.5,0.0,76910.0,19588.357936507935,18515.5,0.0,4.744332501226619e-07,1.0093846905583263e-09,0.0,6.741290778365676e-06,9.260887668623521e-10,0.0,3.5754933830448696e-07,9.658830804977595e-10,0.0,0.008011753741341063,3.8879466816700665e-06,0.0,0.03317280641943041,9.795360789813746e-07,0.0,0.008689133702897275,1.5218545449089222e-07
file04.ply,35389,48402,78914,17,0.9384571912969766,0.9452719872735161,0.9658493315592727,0,21,0.07877931619101441,0.0,0,3,0.05759973555358139,0.0,0,3,0.035329151618830386,0.0,0.0,48402.0,21000.928374655647,19781.0,0.0,78914.0,36114.87052341598,34919.0,0.0,48402.0,22655.15381083563,23313.0,0.0,78914.0,39575.28558310377,41514.5,0.0,35389.0,11608.957342393356,9769.0,0.0,78914.0,37204.439033597584,36698.0,0.0,35389.0,11979.572291430728,10215.0,0.0,78914.0,38377.44469611174,38509.0,0.0,35389.0,11679.265677179963,9913.0,0.0,48402.0,21294.39146567718,20687.0,0.0,35389.0,11991.948423005566,10421.0,0.0,48402.0,21828.922077922078,21620.0,0.0,1.5878251033897578e-07,6.736295920232163e-10,0.0,3.355425872957583e-08,6.748431994300685e-10,0.0,5.347095157609964e-08,6.609961684606281e-10,0.0,0.0018112381693843975,2.0559565911453126e-07,0.0,0.013051347018705476,3.8590911591342075e-07,0.0,0.0002561699292724441,1.591451551132839e-08
file05.ply,18300,78942,58568,17,0.8766734058248183,0.9710930671497157,0.954924960303232,0,5,0.14955466914376264,0.0,0,393,0.03467058510570918,0.0,0,3,0.046731205928050676,0.0,0.0,78942.0,19369.69029685423,17767.0,0.0,58568.0,24050.6920691183,21983.0,0.0,78942.0,20361.41470979176,18709.0,0.0,58568.0,27958.65396544085,28984.0,0.0,18300.0,9001.425942156004,7960.0,0.0,58552.0,25662.564417177913,24882.5,0.0,18300.0,9220.445223488168,9588.5,3.0,58568.0,26271.8768624014,25829.5,0.0,18300.0,8967.112121212122,8245.0,0.0,78942.0,20219.86212121212,18746.0,0.0,18300.0,9269.038257575758,9612.5,0.0,78942.0,20890.0875,19555.0,0.0,3.3769200927464927e-08,1.0730844079323812e-09,0.0,8.367576605523297e-06,9.754423530483252e-10,0.0,6.288877919391571e-08,1.028588176723983e-09,0.0,0.031045337397882813,1.3482353619835966e-05,0.0,0.016638011234698227,8.639196658333179e-07,0.0,0.0034349449328635426,1.3005758890954964e-07
file06.ply,26029,71633,64662,17,0.9145985401459854,0.9656587653907363,0.9647402687781266,0,351,0.10741452170572416,0.0,0,267,0.039031744702236366,0.0,0,204,0.043239565129981596,0.0,0.0,71554.0,30313.496626180837,34386.0,0.0,64662.0,31356.81871345029,31182.0,0.0,71633.0,31240.501124606388,35625.0,0.0,64662.0,33080.61673414305,33545.0,0.0,26029.0,13079.168292682927,13554.5,0.0,64662.0,31807.33455284553,31401.5,3.0,26029.0,13336.458536585365,14105.5,0.0,64662.0,32442.41585365854,32208.5,0.0,26029.0,12829.271052631579,12909.5,0.0,71633.0,29376.735526315788,32267.0,0.0,26029.0,13121.377631578947,13547.0,0.0,71633.0,29900.52412280702,33022.0,0.0,1.9017047978905652e-06,7.486828980662511e-10,0.0,3.811928665793755e-06,7.251377995129856e-10,0.0,2.6876971724540575e-06,7.192907097471734e-10,0.0,0.011805603324568217,1.8764759366847392e-06,0.0,0.013097945974916264,7.252043353898792e-07,0.0,0.022053419261960704,4.659203357302705e-07
file07.ply,27445,39776,87342,17,0.9069445456532829,0.9343087714005581,0.9692247804632311,0,51,0.10376739779931501,0.0,0,49,0.07159916534680846,0.0,0,67,0.03260707784252888,0.0,0.0,39776.0,20419.442051683633,21754.0,0.0,87342.0,42209.73962411903,42184.5,0.0,39776.0,21136.71574001566,23200.5,0.0,87342.0,44193.40289741582,44883.0,0.0,27445.0,13596.373899732109,12309.0,0.0,87342.0,42530.429008802144,42898.0,0.0,27445.0,13959.490623804057,13722.0,0.0,87342.0,44049.04247990815,44609.0,0.0,27445.0,13676.074776785714,13190.5,0.0,39776.0,20696.346726190477,21652.0,0.0,27445.0,13871.831101190477,13603.0,0.0,39776.0,20921.53683035714,22004.0,0.0,4.031613702326514e-07,9.795168515607717e-10,0.0,5.516182984187307e-07,9.650541967739557e-10,0.0,1.558859686546561e-06,9.32314393369336e-10,0.0,0.00945353406524531,1.8738493602304458e-06,0.0,0.005726764680303725,9.910927826545877e-07,0.0,0.00012133627216846755,3.234266185041759e-09
file08.ply,36408,64786,65284,16,0.9246889505342085,0.9864942040841527,0.957294937581374,0,10,0.08094152544700486,0.0,0,158,0.04548752064457376,0.0,0,17,0.045140537642643794,0.0,0.0,64786.0,22177.333698030634,20238.0,0.0,65284.0,28021.48614150255,25593.0,0.0,64786.0,23231.513129102845,23502.0,0.0,65284.0,29122.016776075856,27955.5,0.0,36408.0,16812.58057142857,15741.0,0.0,65284.0,28048.677714285714,28395.0,0.0,36408.0,17731.921142857143,16875.0,0.0,65284.0,29652.29142857143,30237.0,0.0,36408.0,17726.492467718796,17528.5,0.0,64786.0,22514.85724533716,20241.5,0.0,36408.0,18083.647058823528,18072.0,0.0,64786.0,23080.070659971305,23417.0,0.0,7.116159994604668e-08,6.364125856825922e-10,0.0,1.6807553792173015e-06,5.374483338162987e-10,0.0,2.053311104505142e-07,6.205772109845125e-10,0.0,0.0023705217788020263,1.066397186044249e-07,0.0,0.00027798599387528114,7.480745234253729e-09,0.0,0.004380421135999285,2.058767727235771e-07
file09.ply,36226,73987,56637,17,0.9596709636458994,0.9687652051684057,0.9623927398566333,0,233,0.08093410991801694,0.0,0,153,0.03962804779153376,0.0,0,118,0.051767364666831454,0.0,0.0,73987.0,26414.464750171115,27289.0,0.0,56637.0,28110.960301163588,26191.0,0.0,73987.0,27194.704996577686,28607.0,0.0,56637.0,29039.51676933607,28605.0,0.0,36226.0,17872.95716140199,15875.0,0.0,56637.0,28012.647338814368,27474.0,0.0,36226.0,18368.873215058415,15875.0,0.0,56637.0,28972.145391605365,29409.0,0.0,36226.0,17290.22676056338,15875.0,0.0,73987.0,25842.31455399061,25105.0,0.0,36226.0,17789.96572769953,15875.0,0.0,73987.0,26526.275117370893,26030.5,0.0,1.4202295559824398e-06,5.745427942554138e-10,0.0,1.8731101158174063e-06,6.017681351669474e-10,0.0,1.1393307630837893e-06,6.024919075061728e-10,0.0,0.0015650661538324608,8.241483503646781e-08,0.0,0.008335892655126607,2.583928021984115e-07,0.0,0.02442873007833369,1.1574325717918591e-06
