File name,Range x,Range y,Range z,Bit depth,Prop. empty sl. x,Prop. empty sl. y,Prop. empty sl. z,Ocup. voxels x (min),Ocup. voxels x (max),Ocup. voxels x (mean),Ocup. voxels x (median),Ocup. voxels y (min),Ocup. voxels y (max),Ocup. voxels y (mean),Ocup. voxels y (median),Ocup. voxels z (min),Ocup. voxels z (max),Ocup. voxels z (mean),Ocup. voxels z (median),Bottom hor. x (min),Bottom hor. x (max),Bottom hor. x (mean),Bottom hor. x (median),Bottom hor. y (min),Bottom hor. y (max),Bottom hor. y (mean),Bottom hor. y (median),Bottom hor. z (min),Bottom hor. z (max),Bottom hor. z (mean),Bottom hor. z (median),Bottom vert. x (min),Bottom vert. x (max),Bottom vert. x (mean),Bottom vert. x (median),Bottom vert. y (min),Bottom vert. y (max),Bottom vert. y (mean),Bottom vert. y (median),Bottom vert. z (min),Bottom vert. z (max),Bottom vert. z (mean),Bottom vert. z (median),Top  hor. x (min),Top  hor. x (max),Top  hor. x (mean),Top  hor. x (median),Top  hor. y (min),Top  hor. y (max),Top  hor. y (mean),Top  hor. y (median),Top  hor. z (min),Top  hor. z (max),Top  hor. z (mean),Top  hor. z (median),Top vert. x (min),Top vert. x (max),Top vert. x (mean),Top vert. x (median),Top vert. y (min),Top vert. y (max),Top vert. y (mean),Top vert. y (median),Top vert. z (min),Top vert. z (max),Top vert. z (mean),Top vert. z (median),Entropy x (min),Entropy x (max),Entropy x (mean),Entropy y (min),Entropy y (max),Entropy y (mean),Entropy z (min),Entropy z (max),Entropy z (mean),SR entropy x (min),SR entropy x (max),SR entropy x (mean),SR entropy y (min),SR entropy y (max),SR entropy y (mean),SR entropy z (min),SR entropy z (max),SR entropy z (mean)
file000,72707,40523,55172,17,0.9618748968476646,0.9332247557003257,0.9504649013104236,0,4,0.039115365571876545,0.0,0,4,0.070180633698549,0.0,0,14,0.05154695231363167,0.0,0.0,40523.0,17817.196608946608,16874.5,0.0,55172.0,27126.695526695526,27019.5,0.0,40523.0,18136.844155844155,17506.0,0.0,55172.0,27518.958513708512,27755.0,0.0,72707.0,28772.19733924612,28310.0,0.0,55172.0,27017.542128603105,26870.0,59.0,72707.0,29777.179970436067,29935.5,0.0,55172.0,27860.17516629712,28009.5,0.0,72707.0,28688.178192462496,28359.0,0.0,40523.0,17669.279546286132,16736.0,0.0,72707.0,29308.323819978046,29597.0,0.0,40523.0,18132.6048298573,17532.0,0.0,5.456738643711357e-08,5.676926221121016e-10,0.0,3.1254196033914636e-08,5.816299850983177e-10,0.0,1.382298916614673e-07,5.738980747772388e-10,0.0,7.116854736315202e-05,4.586328891538634e-09,0.0,0.0005828540471207608,2.1236613445455946e-08,0.0,0.00013838597835404614,6.730020613075081e-09
file001.ply,63299,59722,47630,16,0.9571090047393365,0.9664618321249769,0.943356217589385,0,2,0.0442654028436019,0.0,0,270,0.04691659829546406,0.0,0,3,0.05882723436417459,0.0,0.0,59722.0,24405.48729281768,17974.0,0.0,47630.0,23283.98931860037,23023.0,0.0,59722.0,25088.45009208103,19479.0,0.0,47630.0,23759.077348066297,23692.0,0.0,63299.0,26091.0963554668,26318.0,0.0,47630.0,23335.03794308537,22881.0,166.0,63299.0,26747.94757863205,27462.0,154.0,47630.0,23903.17024463305,23692.0,0.0,63299.0,25230.99110452187,24903.5,0.0,59722.0,24307.624166048925,17726.0,0.0,63299.0,25827.622312824315,25999.0,0.0,59722.0,25144.52891030393,19644.5,0.0,2.2391595240871467e-08,5.101810326375353e-10,0.0,2.2258264265381805e-06,4.815861112933833e-10,0.0,2.5134719081079085e-08,5.163685113245217e-10,0.0,0.005048204090487436,2.625543945348358e-07,0.0,2.0326181435484646e-05,1.3022762843171077e-09,0.0,0.004819411411281872,2.419570425314339e-07
file002.ply,80395,44538,38911,17,0.9662421015970943,0.941556837827522,0.9309981496710527,0,3,0.034728095925170406,0.0,0,36,0.06268663418576978,0.0,0,3,0.0717516447368421,0.0,0.0,44538.0,20952.25865880619,19766.0,0.0,38858.0,21064.44473102432,20968.0,0.0,44538.0,21259.22733971997,20447.0,0.0,38911.0,21338.078481945468,21289.0,0.0,80395.0,45900.81636573185,49007.0,0.0,38911.0,20951.33461390703,20836.0,0.0,80395.0,46525.02881290818,49636.0,0.0,38911.0,21392.444487130233,21332.0,0.0,80395.0,45815.693109869644,49045.0,0.0,44538.0,20817.485661080074,19610.0,0.0,80395.0,46558.15716945996,49777.0,0.0,44538.0,21408.6208566108,20712.0,0.0,5.2879373296976736e-08,6.427517041259313e-10,0.0,3.200898495730292e-07,6.56672414541475e-10,0.0,2.6470949852622564e-08,6.633243517103885e-10,0.0,0.0003694285025925115,1.381617325308918e-08,0.0,5.0880011825822975e-05,7.444231879910863e-09,0.0,0.0004853825878470607,2.275905110543783e-08
file003.ply,63310,60968,46748,16,0.9567847609420164,0.9618658662599026,0.9432929046610623,0,3,0.04492110375764085,0.0,0,260,0.04664665649756434,0.0,0,46,0.060835525893602,0.0,0.0,60968.0,24744.581505847953,22337.5,0.0,46748.0,23307.84831871345,23288.5,0.0,60968.0,25549.717470760235,24082.0,0.0,46748.0,23769.675438596492,23874.0,0.0,63310.0,26828.456344086022,26817.0,0.0,46748.0,23300.500215053762,23357.0,0.0,63310.0,27372.847311827958,27795.0,0.0,46748.0,23697.926021505376,23819.0,0.0,63310.0,25153.55149000377,24470.0,0.0,60968.0,24445.87174651075,21957.0,0.0,63310.0,25741.548095058468,25401.0,0.0,60968.0,25336.90456431535,23759.0,0.0,3.290898779857942e-08,5.165395502352959e-10,0.0,2.1858839205319988e-06,4.981931106544515e-10,0.0,3.308785932136799e-07,5.206785869613991e-10,0.0,0.001117554389756682,2.6834784438177835e-08,0.0,7.066990557195932e-05,3.0038797888015206e-09,0.0,0.0002075225941747024,9.399623288436611e-09
file004.ply,70022,46233,54296,17,0.9616554560644359,0.9484794739801877,0.9511206880674807,0,5,0.039444182625708694,0.0,0,207,0.05973958558636501,0.0,0,12,0.050868372101589406,0.0,0.0,46233.0,22359.943761638733,21802.0,0.0,54296.0,26981.96648044693,26457.0,0.0,46233.0,22810.22048417132,22659.0,0.0,54296.0,27419.413780260707,27441.0,0.0,70022.0,28612.876574307305,28166.5,0.0,54296.0,26898.325776658272,26608.0,0.0,70022.0,29338.08606213266,29790.0,0.0,54296.0,27639.71998320739,27544.0,0.0,70022.0,28256.29728711379,27808.5,0.0,46233.0,22282.326676714394,21728.5,0.0,70022.0,28604.99397136398,28566.0,0.0,46233.0,22787.064807837225,22610.0,0.0,6.044138631960097e-08,5.123946340930992e-10,0.0,1.392326698146848e-06,5.091947286143192e-10,0.0,1.0915998913103872e-07,5.176016941551788e-10,0.0,0.01600842351779865,3.260797697887296e-07,0.0,0.00034631220469838724,1.1156540410358613e-08,0.0,0.01600842351779865,7.266404715189076e-07
file005.ply,68943,48539,53667,17,0.9631294964028777,0.957972805933251,0.9526347171498845,0,3,0.03807437920631237,0.0,0,543,0.05407911001236094,0.0,0,3,0.04891182827755832,0.0,0.0,48539.0,18967.27104642014,17289.5,0.0,53667.0,26939.184500393392,27121.5,0.0,48539.0,19426.383949645948,18159.5,0.0,53667.0,27346.289142407553,27796.5,0.0,68943.0,28197.86960784314,27871.5,0.0,53667.0,26963.451470588236,27520.5,0.0,68943.0,28748.45,29172.5,0.0,53667.0,27373.027450980393,27956.5,0.0,68943.0,27965.309598741147,27479.5,0.0,48539.0,18958.357592446893,17289.5,0.0,68943.0,28367.800944138475,28431.0,0.0,48539.0,19477.560582218724,18203.0,0.0,3.585703532449281e-08,4.773064789729446e-10,0.0,3.5430358788937304e-06,4.5769715219822953e-10,0.0,2.823609446104428e-08,4.825838241745333e-10,0.0,0.025211865892934702,1.2052390008892437e-06,0.0,5.2891401224993814e-05,1.957828272843469e-09,0.0,0.025211865892934702,2.105044823546706e-06
file006.ply,71536,46340,52286,17,0.9623970812306918,0.9497637081633974,0.9488018054200853,0,3,0.03891692410920223,0.0,0,330,0.06007639023758659,0.0,0,3,0.05324459234608985,0.0,0.0,46340.0,20531.091078066915,19915.0,0.0,52286.0,26140.68996282528,26937.0,0.0,46340.0,21150.402973977696,21146.0,0.0,52286.0,26583.095167286247,27398.5,0.0,71536.0,27128.493556701033,27054.0,0.0,52286.0,26046.033075601375,26835.0,0.0,71536.0,27701.09879725086,27914.5,0.0,52286.0,26558.277491408935,27357.0,0.0,71536.0,27089.269704893537,26540.0,0.0,46340.0,20540.59693686963,19929.0,0.0,71536.0,27652.425102726935,27898.0,0.0,46340.0,21239.94658199477,21239.0,0.0,3.8421160544255364e-08,5.227612397669548e-10,0.0,2.1947569889558004e-06,5.1530014081623e-10,0.0,2.8491604719095808e-08,5.29879093975807e-10,0.0,0.023910725591333202,6.905578586776009e-07,0.0,6.281342440419999e-05,3.1870857643042167e-09,0.0,0.016142754737828346,1.0627686041556807e-06
file007.ply,69369,50236,51424,17,0.9621306040074961,0.9619802137866513,0.9508604764219738,0,11,0.03938301859593484,0.0,0,351,0.05438222823815116,0.0,0,62,0.05312591152163345,0.0,0.0,50236.0,25168.358203273696,26052.0,0.0,51424.0,25481.657403882757,25331.0,0.0,50236.0,25845.250856490293,27478.0,0.0,51424.0,25945.00761324705,26055.0,0.0,69369.0,29047.11047120419,29894.0,0.0,51424.0,25480.107329842933,25339.5,0.0,69369.0,29516.051308900525,30788.0,0.0,51424.0,25896.854973821988,25777.5,0.0,69369.0,26754.57578155916,26249.0,0.0,50236.0,25046.73763355758,25929.0,0.0,69369.0,27261.322121092206,27330.0,0.0,50236.0,25761.4301543332,27661.0,0.0,1.2454296427291474e-07,4.973498647379199e-10,0.0,2.4322158185369246e-06,4.702748815933477e-10,0.0,4.836791387820318e-07,5.002450479643169e-10,0.0,0.008297664292432401,5.338453279020385e-07,0.0,0.009725760367835812,1.9440706639286767e-07,0.0,0.003406459017769558,4.5846044315974857e-07
file008.ply,67018,53814,50932,17,0.9587579641594175,0.952857010127288,0.945830797321972,0,3,0.0425550963159701,0.0,0,90,0.05299637647496051,0.0,0,3,0.05599513085818624,0.0,0.0,53814.0,27067.28437047757,28680.5,0.0,50932.0,25109.28473227207,25512.0,0.0,53814.0,27620.065846599133,29284.5,0.0,50932.0,25546.897250361795,25949.5,0.0,67018.0,27259.636578636186,26508.0,0.0,50932.0,24967.901064249112,25319.0,0.0,67018.0,28117.206148994876,28328.0,0.0,50932.0,25718.593220338982,26335.0,0.0,67018.0,27159.91699891265,26231.0,0.0,53814.0,27006.402319681045,28454.0,0.0,67018.0,27776.86226893802,27271.0,0.0,53814.0,27593.815150416816,29270.0,0.0,3.415931632093927e-08,5.081963112305464e-10,0.0,7.018498049578884e-07,5.066588102686341e-10,0.0,2.6289714578652186e-08,5.142895462755809e-10,0.0,0.004909591460183452,7.882062349947156e-08,0.0,3.4679989850714935e-05,3.382548310683533e-09,0.0,0.004912937948597994,1.0193176362831692e-07
file009.ply,69260,53818,47811,17,0.9603673062762593,0.9569668704360913,0.9429222789257927,0,3,0.04087437374568661,0.0,0,222,0.05260224084431149,0.0,0,3,0.05921107671714214,0.0,0.0,53818.0,23088.653187613843,21369.0,0.0,47811.0,23709.15810564663,23533.0,0.0,53818.0,23666.31183970856,22212.0,0.0,47811.0,24109.448816029144,24356.0,0.0,69260.0,26270.533246977546,26309.0,0.0,47797.0,23671.080742659757,23470.0,0.0,69260.0,26877.09585492228,27398.0,9.0,47811.0,24146.37780656304,24279.0,0.0,69260.0,25968.561744228657,25456.0,0.0,53818.0,22937.430194210334,21164.0,0.0,69260.0,26474.87687797728,26687.0,0.0,53818.0,23630.266397947966,22212.0,0.0,3.6280177767277316e-08,5.185086793675181e-10,0.0,1.6942838181621418e-06,5.054611474925931e-10,0.0,2.5475111233202934e-08,5.268179676711433e-10,0.0,0.00773062209444088,3.71476805478079e-07,0.0,0.0004505284504275842,9.545820425291395e-09,0.0,0.00773062209444088,5.855828575584705e-07
