File name,Range x,Range y,Range z,Bit depth,Prop. empty sl. x,Prop. empty sl. y,Prop. empty sl. z,Ocup. voxels x (min),Ocup. voxels x (max),Ocup. voxels x (mean),Ocup. voxels x (median),Ocup. voxels y (min),Ocup. voxels y (max),Ocup. voxels y (mean),Ocup. voxels y (median),Ocup. voxels z (min),Ocup. voxels z (max),Ocup. voxels z (mean),Ocup. voxels z (median),Bottom hor. x (min),Bottom hor. x (max),Bottom hor. x (mean),Bottom hor. x (median),Bottom hor. y (min),Bottom hor. y (max),Bottom hor. y (mean),Bottom hor. y (median),Bottom hor. z (min),Bottom hor. z (max),Bottom hor. z (mean),Bottom hor. z (median),Bottom vert. x (min),Bottom vert. x (max),Bottom vert. x (mean),Bottom vert. x (median),Bottom vert. y (min),Bottom vert. y (max),Bottom vert. y (mean),Bottom vert. y (median),Bottom vert. z (min),Bottom vert. z (max),Bottom vert. z (mean),Bottom vert. z (median),Top  hor. x (min),Top  hor. x (max),Top  hor. x (mean),Top  hor. x (median),Top  hor. y (min),Top  hor. y (max),Top  hor. y (mean),Top  hor. y (median),Top  hor. z (min),Top  hor. z (max),Top  hor. z (mean),Top  hor. z (median),Top vert. x (min),Top vert. x (max),Top vert. x (mean),Top vert. x (median),Top vert. y (min),Top vert. y (max),Top vert. y (mean),Top vert. y (median),Top vert. z (min),Top vert. z (max),Top vert. z (mean),Top vert. z (median),Entropy x (min),Entropy x (max),Entropy x (mean),Entropy y (min),Entropy y (max),Entropy y (mean),Entropy z (min),Entropy z (max),Entropy z (mean),SR entropy x (min),SR entropy x (max),SR entropy x (mean),SR entropy y (min),SR entropy y (max),SR entropy y (mean),SR entropy z (min),SR entropy z (max),SR entropy z (mean)
file000,3830,94660,31871,17,0.8102323153223702,0.9764422518249332,0.9332015562248996,0,654,0.5967110415035238,0.0,0,11,0.02414933288260213,0.0,0,14,0.07172439759036145,0.0,0.0,94660.0,43880.680880330125,41275.0,0.0,31871.0,15429.023383768914,15245.0,0.0,94660.0,47133.083906464926,44838.0,73.0,31871.0,16330.702888583219,15932.0,0.0,3830.0,1682.0663677130044,2096.0,0.0,31871.0,16040.572197309417,15729.5,0.0,3830.0,1698.0910313901345,2159.5,0.0,31871.0,16155.086098654709,15772.5,0.0,3830.0,1636.8093001409113,1969.0,0.0,94660.0,30471.803193987787,24725.0,0.0,3830.0,1721.3546265852513,2277.0,0.0,94660.0,32074.543447627995,26314.0,0.0,5.111422066120849e-06,5.376867929418544e-09,0.0,2.2384178828100175e-06,5.586787776986727e-09,0.0,1.0064092760976809e-06,5.876783271526789e-09,0.0,0.00022579053230688503,5.407978729093404e-07,0.0,0.031172380687192587,1.686191728961238e-06,0.0,0.018949288546141564,2.57560817338425e-06
file001.ply,4081,95003,30619,17,0.8998040176384126,0.9801797819039199,0.9454931417374265,0,743,0.4723174914257717,0.0,0,11,0.02029388236284788,0.0,0,74,0.06296538210320052,0.0,0.0,95003.0,37211.29828850856,28782.0,0.0,30619.0,15497.821515892421,16717.0,0.0,95003.0,43172.926650366746,38182.0,0.0,30619.0,16826.20782396088,17462.0,0.0,4081.0,946.2835900159321,1006.0,0.0,30619.0,15993.85767392459,16288.0,0.0,4081.0,964.2384492830589,1069.0,0.0,30619.0,16117.252257036644,16388.0,0.0,4021.0,895.2971839424805,811.0,0.0,95003.0,38857.667465548235,28451.0,0.0,4081.0,950.1360095865788,1137.0,0.0,95003.0,40262.29898142601,29532.0,0.0,5.962181244474861e-06,4.158509433577078e-09,0.0,2.1896453801965604e-06,4.592257260947747e-09,0.0,4.534573235383066e-06,4.766476015395482e-09,0.0,0.003312561859448998,1.420924107715788e-06,0.0,0.022594594579838763,1.4660908779188892e-06,0.0,0.020055973682714417,4.795183012067183e-06
file002.ply,7707,94827,28888,17,0.8497664763881682,0.9751761083224364,0.9223233756793243,0,424,0.3121432278152569,0.0,0,4,0.025372252921078163,0.0,0,6,0.08328429506040361,0.0,0.0,94542.0,39408.88687392055,38041.0,0.0,28888.0,14279.864421416234,13812.5,0.0,94827.0,44331.07426597582,41921.0,17.0,28888.0,15658.04749568221,15534.0,0.0,7707.0,3935.899320305862,4652.0,0.0,28888.0,14896.168224299065,14677.0,0.0,7707.0,3972.111299915038,4710.0,17.0,28888.0,15050.067544604928,14791.0,0.0,7707.0,3871.4474153297683,4595.5,0.0,94827.0,35388.3123885918,30935.5,0.0,7707.0,4019.001336898396,4763.0,404.0,94827.0,37149.80035650624,33054.0,0.0,3.7247854098003418e-06,3.353633317571294e-09,0.0,4.88117592390215e-07,3.318846618076364e-09,0.0,2.323292407176412e-07,3.5034239339401295e-09,0.0,0.006517382327268429,1.095105997133053e-06,0.0,0.002760384290474971,9.013200565753808e-08,0.0,0.028825837116181995,1.8034909826963164e-06
file003.ply,10512,95213,28462,17,0.9257110244459241,0.9754027769025564,0.9207040719530619,0,742,0.2287643869494911,0.0,0,11,0.025258890499296322,0.0,0,26,0.0844956610336226,0.0,0.0,95088.0,24904.938540332907,21159.0,0.0,28462.0,13568.55057618438,12337.0,0.0,95213.0,26378.12804097311,22927.0,0.0,28462.0,14166.289372599233,13439.0,0.0,10512.0,5714.972245943638,8471.0,0.0,28462.0,13708.031596925704,13694.5,0.0,10512.0,5814.857386848847,8502.0,0.0,28462.0,13890.892826643894,13861.5,0.0,10512.0,5583.7815684537,7772.0,0.0,95213.0,29690.482055826316,23179.0,0.0,10512.0,5757.175011076651,8433.0,0.0,95213.0,30813.05759858219,24344.0,0.0,6.363800826485923e-06,2.2587488908077585e-09,0.0,9.609263566071152e-07,2.4934762048665074e-09,0.0,6.919852784965812e-07,2.631168339222774e-09,0.0,0.00037230985796828976,8.118322418374721e-08,0.0,0.03781444818471856,1.5812217781506092e-06,0.0,0.029413884585638123,4.9278519982534225e-06
file004.ply,7061,94786,31030,17,0.8819031435853866,0.9744163229134797,0.9256872160097966,0,705,0.34990087793826113,0.0,0,2,0.026068975703419244,0.0,0,9,0.07963004737198286,0.0,0.0,94786.0,40224.57194244604,37480.5,0.0,31030.0,14862.535971223022,14573.5,3.0,94786.0,43428.501199040766,41862.5,0.0,31030.0,15635.719424460432,15433.0,0.0,7061.0,3732.6111340206185,5546.0,0.0,31030.0,15420.487422680413,15184.0,0.0,7061.0,3795.038762886598,5634.0,0.0,31030.0,15555.440412371134,15303.0,0.0,7061.0,3602.4791847354727,5271.0,0.0,94786.0,30575.990459670425,25695.0,0.0,7061.0,3718.7870771899393,5488.0,0.0,94786.0,31838.237640936688,26789.5,0.0,5.617075468111058e-06,3.2407997507494704e-09,0.0,2.569121133969723e-07,3.4632485911077658e-09,0.0,3.7096588649920294e-07,3.6398271227365486e-09,0.0,0.008348718516554556,3.6258956130091873e-06,0.0,0.013158381398040982,6.761946104162005e-07,0.0,0.02637351425710158,3.0961047656111763e-06
file005.ply,5496,94255,31910,17,0.8275422957977079,0.9748875403157359,0.9262009965215756,0,588,0.46625432053847554,0.0,0,26,0.027191902902732983,0.0,0,13,0.0803171320234402,0.0,0.0,94255.0,31411.912447257382,27465.0,0.0,31745.0,14266.324894514768,13720.0,8.0,94255.0,35372.74894514768,31566.5,0.0,31910.0,15656.06329113924,15063.5,0.0,5496.0,2655.3236163920574,3167.0,0.0,31910.0,15326.358681875792,15149.0,0.0,5496.0,2714.1271651880015,3364.0,0.0,31910.0,15559.765103506548,15372.0,0.0,5496.0,2611.819957537155,3005.0,0.0,94255.0,30920.4008492569,24021.0,0.0,5496.0,2734.0208067940553,3388.0,0.0,94255.0,32186.16390658174,25335.0,0.0,4.638834832592428e-06,4.364898672240429e-09,0.0,3.5763220815775925e-06,4.423064259247766e-09,0.0,6.696889678266989e-07,4.677909183217179e-09,0.0,0.00650826901008184,2.031021856873968e-06,0.0,0.015896603437256504,5.170650615629999e-07,0.0,0.020548840874949483,2.2901550127309856e-06
file006.ply,10816,92874,35310,17,0.9003420541739854,0.9725006729475101,0.9272464671065673,0,438,0.24766571138023483,0.0,0,30,0.028845222072678332,0.0,0,3,0.07586870946730481,0.0,0.0,92874.0,35909.98051948052,35893.5,0.0,35310.0,17574.685528756956,17195.5,0.0,92874.0,37713.59461966605,38061.0,0.0,35310.0,18347.840445269016,18025.0,0.0,10816.0,5324.309710258418,6389.0,0.0,35310.0,17820.420516836337,17617.0,0.0,10816.0,5486.839859044636,6745.5,0.0,35310.0,18201.20751761942,18109.0,0.0,10816.0,5290.877384196186,6270.0,0.0,92874.0,28698.99104710004,23955.0,0.0,10816.0,5461.075126508369,6652.0,0.0,92874.0,29568.387699493967,25185.0,0.0,3.2425853960844387e-06,2.1230188146549194e-09,0.0,1.9670677918489146e-06,2.25154520518516e-09,0.0,8.887385805946733e-08,2.3610111593923727e-09,0.0,0.013084595925203713,1.7328511924672405e-06,0.0,0.024658160250416093,7.059744868467044e-07,0.0,0.022446119403629776,1.6315722375200564e-06
file007.ply,7200,94510,29881,17,0.8278016942091376,0.9756007237252806,0.9287196305468175,0,305,0.32828773781419246,0.0,0,4,0.02501296145422226,0.0,0,41,0.07911117060437722,0.0,0.0,94510.0,43779.9,38710.5,0.0,29849.0,14373.495967741936,14334.5,1030.0,94510.0,47972.09516129032,43037.0,237.0,29881.0,15498.926612903226,15605.0,0.0,7200.0,4073.7970511708586,4479.0,0.0,29881.0,14806.600173460538,14951.0,0.0,7200.0,4098.603642671293,4524.0,0.0,29881.0,14931.288811795317,15067.0,0.0,7200.0,4044.9863849765256,4473.0,0.0,94015.0,40376.242723004696,34827.0,182.0,7200.0,4155.799061032864,4674.0,191.0,94510.0,42226.93051643192,36606.0,0.0,2.6551056035429806e-06,3.48915236990974e-09,0.0,5.042035528047078e-07,3.379205233629399e-09,0.0,1.5318253840153921e-06,3.541997162204093e-09,0.0,0.0085570665194563,1.632364535748204e-06,0.0,0.013932828119505782,2.7513669346477866e-07,0.0,0.013932828119505782,1.9014528305788326e-06
file008.ply,10561,93040,34876,17,0.9145048286309411,0.9736782708698316,0.9335952060096911,0,535,0.2397273243703844,0.0,0,23,0.027213808965939747,0.0,0,97,0.07259798721220288,0.0,0.0,93040.0,33104.08637873754,30851.0,0.0,34876.0,16921.559246954595,17437.0,0.0,93040.0,35285.62347729789,34642.0,0.0,34876.0,17643.619047619046,17437.0,0.0,10561.0,6391.930175581871,9049.0,0.0,34876.0,17237.430788076766,17437.0,0.0,10561.0,6500.935483870968,9249.0,0.0,34876.0,17482.492854226213,17437.0,0.0,10561.0,6337.9715025906735,9135.0,0.0,93040.0,29233.294041450776,24816.0,0.0,10561.0,6528.1804835924,9554.5,13.0,93040.0,30366.47884283247,26532.0,0.0,3.9527240896932735e-06,2.037894279431869e-09,0.0,1.5843855404273771e-06,2.202188978866771e-09,0.0,2.439557465225578e-06,2.287607406034481e-09,0.0,0.03297961098169326,3.7550089486044477e-06,0.0,0.017347079452849204,5.072182059833686e-07,0.0,0.03297961098169326,2.565089103208412e-06
file009.ply,5139,94152,32903,17,0.8614785992217899,0.9753592556795854,0.9308898614150255,0,462,0.46673151750972763,0.0,0,7,0.025479804148566695,0.0,0,12,0.07290906880622416,0.0,0.0,94152.0,49216.00561797753,45137.0,0.0,32903.0,16333.870786516854,16358.5,0.0,94152.0,53308.07584269663,52741.0,13.0,32903.0,17387.308988764045,17264.0,0.0,5139.0,2088.4362068965515,2671.0,0.0,32903.0,16735.798275862067,16696.5,0.0,5139.0,2122.026293103448,2671.0,0.0,32903.0,16922.352586206896,16868.5,0.0,5139.0,2076.580474934037,2671.0,0.0,94152.0,30596.82629727353,22295.5,134.0,5139.0,2133.490765171504,2671.0,0.0,94152.0,31920.20580474934,23254.0,0.0,3.59691314028468e-06,4.116616334364167e-09,0.0,1.0748286763661771e-06,4.3237048669054034e-09,0.0,6.62255245701538e-07,4.54619940093741e-09,0.0,0.0004086903021779463,4.0040244555821884e-07,0.0,0.020796162008195476,5.663430132198076e-07,0.0,0.021348168326284372,1.8407311284436687e-06
file010.ply,4730,94512,31880,17,0.8243500317057705,0.9758340122522827,0.9303660487437658,0,655,0.497569224265483,0.0,0,11,0.02490662660163152,0.0,0,24,0.07383708164737618,0.0,0.0,94512.0,50394.79181708785,44705.0,0.0,31880.0,13826.425992779783,13787.0,0.0,94512.0,54587.048134777375,55996.0,99.0,31880.0,14921.14440433213,14792.0,0.0,4730.0,2168.3060420315237,2825.5,0.0,31880.0,15032.344570928197,14711.5,0.0,4730.0,2207.3800350262695,2897.5,0.0,31880.0,15244.670753064798,14873.0,0.0,4730.0,2132.027027027027,2774.5,0.0,94512.0,33726.95225225225,26640.5,0.0,4730.0,2198.3954954954957,2886.5,0.0,94512.0,34901.642792792794,27577.0,0.0,5.124925276098393e-06,4.545510471008329e-09,0.0,1.8343130477098326e-06,4.713144528056235e-09,0.0,1.3737351002748534e-06,4.9566837036350885e-09,0.0,0.007508372416570904,3.6874839581735485e-06,0.0,0.019339132560171248,1.1457300496040191e-06,0.0,0.00954473880075875,1.5046599518230988e-06
file011.ply,10591,93764,32245,17,0.8772658610271903,0.9752572921665866,0.9312782980834832,0,507,0.2233761329305136,0.0,0,4,0.025233296005972378,0.0,0,9,0.07337344166718353,0.0,0.0,93764.0,44120.156923076924,39711.5,0.0,32245.0,15477.291538461539,15779.5,0.0,93764.0,45925.096923076926,42412.5,0.0,32245.0,16207.350769230768,16226.5,0.0,10591.0,6128.253017241379,6477.5,0.0,32245.0,15729.151293103449,15883.0,0.0,10591.0,6164.943965517241,6529.5,0.0,32245.0,15831.35775862069,15971.5,0.0,10591.0,6071.205324909747,6385.5,0.0,93764.0,33558.10379061372,27579.5,0.0,10591.0,6219.091155234657,6578.5,0.0,93764.0,35087.71299638989,29957.5,0.0,4.016104301781689e-06,2.1880877035640013e-09,0.0,3.2546034223456415e-07,2.1979082598028415e-09,0.0,2.551877438310085e-07,2.3042768839340693e-09,0.0,0.010913429773053821,2.9436168855904135e-06,0.0,0.013011684638367084,5.062536587363944e-07,0.0,0.02171427795353733,1.286183400628338e-06
file012.ply,9367,95062,27439,17,0.8633646456020495,0.9746694297465891,0.9206997084548105,0,340,0.2698548249359522,0.0,0,5,0.02659289103015895,0.0,0,8,0.09212827988338193,0.0,0.0,95062.0,34257.1265625,31394.5,0.0,27439.0,12805.9109375,12839.0,0.0,95062.0,37387.71328125,32891.5,0.0,27439.0,14021.10625,14163.0,0.0,9367.0,5289.352990033222,5658.0,0.0,27439.0,13397.566445182725,13393.5,0.0,9367.0,5348.286129568106,5751.0,0.0,27439.0,13628.283222591363,13674.5,0.0,9367.0,5263.007352941177,5686.5,0.0,95062.0,31459.403033088234,28229.0,0.0,9367.0,5455.529411764706,6037.0,0.0,95062.0,33282.23805147059,29518.5,0.0,3.1691135384841713e-06,3.075670817240727e-09,0.0,5.26307167485897e-07,3.028269370193757e-09,0.0,2.530823502687442e-07,3.1903211475053115e-09,0.0,0.0005616352186065476,2.3931131760294447e-07,0.0,0.013526674207423196,4.1404396439459565e-07,0.0,0.014716311792536877,2.2940921221654943e-06
file013.ply,5952,93780,33962,17,0.8580547623047203,0.9759866070952539,0.9370491417130407,0,385,0.3890475390559382,0.0,0,6,0.02469583391092012,0.0,0,7,0.0681918558431234,0.0,0.0,93780.0,39907.811834319524,36716.0,0.0,33962.0,13968.261538461538,14115.0,0.0,93780.0,42969.274556213015,38422.0,0.0,33962.0,14726.76923076923,14719.0,0.0,5952.0,2676.7357904085256,3449.0,0.0,33962.0,14378.500444049734,14447.0,0.0,5952.0,2709.6660746003554,3548.0,0.0,33962.0,14491.709147424512,14547.0,0.0,5952.0,2603.2497661365765,3349.0,0.0,93780.0,37186.19550982226,32746.5,0.0,5952.0,2723.5140318054255,3563.0,0.0,93780.0,38805.994855004676,34224.0,0.0,2.952112277828736e-06,3.4721488917548526e-09,0.0,7.849020423993005e-07,3.538988761168844e-09,0.0,3.4721436923320894e-07,3.705352069192646e-09,0.0,0.000736607152176948,4.601381406771534e-07,0.0,0.025238897620835324,5.936023352243117e-07,0.0,0.007287649387696751,1.4350598731750695e-06
file014.ply,2798,91089,40798,17,0.8302965344765988,0.9757163245142167,0.947498713203755,0,842,0.804215791354055,0.0,0,3,0.024711823471292128,0.0,0,3,0.05517292090492414,0.0,0.0,91089.0,38601.20631578947,35893.0,0.0,40798.0,19045.78105263158,18377.0,0.0,91089.0,41925.23368421053,38931.0,184.0,40798.0,20236.4,18791.0,0.0,2798.0,1011.3865280289331,1068.5,0.0,40798.0,20229.8869801085,20031.5,0.0,2798.0,1026.357142857143,1120.0,0.0,40798.0,20367.14963833635,20159.0,0.0,2798.0,988.6615312791783,930.5,0.0,91089.0,31578.61811391223,27264.5,0.0,2798.0,1034.8197945845004,1143.0,0.0,91089.0,32698.268440709617,28108.5,0.0,5.327951993042682e-06,5.605391023257327e-09,0.0,6.994443142985862e-07,6.0968532495052404e-09,0.0,3.2691403598358274e-07,6.333929393898569e-09,0.0,0.0002138803331456003,3.0599581686490696e-07,0.0,0.04256591576655208,1.6593134314808266e-06,0.0,0.041673121307012555,5.92263068796945e-06
file015.ply,7860,92078,35906,17,0.8594326421574863,0.9743155334006668,0.9370039268109283,0,544,0.3081032947462155,0.0,0,11,0.02630350025521563,0.0,0,9,0.06745202885231293,0.0,0.0,92078.0,44125.091402714934,41353.0,0.0,35906.0,15030.133031674208,15604.0,0.0,92078.0,47168.996380090495,43478.0,398.0,35906.0,15973.017194570135,16083.0,0.0,7860.0,4752.535729386892,5287.0,0.0,35906.0,15638.422410147992,15760.0,0.0,7860.0,4780.581818181819,5362.0,0.0,35906.0,15769.953911205073,15874.0,0.0,7592.0,4706.132183908046,5207.0,0.0,92078.0,32443.011936339524,29046.0,0.0,7860.0,4811.346153846154,5441.0,0.0,92078.0,33774.268346595934,30412.0,0.0,3.945194426764341e-06,2.6763443664380582e-09,0.0,1.0154046461534345e-06,2.7452413322633687e-09,0.0,3.4446434301440393e-07,2.863669652192617e-09,0.0,0.010886292290638295,3.5389729547976216e-06,0.0,0.019308537595182276,5.930303764587772e-07,0.0,0.025077630708310414,2.4757267662087383e-06
file016.ply,6831,94631,31019,17,0.890807962529274,0.9728633020542734,0.9215022566086396,0,451,0.38539227166276346,0.0,0,3,0.027823569194352863,0.0,0,16,0.08488072211476466,0.0,0.0,94631.0,40669.396782841824,35284.5,0.0,31019.0,15309.79490616622,15294.0,0.0,94631.0,44117.55361930295,39535.0,101.0,31019.0,16244.87399463807,15865.5,0.0,6831.0,3899.728971962617,3596.0,0.0,30896.0,16588.30023364486,16226.0,0.0,6831.0,3934.313862928349,3697.5,0.0,31019.0,16759.040498442366,16383.5,0.0,6831.0,3825.7322381930185,3596.0,0.0,94631.0,28759.971252566735,24307.0,0.0,6831.0,3910.545790554415,3596.0,2.0,94631.0,30165.822587268995,26147.0,0.0,3.6990740152046175e-06,3.584399236424893e-09,0.0,3.8951888508284145e-07,3.8141678185719294e-09,0.0,6.610304315692012e-07,4.0075841021928285e-09,0.0,0.010079855634849531,1.574214704885562e-06,0.0,0.02442873007833369,8.671806725403622e-07,0.0,0.0167952412709845,1.3340393016386059e-06
file017.ply,4534,93122,35830,17,0.8218302094818082,0.9751189287286707,0.9374005749211577,0,565,0.5210584343991179,0.0,0,3,0.025375041611631927,0.0,0,3,0.06594848036616338,0.0,0.0,93122.0,33004.43688118812,31434.5,0.0,35830.0,14087.799504950495,14150.5,0.0,93122.0,36326.601485148516,35622.5,0.0,35830.0,15243.959158415842,15463.0,0.0,4534.0,2185.8649115235216,2987.0,0.0,35830.0,15134.344410876132,15003.0,0.0,4534.0,2217.8066465256798,2987.0,0.0,35830.0,15273.190332326283,15101.0,0.0,4352.0,2145.2541239411503,2987.0,0.0,93122.0,30409.901025412393,26163.0,0.0,4534.0,2235.022291573785,2987.0,0.0,93122.0,31676.26348640214,27751.0,0.0,4.053130997902403e-06,4.395907505415595e-09,0.0,5.009466690249263e-07,4.478559264932898e-09,0.0,2.025380401833306e-07,4.683756846847057e-09,0.0,0.0034452121998453083,1.9967060072900924e-06,0.0,0.019843120046592496,6.349434979886456e-07,0.0,0.030345867660395466,2.281053744586107e-06
file018.ply,3705,94931,30090,17,0.8329735563950351,0.9773732777145746,0.9304775514273371,0,552,0.6014570966001079,0.0,0,10,0.02347996460624447,0.0,0,11,0.07407530490844438,0.0,0.0,94620.0,33864.37802907916,30321.0,0.0,30090.0,14552.516962843296,14562.0,0.0,94931.0,37119.84168012924,32322.0,0.0,30090.0,15627.646203554119,15885.0,0.0,3705.0,1548.9911545623836,1929.0,0.0,30090.0,14958.70763500931,14960.5,0.0,3705.0,1575.989757914339,2030.5,0.0,30090.0,15137.151769087523,15101.5,0.0,3705.0,1527.0439770554494,1819.0,0.0,94931.0,32464.794933078392,26691.0,0.0,3705.0,1583.4388145315488,2111.5,0.0,94931.0,33705.85277246654,27680.5,0.0,4.588566494467437e-06,5.686793530723813e-09,0.0,2.228665015595995e-06,5.913394966579929e-09,0.0,8.245987933071118e-07,6.251877013033677e-09,0.0,0.0075830336938666545,5.664853989815251e-06,0.0,0.031560290238880226,1.2086795789411976e-06,0.0,0.0325536179441122,4.0686114359212275e-06
