File name,Range x,Range y,Range z,Bit depth,Prop. empty sl. x,Prop. empty sl. y,Prop. empty sl. z,Ocup. voxels x (min),Ocup. voxels x (max),Ocup. voxels x (mean),Ocup. voxels x (median),Ocup. voxels y (min),Ocup. voxels y (max),Ocup. voxels y (mean),Ocup. voxels y (median),Ocup. voxels z (min),Ocup. voxels z (max),Ocup. voxels z (mean),Ocup. voxels z (median),Bottom hor. x (min),Bottom hor. x (max),Bottom hor. x (mean),Bottom hor. x (median),Bottom hor. y (min),Bottom hor. y (max),Bottom hor. y (mean),Bottom hor. y (median),Bottom hor. z (min),Bottom hor. z (max),Bottom hor. z (mean),Bottom hor. z (median),Bottom vert. x (min),Bottom vert. x (max),Bottom vert. x (mean),Bottom vert. x (median),Bottom vert. y (min),Bottom vert. y (max),Bottom vert. y (mean),Bottom vert. y (median),Bottom vert. z (min),Bottom vert. z (max),Bottom vert. z (mean),Bottom vert. z (median),Top  hor. x (min),Top  hor. x (max),Top  hor. x (mean),Top  hor. x (median),Top  hor. y (min),Top  hor. y (max),Top  hor. y (mean),Top  hor. y (median),Top  hor. z (min),Top  hor. z (max),Top  hor. z (mean),Top  hor. z (median),Top vert. x (min),Top vert. x (max),Top vert. x (mean),Top vert. x (median),Top vert. y (min),Top vert. y (max),Top vert. y (mean),Top vert. y (median),Top vert. z (min),Top vert. z (max),Top vert. z (mean),Top vert. z (median),Entropy x (min),Entropy x (max),Entropy x (mean),Entropy y (min),Entropy y (max),Entropy y (mean),Entropy z (min),Entropy z (max),Entropy z (mean),SR entropy x (min),SR entropy x (max),SR entropy x (mean),SR entropy y (min),SR entropy y (max),SR entropy y (mean),SR entropy z (min),SR entropy z (max),SR entropy z (mean)
file000,90147,39809,15804,17,0.9726117051959001,0.9387088671188144,0.8563745650110725,0,53,0.030871455828193638,0.0,0,53,0.06990705852800803,0.0,0,102,0.1760835178740905,0.0,0.0,39809.0,28043.901579586876,29362.0,0.0,15804.0,7870.630214661806,7711.0,0.0,39809.0,28144.75658161199,29423.0,0.0,15804.0,7955.766302146618,7855.0,0.0,90147.0,46397.14918032787,44400.0,0.0,15804.0,7768.542213114754,7587.0,0.0,90147.0,48158.28606557377,45302.5,0.0,15804.0,8144.766393442623,8278.0,0.0,90147.0,48791.46696035242,44913.5,0.0,39354.0,29319.040528634363,29847.5,0.0,90147.0,51266.81453744493,47606.5,0.0,39809.0,30057.42114537445,30372.0,0.0,2.1011171193023455e-06,1.475676797699159e-09,0.0,9.717314516708319e-07,1.542752498698504e-09,0.0,7.534943266279614e-07,1.5909506141702548e-09,0.0,0.004100308962116906,5.335718210883974e-08,0.0,0.010022733805213598,1.208951664261717e-06,0.0,0.010022733805213598,3.452755453768483e-06
file001.ply,81569,56445,12476,17,0.9689959543949982,0.9576586472026362,0.8603029574416927,0,22,0.0322912835601324,0.0,0,70,0.04666406831307798,0.0,0,239,0.21110843952873287,0.0,0.0,56445.0,37530.6105179913,43898.0,0.0,12476.0,6094.533017002768,5987.0,0.0,56445.0,37911.74693554765,43964.0,0.0,12476.0,6228.750494266508,6211.0,0.0,81569.0,33756.48870292887,28033.0,0.0,12476.0,6064.561506276151,5884.5,0.0,81569.0,34449.98535564853,28433.0,0.0,12476.0,6300.725523012552,6370.0,0.0,81569.0,38707.76936316695,36943.0,0.0,56445.0,40577.165232358006,45375.0,0.0,81569.0,40613.13539873781,38056.0,0.0,56445.0,41627.844520940904,45882.0,0.0,8.238895857601746e-07,1.4084395524401334e-09,0.0,1.7357230950489752e-06,1.4216799488080943e-09,0.0,1.3310333066146225e-06,1.440044198171884e-09,0.0,0.013118025443262812,3.5521383591414395e-07,0.0,0.009690384794766898,9.644129943273314e-07,0.0,0.0032797207416124475,1.9268582992344225e-06
file002.ply,91710,38644,9660,17,0.9742887985083578,0.9450122913701643,0.8100610702825795,0,22,0.02673616032973144,0.0,0,42,0.06344934661663863,0.0,0,104,0.25380395404202466,0.0,0.0,38644.0,26230.66242578456,30482.0,0.0,9660.0,4761.193384223919,4670.0,0.0,38644.0,26408.095843935538,30603.5,0.0,9660.0,4833.532230703986,4843.0,0.0,91710.0,33408.99905882353,25139.0,0.0,9660.0,4714.343529411764,4541.0,0.0,91710.0,34784.758117647056,26257.0,0.0,9660.0,4900.7181176470585,5024.0,0.0,91710.0,34325.85885558583,28231.0,0.0,38548.0,26248.432152588557,30864.0,0.0,91710.0,38877.97438692098,33668.0,0.0,38644.0,27870.513351498637,32191.0,0.0,1.5002107890085918e-06,2.1339417754675336e-09,0.0,1.2217240931690637e-06,2.1971957809576394e-09,0.0,7.765893422373244e-07,2.305136012587347e-09,0.0,0.010099050089606277,2.09328034214315e-07,0.0,0.010099050089606277,1.2714668865279041e-06,0.0,0.008508630637207243,3.5335867915329036e-06
file003.ply,78625,61319,7102,17,0.9674026403479765,0.9611219830397912,0.8723074757144869,0,17,0.03408541703762114,0.0,0,59,0.04370515329419439,0.0,0,859,0.3773053639307335,0.0,0.0,61319.0,36923.7815060476,40603.0,0.0,7102.0,3498.9535700351153,3424.0,0.0,61319.0,37207.39992196645,40872.0,0.0,7102.0,3583.0253609051892,3708.0,0.0,78625.0,37669.101090604025,34879.0,0.0,7102.0,3505.955956375839,3462.0,0.0,78625.0,38316.55956375839,35605.0,0.0,7102.0,3613.0419463087246,3779.5,0.0,78625.0,39451.86438809261,39202.0,0.0,61319.0,32886.9217199559,33465.0,0.0,78625.0,41326.952590959205,42570.0,70.0,61319.0,34676.74200661521,37375.0,0.0,1.0168836980228484e-06,2.3488804738494377e-09,0.0,2.6006316876693347e-06,2.348654874402193e-09,0.0,4.251569882579896e-06,2.1416174135213246e-09,0.0,0.02822797621115083,1.085772769627632e-06,0.0,0.025792865182605415,1.2714186008326888e-06,0.0,0.0031105099508390638,4.856886563508165e-07
file004.ply,92344,37176,6921,17,0.9736531485191402,0.9432982758156925,0.7565732447269575,0,11,0.027862905409063835,0.0,0,56,0.06920945746025768,0.0,0,148,0.37171337763652124,0.0,0.0,37176.0,23666.944923962186,24261.0,0.0,6921.0,3399.0053431976985,3415.0,0.0,37176.0,23817.710234278667,24350.0,0.0,6921.0,3448.441430332922,3512.0,0.0,92344.0,33450.31166982922,27539.5,0.0,6921.0,3361.9326375711576,3265.5,9.0,92344.0,35089.53889943074,28982.5,0.0,6921.0,3472.207779886148,3578.0,0.0,92344.0,35337.350741839764,29205.0,0.0,37176.0,24952.687833827895,24447.0,31.0,92344.0,41176.213649851634,37296.0,0.0,37176.0,26653.13946587537,25551.0,0.0,1.1080548923713137e-06,3.1645252493429814e-09,0.0,2.180301897265683e-06,3.252985269853115e-09,0.0,1.1169744918433432e-06,3.4297676596762545e-09,0.0,0.0022399951775475676,6.121395316643163e-08,0.0,0.02065406288947706,1.6111545798862908e-06,0.0,0.004041746618562024,3.206892114224205e-06
file005.ply,85570,49908,10548,17,0.9702936742588026,0.9498887976116532,0.8549625556924827,0,31,0.032020193757230836,0.0,0,28,0.05489991785048789,0.0,0,167,0.2597402597402597,0.0,0.0,49908.0,31188.691188040913,34152.5,0.0,10548.0,4946.715184893785,4792.0,0.0,49908.0,31547.406766325726,34543.0,0.0,10548.0,5074.932336742722,5102.0,0.0,85570.0,34437.13354658137,27164.0,0.0,10548.0,4927.583366653339,4772.0,0.0,85570.0,35319.133146741304,28302.0,0.0,10548.0,5061.388644542183,5037.0,0.0,85570.0,35856.481045751636,30076.0,0.0,49905.0,31119.296732026145,33589.5,0.0,85570.0,39599.080392156866,35687.5,0.0,49908.0,33364.19411764706,38754.0,0.0,1.4991170940613912e-06,1.8358030143631763e-09,0.0,8.184216621390778e-07,1.8789687163603783e-09,0.0,1.0186680485008667e-06,1.8779290246405855e-09,0.0,0.005795915106113878,1.5952320022401129e-07,0.0,0.009443514119031444,9.524749891549353e-07,0.0,0.0011351597415444781,2.8019049756910706e-07
file006.ply,83242,53962,11612,17,0.9704359525725886,0.9582121082964253,0.8790148970980798,0,31,0.03119781843518374,0.0,0,58,0.04812556751848489,0.0,0,304,0.22362869198312235,0.0,0.0,53962.0,34787.6777732629,38773.0,0.0,11612.0,6128.714343762698,6029.0,0.0,53962.0,35028.41527834214,39056.0,0.0,11612.0,6234.015034538806,6244.0,0.0,83242.0,33511.167627494455,26970.0,0.0,11612.0,6093.941463414634,5976.0,0.0,83242.0,34581.27272727273,28129.0,0.0,11612.0,6299.729933481153,6358.0,0.0,83242.0,36400.75871886121,33375.0,0.0,53962.0,36876.884697508896,41454.0,100.0,83242.0,38855.42206405694,36681.0,0.0,53962.0,38195.86690391459,43970.0,0.0,1.2718938625317665e-06,1.517945988455714e-09,0.0,1.5259383736280364e-06,1.529316878608579e-09,0.0,1.709442048239296e-06,1.5153175309590436e-09,0.0,0.008264832148803879,3.263144425098576e-07,0.0,0.02281038126241471,1.112186819129364e-06,0.0,0.012554960477583078,2.0798648839682992e-06
file007.ply,93939,32683,9106,17,0.9744624228230786,0.9289254681189573,0.8296914461403316,0,35,0.027123695976154993,0.0,0,24,0.0779586341941011,0.0,0,234,0.2797847809377402,0.0,0.0,32683.0,22122.1429762401,24999.0,0.0,9106.0,4496.183409754064,4445.0,149.0,32683.0,22243.473113797416,25130.0,0.0,9106.0,4550.238015839934,4544.0,0.0,93939.0,35866.554024967714,32089.0,0.0,9090.0,4472.759362892811,4399.0,0.0,93939.0,36988.21007318123,33441.0,0.0,9106.0,4594.250538097288,4677.0,0.0,93939.0,34880.90586718246,31277.0,0.0,32683.0,22195.106382978724,25388.0,0.0,93939.0,38061.726627981945,33629.0,0.0,32683.0,23164.782076079948,26476.0,0.0,2.876456396444196e-06,2.6781084937791054e-09,0.0,7.442548841016306e-07,2.8128850410863123e-09,0.0,1.9120423679831403e-06,2.790345801708721e-09,0.0,0.0024333768145699004,5.3383196761060955e-08,0.0,0.008484629842594472,1.8000137924321287e-06,0.0,0.016649137913947957,7.258940222051679e-06
file008.ply,83774,52884,9363,17,0.9706117576842733,0.9537108821026756,0.8621315677061085,0,20,0.03074903014025664,0.0,0,36,0.04870946393117141,0.0,0,500,0.27509611277231955,0.0,0.0,52884.0,31908.07920389927,36265.5,0.0,9363.0,4464.477254264825,4187.0,0.0,52884.0,32280.12794476036,36559.5,99.0,9363.0,4566.580422420796,4374.0,0.0,83774.0,30508.68954248366,22788.0,0.0,9363.0,4466.525326797386,4169.0,0.0,83774.0,31110.666258169935,23102.5,0.0,9363.0,4552.505310457516,4340.5,0.0,83774.0,28834.542215336947,21266.0,0.0,52884.0,29887.54763749032,33529.0,167.0,83774.0,31324.35553834237,23979.0,0.0,52884.0,31833.824167312163,36083.0,0.0,1.0502201971495742e-06,1.8759661981292443e-09,0.0,1.1848992010777744e-06,1.9145195167323637e-09,0.0,2.767412373868205e-06,1.860396352627673e-09,0.0,0.023508255539705453,3.411525892693709e-07,0.0,0.0279557125847277,8.631438697566934e-07,0.0,0.00016686120517144562,7.151753925319608e-08
file009.ply,91697,38644,9908,17,0.9748849484176317,0.949566567473153,0.8424664446462812,0,72,0.028026783572160787,0.0,0,198,0.06650278173114245,0.0,0,364,0.2593601776163084,0.0,0.0,38644.0,27360.08467216674,30912.0,0.0,9908.0,4864.077724706904,4794.0,0.0,38644.0,27561.768562744248,31207.0,0.0,9908.0,4969.634389926183,5010.0,0.0,91697.0,37426.677783478706,31667.0,0.0,9908.0,4849.1703437660335,4847.0,0.0,91697.0,38975.45407901488,32843.0,0.0,9908.0,5071.416623909698,5259.0,0.0,91697.0,43009.62331838565,39924.0,0.0,38644.0,27594.324151185137,31286.0,0.0,91697.0,46070.3670723895,44860.0,0.0,38644.0,28537.17873158232,31756.0,0.0,4.472164472475236e-06,2.158842060005952e-09,0.0,5.136656113898089e-06,2.1830821143481237e-09,0.0,2.532778433779751e-06,2.224990884759656e-09,0.0,0.026523078704230256,6.021785969796272e-07,0.0,0.00582815252205575,6.344266235308092e-07,0.0,0.0036827546668072126,2.6194878582417117e-06
