File name,Range x,Range y,Range z,Bit depth,Prop. empty sl. x,Prop. empty sl. y,Prop. empty sl. z,Ocup. voxels x (min),Ocup. voxels x (max),Ocup. voxels x (mean),Ocup. voxels x (median),Ocup. voxels y (min),Ocup. voxels y (max),Ocup. voxels y (mean),Ocup. voxels y (median),Ocup. voxels z (min),Ocup. voxels z (max),Ocup. voxels z (mean),Ocup. voxels z (median),Bottom hor. x (min),Bottom hor. x (max),Bottom hor. x (mean),Bottom hor. x (median),Bottom hor. y (min),Bottom hor. y (max),Bottom hor. y (mean),Bottom hor. y (median),Bottom hor. z (min),Bottom hor. z (max),Bottom hor. z (mean),Bottom hor. z (median),Bottom vert. x (min),Bottom vert. x (max),Bottom vert. x (mean),Bottom vert. x (median),Bottom vert. y (min),Bottom vert. y (max),Bottom vert. y (mean),Bottom vert. y (median),Bottom vert. z (min),Bottom vert. z (max),Bottom vert. z (mean),Bottom vert. z (median),Top  hor. x (min),Top  hor. x (max),Top  hor. x (mean),Top  hor. x (median),Top  hor. y (min),Top  hor. y (max),Top  hor. y (mean),Top  hor. y (median),Top  hor. z (min),Top  hor. z (max),Top  hor. z (mean),Top  hor. z (median),Top vert. x (min),Top vert. x (max),Top vert. x (mean),Top vert. x (median),Top vert. y (min),Top vert. y (max),Top vert. y (mean),Top vert. y (median),Top vert. z (min),Top vert. z (max),Top vert. z (mean),Top vert. z (median),Entropy x (min),Entropy x (max),Entropy x (mean),Entropy y (min),Entropy y (max),Entropy y (mean),Entropy z (min),Entropy z (max),Entropy z (mean),SR entropy x (min),SR entropy x (max),SR entropy x (mean),SR entropy y (min),SR entropy y (max),SR entropy y (mean),SR entropy z (min),SR entropy z (max),SR entropy z (mean)
file000,21906,97248,2740,17,0.9068790797461999,0.9769252125985871,0.7635899306822328,0,27,0.10836718856986352,0.0,0,48,0.02441156207261771,0.0,0,268,0.8661072601240423,0.0,0.0,97248.0,35367.1181372549,32909.0,0.0,2740.0,1326.839705882353,1370.0,15.0,97248.0,38176.48039215686,36056.5,0.0,2740.0,1415.6470588235295,1370.0,0.0,21906.0,11005.59714795009,11019.0,0.0,2740.0,1364.2326203208556,1370.0,0.0,21906.0,11077.819518716578,11088.5,0.0,2740.0,1381.3609625668448,1370.0,0.0,21906.0,10472.845679012345,10166.5,0.0,97248.0,33282.78240740741,35671.5,0.0,21906.0,11506.594135802468,11830.5,0.0,97248.0,37684.791666666664,37981.5,0.0,2.499620550364133e-06,1.1795323191384215e-08,0.0,1.7344246834070434e-05,1.0989295577310384e-08,0.0,3.0650322202820487e-06,1.1043984293190662e-08,0.0,0.041832442233207055,5.239419468046911e-06,0.0,0.026704970702600073,6.821072237016752e-07,0.0,0.0057117617702844205,9.456610102428922e-06
file001.ply,16397,97755,2038,17,0.9016953286986218,0.9825381562257048,0.575282000980873,0,20,0.10897670447615562,0.0,0,27,0.01828020786447891,0.0,0,163,0.8764100049043649,0.0,0.0,97755.0,48314.34429280397,49909.0,0.0,2038.0,1004.3964019851117,1017.0,0.0,97755.0,50211.69602977668,51835.0,0.0,2038.0,1033.985111662531,1017.0,0.0,16397.0,8158.410076157001,8176.0,0.0,2038.0,1015.5248974809607,1017.0,0.0,16397.0,8228.758640890452,8210.0,0.0,2038.0,1022.3274751025191,1017.0,0.0,16132.0,7335.076212471132,7163.5,0.0,93909.0,37454.235565819865,35922.5,238.0,16397.0,9112.321016166281,9226.0,0.0,97755.0,49735.005773672056,51161.0,0.0,2.4774990077475336e-06,1.572390340209999e-08,0.0,1.7509297508718403e-05,1.4361645481572966e-08,0.0,2.508761394545917e-06,1.6582678802359216e-08,0.0,0.004195785750468126,1.172866402700654e-06,0.0,0.0017192425366189816,5.195124283813213e-08,0.0,0.011164291953784,2.565932281757281e-05
file002.ply,11212,98271,5434,17,0.8615892267903327,0.979973949853468,0.8969641214351426,0,203,0.1852314278070097,0.0,0,49,0.021135216541843048,0.0,0,387,0.38215271389144434,0.0,0.0,98271.0,39455.5618556701,38120.5,0.0,5434.0,2608.173969072165,2557.5,0.0,98271.0,41501.5425257732,41063.5,0.0,5434.0,2759.8228092783506,2795.0,0.0,11212.0,6055.422256097561,6134.0,0.0,5434.0,2673.9278455284552,2741.0,0.0,11212.0,6106.998983739837,6187.0,0.0,5434.0,2713.018292682927,2795.0,0.0,11212.0,5933.8607142857145,5524.5,0.0,94152.0,21428.876785714285,18130.5,0.0,11212.0,6289.8625,6687.5,0.0,98271.0,22854.407142857144,20568.0,0.0,8.654223812048434e-06,9.997394648154156e-09,0.0,1.7438651927431416e-05,9.383342438233742e-09,0.0,8.03690912617658e-06,8.779982763888576e-09,0.0,0.011226526096180012,8.439631710233187e-06,0.0,0.022467202422121052,1.012562880194551e-06,0.0,0.01332248110516105,4.885012270628899e-06
file003.ply,10126,95803,5535,17,0.8399328527698232,0.9829443447037702,0.7460260115606936,0,5,0.1867285474474178,0.0,0,49,0.019738215523360195,0.0,0,6,0.34158236994219654,0.0,0.0,95803.0,26436.27452190006,19772.0,0.0,5506.0,2690.6162862430597,2724.0,0.0,95803.0,30749.691548426897,25283.0,11.0,5535.0,2873.2893275755705,2855.0,0.0,10126.0,4827.555079559364,4830.5,0.0,5535.0,2773.6988984088125,2768.5,380.0,10126.0,4887.8506731946145,4870.0,0.0,5535.0,2807.6970624235005,2782.0,0.0,10126.0,4554.349217638692,4460.5,0.0,95803.0,23495.0426742532,17218.0,380.0,10126.0,5189.825746799431,5191.5,0.0,95803.0,29673.682076813657,22054.5,0.0,2.649390370810881e-07,1.0605820590308527e-08,0.0,1.8851233651159187e-05,9.344713393973797e-09,0.0,1.7755868700524614e-07,1.0817463378829105e-08,0.0,0.04639138357369902,1.096625778640613e-05,0.0,0.0003953485235133855,3.131658016431403e-08,0.0,0.016840747579253204,8.386299619936977e-06
file004.ply,13368,98453,8740,17,0.8822649412820704,0.9777459524244825,0.8910879762040956,0,230,0.1767521878973745,0.0,0,99,0.024001056330875334,0.0,0,437,0.2703352019219769,0.0,0.0,98269.0,35667.12579415502,36399.5,0.0,8740.0,4231.764930114358,3893.5,19.0,98453.0,38607.967598475225,41005.5,0.0,8740.0,4544.1022871664545,4983.5,0.0,13368.0,6484.592879963487,6220.0,0.0,8740.0,4359.769055225925,4374.0,0.0,13368.0,6546.514376996805,6259.0,0.0,8740.0,4406.372889091739,4439.0,0.0,13368.0,6262.121848739495,5388.0,0.0,98453.0,36089.84768907563,39465.5,0.0,13368.0,6714.97794117647,6599.0,0.0,98453.0,38685.757352941175,41643.0,0.0,6.221256024625738e-06,5.963717004597853e-09,0.0,1.8310522662051103e-05,5.715208572846053e-09,0.0,7.6245647770757386e-06,5.5525609282758896e-09,0.0,0.012085778648977087,4.485649237913034e-06,0.0,0.013842013158048753,3.770942478660235e-07,0.0,0.006351595478178191,4.539183076720358e-06
file005.ply,11047,98953,2356,17,0.8609703113685735,0.9831942114517856,0.7394993635977938,0,3,0.15188269370021723,0.0,0,2,0.01695737413343574,0.0,0,292,0.7119219346627068,0.0,0.0,98953.0,39008.251953125,35620.5,0.0,2356.0,1099.2688802083333,1094.5,0.0,98953.0,41612.219401041664,39170.5,0.0,2356.0,1171.8079427083333,1180.0,0.0,11047.0,5498.199037883343,5402.0,0.0,2356.0,1128.4942874323513,1177.0,0.0,11047.0,5519.502104630186,5438.0,0.0,2356.0,1136.7618761274805,1178.0,0.0,11047.0,4641.442996742671,4467.0,0.0,90901.0,22760.677524429968,20416.5,0.0,11047.0,5366.0781758957655,5479.0,200.0,98953.0,26820.574918566774,25461.5,0.0,3.5571405255825616e-07,1.892821414218686e-08,0.0,1.9260213259683793e-06,1.6969691108614952e-08,0.0,6.217662366995744e-06,1.7937503060175264e-08,0.0,0.026255155476472763,5.39763982209153e-06,0.0,0.003778297960449144,1.1356185732895413e-07,0.0,0.0007663902641526063,1.0969456503571659e-06
file006.ply,23261,96137,4464,17,0.8997936548877998,0.9747654413447336,0.8232922732362822,0,4,0.1064826756082882,0.0,0,3,0.025765046079593918,0.0,0,767,0.5547592385218365,0.0,0.0,96137.0,40714.8253968254,37842.0,0.0,4464.0,2167.133419133419,2232.0,0.0,96137.0,41971.53710853711,39732.0,76.0,4464.0,2247.3925353925356,2232.0,0.0,23261.0,11387.615004122012,10903.5,0.0,4464.0,2190.2815333882936,2232.0,0.0,23261.0,11498.937757625721,11050.5,0.0,4464.0,2223.095630667766,2232.0,0.0,23261.0,11333.565272496831,10645.0,0.0,96137.0,50209.67046894803,57249.0,0.0,23261.0,12191.131812420786,11477.0,0.0,96137.0,53764.15969581749,61502.0,0.0,2.6203428755295757e-07,7.441908979845606e-09,0.0,7.650673813328143e-07,6.953545822736676e-09,0.0,7.860174618204693e-06,6.656392794785266e-09,0.0,0.01633276774893347,4.0305275223668765e-06,0.0,0.01775826174691168,5.18263860679902e-07,0.0,0.0005267507757573009,2.5097057489288453e-07
file007.ply,21103,97125,6740,17,0.9021512509476877,0.978522743652575,0.9164812342382436,0,66,0.1121114480667172,0.0,0,118,0.02436010954842164,0.0,0,592,0.3509865005192108,0.0,0.0,97125.0,40437.33317191283,33244.0,0.0,6740.0,3353.039225181598,3440.0,0.0,97125.0,43115.5205811138,37393.0,0.0,6740.0,3450.827118644068,3496.0,0.0,21103.0,11086.49904122723,11018.5,0.0,6740.0,3382.109300095877,3496.0,0.0,21103.0,11167.854745925215,11092.0,0.0,6740.0,3405.4060402684563,3496.0,0.0,21071.0,10352.0,9600.0,0.0,96697.0,28793.053285968028,25807.0,42.0,21103.0,10908.595026642985,9840.0,0.0,97125.0,31488.660746003552,25847.0,0.0,2.4883445234844154e-06,5.179712289386371e-09,0.0,1.795274953952444e-05,4.7618184223984304e-09,0.0,6.690725795911386e-06,4.426075755748917e-09,0.0,0.020273760303226106,4.887868287935263e-06,0.0,0.03250701229514579,1.3905234727900038e-06,0.0,0.002845019948083717,1.1455746191162411e-06
file008.ply,17041,98066,2366,17,0.8916793803544185,0.9799320872464744,0.7524292353189692,0,5,0.11735711770918907,0.0,0,2,0.020394220277973222,0.0,0,373,0.8449514152936206,0.0,0.0,98066.0,44386.56500541712,42997.0,0.0,2366.0,1152.5048754062839,1123.5,0.0,98066.0,46793.48537378115,46220.5,0.0,2366.0,1210.9377031419285,1244.0,0.0,17041.0,9631.310467479674,9744.5,0.0,2366.0,1180.924288617886,1195.0,0.0,17041.0,9690.356199186992,9854.5,0.0,2366.0,1194.114837398374,1213.5,0.0,17041.0,8989.9385665529,8246.5,0.0,98066.0,46316.387372013654,44926.5,0.0,17041.0,10683.110921501706,12597.0,0.0,98066.0,54894.10068259386,59509.5,0.0,5.79669115721139e-07,1.4698390064104205e-08,0.0,1.2746334564026948e-06,1.3486977390603534e-08,0.0,5.253321993911448e-06,1.3632139849443759e-08,0.0,0.004817804103938187,1.288157273230646e-06,0.0,0.008877949577821303,2.275283435630449e-07,0.0,0.0054406436036920835,4.613238272083709e-06
file009.ply,35094,93254,7706,17,0.9489385952414874,0.9762050292209533,0.878941222265473,0,215,0.06644821199601082,0.0,0,52,0.025006702053509196,0.0,0,388,0.3025820682496432,0.0,0.0,93254.0,38329.50725446428,32602.0,0.0,7706.0,3812.1612723214284,3539.5,0.0,93254.0,40358.61997767857,33393.5,0.0,7706.0,3981.1043526785716,4227.0,0.0,35094.0,17500.898602974314,17532.0,0.0,7706.0,3851.9049121225776,3788.0,0.0,35094.0,17744.51554754394,17734.0,0.0,7706.0,3920.073005858495,3937.0,0.0,35094.0,17160.128617363345,15931.0,0.0,93254.0,28905.592711682744,30506.0,0.0,35094.0,17846.411575562703,18593.0,0.0,93254.0,31046.78563772776,31039.0,0.0,6.914828789061682e-06,2.7129689865723363e-09,0.0,4.5666173358268485e-06,2.7055484003554514e-09,0.0,2.8987103605174823e-06,2.6089569410544697e-09,0.0,0.01803093312862205,2.9874781776200515e-06,0.0,0.01803093312862205,9.697915647073794e-07,0.0,0.010018950086916516,3.865229786412222e-06
