File name,Range x,Range y,Range z,Bit depth,Prop. empty sl. x,Prop. empty sl. y,Prop. empty sl. z,Ocup. voxels x (min),Ocup. voxels x (max),Ocup. voxels x (mean),Ocup. voxels x (median),Ocup. voxels y (min),Ocup. voxels y (max),Ocup. voxels y (mean),Ocup. voxels y (median),Ocup. voxels z (min),Ocup. voxels z (max),Ocup. voxels z (mean),Ocup. voxels z (median),Bottom hor. x (min),Bottom hor. x (max),Bottom hor. x (mean),Bottom hor. x (median),Bottom hor. y (min),Bottom hor. y (max),Bottom hor. y (mean),Bottom hor. y (median),Bottom hor. z (min),Bottom hor. z (max),Bottom hor. z (mean),Bottom hor. z (median),Bottom vert. x (min),Bottom vert. x (max),Bottom vert. x (mean),Bottom vert. x (median),Bottom vert. y (min),Bottom vert. y (max),Bottom vert. y (mean),Bottom vert. y (median),Bottom vert. z (min),Bottom vert. z (max),Bottom vert. z (mean),Bottom vert. z (median),Top  hor. x (min),Top  hor. x (max),Top  hor. x (mean),Top  hor. x (median),Top  hor. y (min),Top  hor. y (max),Top  hor. y (mean),Top  hor. y (median),Top  hor. z (min),Top  hor. z (max),Top  hor. z (mean),Top  hor. z (median),Top vert. x (min),Top vert. x (max),Top vert. x (mean),Top vert. x (median),Top vert. y (min),Top vert. y (max),Top vert. y (mean),Top vert. y (median),Top vert. z (min),Top vert. z (max),Top vert. z (mean),Top vert. z (median),Entropy x (min),Entropy x (max),Entropy x (mean),Entropy y (min),Entropy y (max),Entropy y (mean),Entropy z (min),Entropy z (max),Entropy z (mean),SR entropy x (min),SR entropy x (max),SR entropy x (mean),SR entropy y (min),SR entropy y (max),SR entropy y (mean),SR entropy z (min),SR entropy z (max),SR entropy z (mean)
file000,82466,47750,28530,17,0.9678901863775813,0.9455299365458315,0.9241176264414146,0,3,0.03284950343773873,0.0,0,4,0.05673179619274989,0.0,0,19,0.09494935333496898,0.0,0.0,47750.0,22958.2084592145,22688.5,0.0,28530.0,14515.583459214502,14506.5,0.0,47750.0,23144.6665407855,22901.5,0.0,28530.0,14583.28587613293,14566.5,0.0,82466.0,40037.294117647056,39533.0,0.0,28530.0,14511.600153787005,14481.0,0.0,82466.0,40866.814686658974,40707.0,0.0,28530.0,14621.133794694348,14617.0,0.0,82466.0,38102.51131639723,36551.0,0.0,47750.0,22375.862817551963,21760.0,58.0,82466.0,41777.48036951501,41556.0,42.0,47750.0,24221.315935334875,24284.0,0.0,6.650376854546053e-08,7.653222158781848e-10,0.0,5.1978255158592595e-08,7.834545821728169e-10,0.0,1.402584696296022e-07,7.910267603304262e-10,0.0,0.0012589334768768178,3.5967174544753414e-08,0.0,0.0006157037915093672,3.234867475032699e-08,0.0,0.0014620253253658764,1.5760925211615538e-07
file001.ply,90561,33754,23989,17,0.9700647070515227,0.9228262479632647,0.9162567736556899,0,8,0.030752412711733398,0.0,0,11,0.08250629536364983,0.0,0,29,0.11609003751563152,0.0,0.0,33754.0,16368.761342677979,16708.0,0.0,23989.0,12031.516414607157,12096.0,0.0,33754.0,16536.905569900406,16864.0,0.0,23989.0,12115.807451125047,12214.0,0.0,90561.0,45098.662955854124,45756.0,0.0,23989.0,11997.061804222649,12023.0,0.0,90561.0,46380.08445297505,47345.0,0.0,23989.0,12176.553166986565,12284.0,0.0,90561.0,44841.53160776506,44989.0,0.0,33754.0,15954.350920856148,16545.0,403.0,90561.0,48095.76754604281,49580.0,0.0,33754.0,17224.312593330014,17615.0,0.0,2.7696973842940306e-07,1.1764187290589523e-09,0.0,1.4683001283609904e-07,1.2271408383803382e-09,0.0,2.6651994380268043e-07,1.2163335365018788e-09,0.0,0.0075767519167268095,1.1060915488372922e-07,0.0,0.019217369049549637,1.094621304902877e-06,0.0,0.0012868131268169523,1.2559561506965037e-07
file002.ply,82744,48957,25534,17,0.9673333736177413,0.9468319784304915,0.9074603485412179,0,31,0.03399601184361593,0.0,0,31,0.057457412475999836,0.0,0,16,0.11016252202858821,0.0,0.0,48957.0,16790.37032926378,15685.0,0.0,25534.0,13206.735109137995,13307.0,0.0,48957.0,16936.751757306698,15846.0,0.0,25534.0,13299.110987791342,13384.0,0.0,82744.0,37704.55551286977,35939.0,0.0,25534.0,13113.41644256627,13110.0,0.0,82744.0,39267.09258547829,39936.0,0.0,25534.0,13421.950825970034,13562.0,0.0,82744.0,36948.80279305967,35629.0,0.0,48957.0,16747.64748201439,15750.0,0.0,82744.0,39416.94540837918,40872.0,93.0,48957.0,17710.318239526026,17247.0,0.0,6.622814990477531e-07,8.573559339390127e-10,0.0,4.02962663176791e-07,8.765528203458929e-10,0.0,1.1595407055871092e-07,8.952823130391715e-10,0.0,0.0073596831120372784,1.378164425629623e-07,0.0,0.0073596831120372784,3.120217434106557e-07,0.0,0.004151278560378553,2.6068861146736105e-07
file003.ply,89763,34434,23910,17,0.969520074862974,0.922869173805721,0.902388022249174,0,4,0.03123746713604563,0.0,0,6,0.08142877885871933,0.0,0,30,0.11726820291915854,0.0,0.0,34434.0,16117.104897660818,16538.5,0.0,23910.0,11180.708698830409,11187.5,0.0,34434.0,16264.527777777777,16672.5,0.0,23910.0,11255.414839181287,11267.5,0.0,89763.0,40294.74134036145,40174.5,0.0,23803.0,11127.006777108434,11127.0,0.0,89763.0,41396.26468373494,41489.0,0.0,23910.0,11292.90173192771,11321.5,0.0,89763.0,39382.36418166238,39023.5,0.0,34434.0,15802.28149100257,16100.5,56.0,89763.0,42430.05227077978,42589.5,324.0,34434.0,16803.655526992286,17564.5,0.0,1.4117338945459758e-07,1.176453610016644e-09,0.0,8.346358348092079e-08,1.2265767772282673e-09,0.0,2.7234904515437557e-07,1.231542577234076e-09,0.0,0.003499579936917873,6.063652037190298e-08,0.0,0.0037744527723584005,3.2658083788908636e-07,0.0,0.0006563960845697252,1.0730947929207062e-07
file004.ply,90233,33613,25377,17,0.9722942571536228,0.9308918902838104,0.926905193474663,0,63,0.031506970764900145,0.0,0,55,0.08457785446540132,0.0,0,53,0.11202616439435732,0.0,0.0,33613.0,16980.8028,16248.5,0.0,25377.0,12495.636,12123.5,0.0,33613.0,17171.4612,16586.5,0.0,25377.0,12666.9084,12490.5,0.0,90174.0,43835.004304778304,46669.0,0.0,25377.0,12331.064141196728,11904.0,0.0,90233.0,45054.721480843735,47246.0,0.0,25377.0,12742.126990959965,12475.0,0.0,90233.0,42413.53315363881,45487.0,0.0,33613.0,17235.71590296496,16541.0,0.0,90233.0,44319.21509433962,46580.0,110.0,33613.0,18141.22318059299,17738.0,0.0,1.8561607870898332e-06,1.1288626478679711e-09,0.0,6.425752074058956e-07,1.1746317032042035e-09,0.0,4.75511267043089e-07,1.1570859128326467e-09,0.0,0.008061526180002422,1.9819839415365624e-07,0.0,0.0024144739062062844,1.5799172127972215e-07,0.0,0.0003448648648777344,4.641496932636362e-08
file005.ply,88496,39698,19257,17,0.9697164875645502,0.9347338723897327,0.8957835704642226,0,6,0.030961501519825532,0.0,0,9,0.06901937076500668,0.0,0,78,0.14227853359642745,0.0,0.0,39698.0,17674.524253731342,17300.0,0.0,19009.0,9516.591791044777,9578.5,0.0,39698.0,17861.426119402986,17570.0,0.0,19257.0,9578.371641791045,9655.0,0.0,88496.0,43828.77692010807,46164.0,0.0,19257.0,9473.884600540332,9538.0,0.0,88496.0,45175.649942107295,47992.0,0.0,19257.0,9615.401389424933,9692.0,0.0,88496.0,42833.130543099156,44988.0,0.0,39698.0,17524.81813652217,17332.0,391.0,88496.0,46500.34828101644,49392.0,0.0,39698.0,19088.341305430993,19275.0,0.0,2.2263062187454921e-07,1.2515673206297075e-09,0.0,1.5282363266050444e-07,1.2955524239874326e-09,0.0,5.965033904795313e-07,1.3031684124627705e-09,0.0,0.0012168631284071056,1.8561981217421223e-08,0.0,0.0054220181179142485,2.4373721439692206e-07,0.0,0.0054220181179142485,3.5195934569141827e-07
file006.ply,83370,45586,27872,17,0.9672548008300248,0.9446333384517516,0.9228285437520181,0,4,0.03345287929855705,0.0,0,13,0.06117972228924913,0.0,0,32,0.10006099092311556,0.0,0.0,45586.0,20911.884981684983,20634.0,0.0,27872.0,14121.664835164835,14182.0,0.0,45586.0,21107.000732600733,20801.5,0.0,27872.0,14194.210622710623,14257.5,0.0,83370.0,37654.04318541997,37344.0,0.0,27872.0,14038.42908082409,14098.5,0.0,83370.0,38423.89381933439,38513.5,0.0,27872.0,14201.878763866878,14278.0,0.0,83370.0,37526.42119944212,40325.0,0.0,45586.0,20865.355648535566,20663.0,153.0,83370.0,40505.932589493255,42857.0,30.0,45586.0,22482.615527661554,22318.0,0.0,9.345041828258058e-08,8.330685201482343e-10,0.0,1.6142922837522029e-07,8.496457162858761e-10,0.0,2.379922050632913e-07,8.568222022273847e-10,0.0,0.009582433783655921,1.1952804934845525e-07,0.0,0.0075124794280507345,3.6176361652939386e-07,0.0,0.004398241764648907,2.422804735111202e-07
file007.ply,87758,40864,22917,17,0.9700429585569571,0.937966474978588,0.9087180382232306,0,9,0.030709101060859854,0.0,0,10,0.06594885598923284,0.0,0,21,0.11759315821624923,0.0,0.0,40864.0,19693.683910232026,19201.0,0.0,22917.0,11560.291745910992,11416.0,0.0,40864.0,19837.580448839864,19457.0,0.0,22917.0,11616.740585774058,11514.0,0.0,87758.0,42681.25364891519,45210.0,0.0,22917.0,11501.729783037475,11364.0,0.0,87758.0,43816.4,47464.0,0.0,22917.0,11656.899013806706,11556.0,0.0,87758.0,41399.385277246656,42835.0,0.0,40864.0,19460.363766730403,19433.0,58.0,87758.0,45364.28346080306,48955.0,82.0,40864.0,21171.550191204587,21807.0,0.0,2.698003043284554e-07,1.0226890012418953e-09,0.0,1.44318531343098e-07,1.0563244970638868e-09,0.0,1.685858177231159e-07,1.0671409514752557e-09,0.0,0.00036685473544691583,1.471262116755134e-08,0.0,0.00299243685662346,1.3624903151323905e-07,0.0,0.00024001628564377473,7.64168454793797e-08
file008.ply,87427,37870,27490,17,0.9693690808436657,0.9310818304243352,0.9173911461932996,0,8,0.03162602369950131,0.0,0,9,0.07301101106387474,0.0,0,14,0.10057837110327016,0.0,0.0,37870.0,19212.911874533234,19154.5,0.0,27490.0,14183.235250186706,13906.0,0.0,37870.0,19448.76213592233,19383.5,0.0,27490.0,14283.064600448095,14014.5,0.0,87427.0,43039.663601532564,43346.5,0.0,27490.0,14134.254406130269,13864.0,110.0,87427.0,44018.608812260536,44882.0,0.0,27490.0,14309.314559386974,14024.5,0.0,87400.0,41759.55878467635,41473.0,0.0,37870.0,18755.538969616908,18564.0,0.0,87427.0,44752.07970057244,45964.0,82.0,37870.0,20021.88639365918,19851.0,0.0,2.182142320655392e-07,9.516571393917547e-10,0.0,1.1022221908042409e-07,9.866826396322135e-10,0.0,1.2372126595473296e-07,9.90838584911962e-10,0.0,0.0037425701450175134,6.216008889364042e-08,0.0,0.011709980333926161,3.7822097047680997e-07,0.0,0.0022771439366654914,2.0025894951524587e-07
file009.ply,88736,40618,20754,17,0.9706886642550459,0.9426623008936704,0.9169356781498434,0,66,0.031159493785005127,0.0,0,129,0.06807159211206579,0.0,0,275,0.13322091062394603,0.0,0.0,40618.0,18519.103806228373,16863.0,0.0,20752.0,9557.618992695117,9695.0,0.0,40618.0,18774.103806228373,17214.0,0.0,20754.0,9676.971164936564,9952.0,0.0,88736.0,40796.886217260624,36446.0,0.0,20754.0,9586.452554744526,9808.0,0.0,88736.0,42008.40017174753,37510.0,0.0,20754.0,9845.480034349506,10219.0,0.0,88736.0,39659.361368909515,35033.0,0.0,40618.0,18175.56438515081,16187.5,0.0,88736.0,41651.90197215777,37048.5,0.0,40618.0,19134.89327146172,17665.0,0.0,1.961048097893678e-06,1.139876775180725e-09,0.0,1.7657659302553393e-06,1.1592070221722999e-09,0.0,1.9139878954354936e-06,1.1394985978175497e-09,0.0,0.005428211631254524,9.756935494766403e-08,0.0,0.010708971866280146,7.989191705159535e-07,0.0,0.001627227834389692,1.0970670027927582e-07
