File name,Range x,Range y,Range z,Bit depth,Prop. empty sl. x,Prop. empty sl. y,Prop. empty sl. z,Ocup. voxels x (min),Ocup. voxels x (max),Ocup. voxels x (mean),Ocup. voxels x (median),Ocup. voxels y (min),Ocup. voxels y (max),Ocup. voxels y (mean),Ocup. voxels y (median),Ocup. voxels z (min),Ocup. voxels z (max),Ocup. voxels z (mean),Ocup. voxels z (median),Bottom hor. x (min),Bottom hor. x (max),Bottom hor. x (mean),Bottom hor. x (median),Bottom hor. y (min),Bottom hor. y (max),Bottom hor. y (mean),Bottom hor. y (median),Bottom hor. z (min),Bottom hor. z (max),Bottom hor. z (mean),Bottom hor. z (median),Bottom vert. x (min),Bottom vert. x (max),Bottom vert. x (mean),Bottom vert. x (median),Bottom vert. y (min),Bottom vert. y (max),Bottom vert. y (mean),Bottom vert. y (median),Bottom vert. z (min),Bottom vert. z (max),Bottom vert. z (mean),Bottom vert. z (median),Top  hor. x (min),Top  hor. x (max),Top  hor. x (mean),Top  hor. x (median),Top  hor. y (min),Top  hor. y (max),Top  hor. y (mean),Top  hor. y (median),Top  hor. z (min),Top  hor. z (max),Top  hor. z (mean),Top  hor. z (median),Top vert. x (min),Top vert. x (max),Top vert. x (mean),Top vert. x (median),Top vert. y (min),Top vert. y (max),Top vert. y (mean),Top vert. y (median),Top vert. z (min),Top vert. z (max),Top vert. z (mean),Top vert. z (median),Entropy x (min),Entropy x (max),Entropy x (mean),Entropy y (min),Entropy y (max),Entropy y (mean),Entropy z (min),Entropy z (max),Entropy z (mean),SR entropy x (min),SR entropy x (max),SR entropy x (mean),SR entropy y (min),SR entropy y (max),SR entropy y (mean),SR entropy z (min),SR entropy z (max),SR entropy z (mean)
file0000,76978,17846,60209,17,0.9672767897738345,0.8826133243682411,0.9604882909815645,0,2,0.03346367191052105,0.0,0,10,0.14433798397489775,0.0,0,5,0.042783590765653544,0.0,0.0,17846.0,6417.349344978166,4946.0,0.0,60209.0,30043.333465660977,30056.0,0.0,17846.0,6453.132989281461,4993.0,0.0,60209.0,30289.21198888448,30236.0,0.0,76978.0,32655.243436754175,31598.0,0.0,60209.0,29058.123150357995,29804.0,0.0,76978.0,34944.829116945104,34239.0,723.0,60209.0,31315.178997613366,30585.0,0.0,76275.0,33231.71963009668,32806.0,0.0,17846.0,6279.080285834384,4804.0,0.0,76978.0,34546.97646069777,33695.0,0.0,17846.0,6491.445145018915,4953.0,0.0,5.666241352297436e-08,9.778295636628476e-10,0.0,6.52238954351374e-08,1.0316911052794095e-09,0.0,1.0727685844297213e-07,9.85184404915954e-10,0.0,0.0008003412688808997,3.911008305856651e-08,0.0,0.004911264102692233,4.4604641960528597e-07,0.0,0.0031835046461661234,1.9792223299842562e-07
file0001.ply,67612,23128,69620,17,0.9637939449514147,0.9029357084180034,0.9669783542322,0,46,0.03778859095144425,0.0,0,8,0.11046737861559082,0.0,0,46,0.03669869723215696,0.0,0.0,23128.0,5669.237336601307,5191.0,0.0,69620.0,34375.158088235294,34693.5,0.0,23128.0,5740.580473856209,5253.5,0.0,69620.0,34640.790849673205,34791.0,0.0,67207.0,29464.6859688196,31191.0,0.0,69620.0,33769.10111358575,34451.0,0.0,67612.0,31279.74075723831,32601.0,0.0,69620.0,35196.13273942094,35027.0,0.0,67207.0,29907.223575467593,31462.0,0.0,23128.0,5535.501522401044,5011.0,0.0,67612.0,31025.03436276642,32454.0,0.0,23128.0,5731.752066115702,5243.0,0.0,7.571267488134195e-07,7.481234657665502e-10,0.0,5.1961918780581286e-08,7.819473630740855e-10,0.0,7.783702631051497e-07,7.427964571314136e-10,0.0,0.0009283765019270274,4.879650709805847e-08,0.0,0.016560565820742553,2.383764680511493e-06,0.0,0.016560565820742553,6.925982692984371e-07
file0002.ply,65881,22501,70720,17,0.9623417625451565,0.9027641987378899,0.9659789878536785,0,6,0.039115388118150636,0.0,0,4,0.11452315349746689,0.0,0,19,0.03643896438115977,0.0,0.0,22501.0,5759.112454655381,4954.0,0.0,70720.0,35095.45062474808,35007.0,44.0,22501.0,5821.344216041919,5025.0,0.0,70720.0,35586.569931479244,35238.0,0.0,64598.0,30357.647166361974,32773.5,0.0,70720.0,34329.27742230347,34762.5,0.0,65881.0,32057.371572212065,34073.0,604.0,70720.0,36445.39488117002,35547.0,0.0,65526.0,31141.656275976726,33399.0,0.0,22286.0,5541.323358270989,4795.0,0.0,65881.0,32104.321280133,33958.0,44.0,22501.0,5735.359933499584,4932.5,0.0,1.1094388313136315e-07,7.8473815470049e-10,0.0,2.7094664846339576e-08,8.169340443962983e-10,0.0,3.5450300479986893e-07,7.802624824481913e-10,0.0,0.00039024420955143267,2.6126048612268e-08,0.0,0.01829905934920063,1.5831622622200971e-06,0.0,0.027525069328492566,5.9968365720706e-07
file0003.ply,70160,24197,66302,17,0.9646812331637235,0.9104058186626994,0.9649337134066331,0,13,0.03641624264192358,0.0,0,34,0.10558723861476155,0.0,0,22,0.0385352095681945,0.0,0.0,24197.0,7214.433414043584,6483.5,0.0,66302.0,32924.6400322841,33126.0,0.0,24197.0,7288.0682001614205,6541.0,0.0,66302.0,33252.06941081517,33246.0,0.0,70160.0,32046.22970479705,33991.0,0.0,66302.0,32348.03782287823,32910.0,0.0,70160.0,34030.74953874539,35320.5,0.0,66302.0,33782.948800738006,33528.0,0.0,70160.0,32642.212903225805,34284.0,0.0,24197.0,7110.086451612903,6464.0,0.0,70160.0,33760.052903225805,34978.0,0.0,24197.0,7302.26064516129,6584.0,0.0,2.2948226625064227e-07,7.252330199430977e-10,0.0,2.0808632604501336e-07,7.531743129503975e-10,0.0,3.582219354142828e-07,7.226556999636908e-10,0.0,0.0017765853311052689,4.432538221541766e-08,0.0,0.023392620960927937,4.4210867821505944e-06,0.0,0.023392620960927937,9.98518272461539e-07
file0004.ply,65932,22375,70028,17,0.9622798901915581,0.9010993922059349,0.965428608148053,0,8,0.03926713481867957,0.0,0,5,0.11570432606363962,0.0,0,19,0.03697039797798055,0.0,0.0,22375.0,5661.029754724568,4877.0,0.0,70028.0,34749.22758343386,34952.0,0.0,22375.0,5735.222356252513,4945.0,0.0,70028.0,35172.76397265782,35217.0,0.0,65932.0,30470.02756439223,32518.0,0.0,70028.0,33905.50248531406,34725.0,0.0,65932.0,32153.453230908268,33751.0,0.0,70028.0,35891.95752372345,35467.0,0.0,65786.0,30984.53862040479,32971.0,0.0,22375.0,5526.657992565056,4772.0,0.0,65932.0,31758.064849235852,33485.0,0.0,22375.0,5681.2085914911195,4862.0,0.0,1.4799540376551725e-07,7.992964931844761e-10,0.0,3.381377863784914e-08,8.32900440355625e-10,0.0,3.561335132425614e-07,7.952048589856603e-10,0.0,0.0018922619657371072,7.127391167509873e-08,0.0,0.01047492380948809,9.293490325372556e-07,0.0,0.017060541851996472,6.486019614090324e-07
file0005.ply,71552,19588,65958,17,0.9652285718278758,0.88978508346521,0.9641443927288164,0,6,0.03665814151747655,0.0,0,62,0.13390167951401297,0.0,0,9,0.03976712806440365,0.0,0.0,19588.0,5809.176848874598,5664.0,0.0,65958.0,32539.5691318328,32805.0,0.0,19588.0,5882.502009646302,5664.0,0.0,65958.0,32932.977893890675,32993.0,0.0,71552.0,35191.89069013432,36880.0,0.0,65958.0,31924.34043538675,32578.0,0.0,71552.0,37558.02918017601,39235.0,0.0,65958.0,33709.289022695695,33239.0,0.0,71303.0,36114.54926004228,37968.0,0.0,19588.0,5735.389852008457,5657.0,0.0,71552.0,37629.1044397463,38950.0,0.0,19588.0,5929.7737843551795,5728.0,0.0,1.3524693580561668e-07,8.964610170060809e-10,0.0,3.6289776075330444e-07,9.394351697196757e-10,0.0,1.8400809137865936e-07,8.964067687147814e-10,0.0,0.012476098160953238,5.254193258868943e-07,0.0,0.012476098160953238,1.8779367793602907e-06,0.0,0.010207989058920603,5.545609611280093e-07
file0006.ply,74834,21609,61419,17,0.9674884746442173,0.8989356779268857,0.9622924128948225,0,9,0.03394133760940736,0.0,0,13,0.11753817677001388,0.0,0,8,0.04135460761966786,0.0,0.0,21609.0,6738.855733662145,6409.0,0.0,61419.0,30512.354706124126,30665.0,0.0,21609.0,6814.986025482943,6483.0,0.0,61419.0,30889.872585285655,30978.0,0.0,74834.0,33128.90018315018,34807.5,0.0,61419.0,30063.557234432235,30246.5,0.0,74834.0,35363.13690476191,36060.0,0.0,61419.0,31342.00503663004,31243.0,0.0,74834.0,33819.86139896373,35140.0,0.0,21609.0,6645.135578583765,6375.0,0.0,74834.0,35231.8506044905,35941.5,4.0,21609.0,6842.4922279792745,6532.5,0.0,1.9378444631482276e-07,8.093334645744087e-10,0.0,8.439740175224818e-08,8.493477523683949e-10,0.0,1.43625095312455e-07,8.139267367922785e-10,0.0,0.00010092026799993776,1.5365475093450318e-08,0.0,0.022766872220322032,2.6820801685810334e-06,0.0,0.022766872220322032,8.759947479012634e-07
file0007.ply,78667,28702,51742,17,0.967369197132252,0.9590983520886318,0.9604970720677193,0,61,0.035338384095184826,0.0,0,781,0.0968539873880779,0.0,0,211,0.05372707419361073,0.0,0.0,28702.0,4651.304246201792,739.0,0.0,51742.0,25788.424620179198,25523.0,0.0,28702.0,4827.991429684456,739.0,0.0,51742.0,26124.055317491235,26099.0,0.0,78667.0,30500.27427597956,21377.5,0.0,51212.0,25656.833049403747,25501.0,0.0,78667.0,31727.138841567292,24260.0,0.0,51742.0,26061.119250425894,26098.5,0.0,78667.0,28997.73287671233,23286.0,0.0,28194.0,3475.5631115459882,739.0,0.0,78667.0,29811.12279843444,24708.5,0.0,28702.0,3629.8155577299412,739.0,0.0,1.067060911040264e-06,7.512353252440789e-10,0.0,4.558018954734092e-06,6.707578359041349e-10,0.0,2.3168804995382694e-06,7.318338355384364e-10,0.0,0.0369356068622223,9.844980078664714e-07,0.0,0.0037336318026964985,3.180181717771204e-07,0.0,0.04649154902761415,2.5065306453801096e-06
file0008.ply,69747,20757,67251,17,0.9608877673911796,0.9189709991328644,0.9643430678641527,0,20,0.0414635545105236,0.0,0,351,0.1393197803256576,0.0,0,88,0.04300243858918694,0.0,0.0,20692.0,7622.491202346041,7827.0,0.0,67251.0,33778.54472140763,33885.5,0.0,20757.0,7719.021994134898,7827.0,0.0,67251.0,34154.519061583575,34290.0,0.0,67817.0,26338.308561236623,23795.0,0.0,66884.0,33145.32164090368,33546.5,0.0,69747.0,27980.35850178359,25264.5,0.0,67251.0,34748.19322235434,34552.5,0.0,69747.0,25785.7035029191,23440.0,0.0,20757.0,7786.672226855713,7900.0,0.0,69747.0,26636.947039199335,24082.0,29.0,20757.0,7964.84612176814,8003.0,0.0,3.939699301226452e-07,9.405407112429226e-10,0.0,1.8792954495798185e-06,9.213899543316154e-10,0.0,1.5447105141870363e-06,9.239318487759428e-10,0.0,0.02707688868348268,1.008282323008637e-06,0.0,0.014776503563312223,1.068237548936725e-06,0.0,0.00330673749825639,1.7750570396213e-07
file0009.ply,73876,23984,62218,17,0.9664577608728021,0.9084010840108401,0.9636606181391536,0,4,0.034543904056742965,0.0,0,5,0.10639983322910153,0.0,0,51,0.04101640977836352,0.0,0.0,23984.0,5848.36803874092,5177.0,0.0,62218.0,30826.973365617432,31008.5,0.0,23984.0,5915.751008878127,5236.0,0.0,62218.0,31077.57949959645,31125.0,0.0,73876.0,33461.21392808375,36876.0,0.0,62195.0,30226.493400091033,30730.0,0.0,73876.0,35531.0063723259,38583.0,0.0,62218.0,31570.046426945835,31329.0,0.0,73220.0,34457.67492260062,37505.0,0.0,23984.0,5620.9765590446705,4867.0,282.0,73876.0,35745.7952233525,38171.0,0.0,23984.0,5852.544007076514,5086.0,0.0,8.019071780731192e-08,7.374600373095651e-10,0.0,3.395878585427209e-08,7.695795081188189e-10,0.0,7.625205584139652e-07,7.355419350252603e-10,0.0,0.003423959698471411,1.0751121484445278e-07,0.0,0.002584651098570304,5.362486398616859e-07,0.0,0.006920980789765757,5.054188413034931e-07
