File name,Range x,Range y,Range z,Bit depth,Prop. empty sl. x,Prop. empty sl. y,Prop. empty sl. z,Ocup. voxels x (min),Ocup. voxels x (max),Ocup. voxels x (mean),Ocup. voxels x (median),Ocup. voxels y (min),Ocup. voxels y (max),Ocup. voxels y (mean),Ocup. voxels y (median),Ocup. voxels z (min),Ocup. voxels z (max),Ocup. voxels z (mean),Ocup. voxels z (median),Bottom hor. x (min),Bottom hor. x (max),Bottom hor. x (mean),Bottom hor. x (median),Bottom hor. y (min),Bottom hor. y (max),Bottom hor. y (mean),Bottom hor. y (median),Bottom hor. z (min),Bottom hor. z (max),Bottom hor. z (mean),Bottom hor. z (median),Bottom vert. x (min),Bottom vert. x (max),Bottom vert. x (mean),Bottom vert. x (median),Bottom vert. y (min),Bottom vert. y (max),Bottom vert. y (mean),Bottom vert. y (median),Bottom vert. z (min),Bottom vert. z (max),Bottom vert. z (mean),Bottom vert. z (median),Top  hor. x (min),Top  hor. x (max),Top  hor. x (mean),Top  hor. x (median),Top  hor. y (min),Top  hor. y (max),Top  hor. y (mean),Top  hor. y (median),Top  hor. z (min),Top  hor. z (max),Top  hor. z (mean),Top  hor. z (median),Top vert. x (min),Top vert. x (max),Top vert. x (mean),Top vert. x (median),Top vert. y (min),Top vert. y (max),Top vert. y (mean),Top vert. y (median),Top vert. z (min),Top vert. z (max),Top vert. z (mean),Top vert. z (median),Entropy x (min),Entropy x (max),Entropy x (mean),Entropy y (min),Entropy y (max),Entropy y (mean),Entropy z (min),Entropy z (max),Entropy z (mean),SR entropy x (min),SR entropy x (max),SR entropy x (mean),SR entropy y (min),SR entropy y (max),SR entropy y (mean),SR entropy z (min),SR entropy z (max),SR entropy z (mean)
file000,96276,6293,24314,17,0.9748538072436823,0.8895773752780426,0.9045856467201316,0,2,0.025499340444758354,0.0,0,864,0.3900540197013028,0.0,0,4,0.1009664815957228,0.0,0.0,6293.0,1332.9343246592318,1841.0,0.0,24314.0,11936.350268484097,11929.0,0.0,6293.0,1347.2527881040892,1857.0,0.0,24314.0,12037.005782734408,12026.0,0.0,96276.0,43859.29496402878,27810.0,0.0,24308.0,11498.001438848922,11402.0,0.0,96276.0,47310.44316546762,46197.0,0.0,24314.0,12140.808633093526,12138.0,0.0,96276.0,46611.244827586204,46475.5,0.0,6293.0,1300.8094827586208,1711.0,0.0,96276.0,48474.651293103445,49248.5,0.0,6293.0,1382.3133620689655,1857.0,0.0,3.611116889675499e-07,4.766060112261961e-09,0.0,8.41948289497783e-06,4.291294535386482e-09,0.0,1.8890361605412137e-07,5.08280847422893e-09,0.0,0.017143068628455552,5.757775679743619e-07,0.0,0.002430521565024319,4.552823881466141e-07,0.0,0.022134869320894136,3.641354090586754e-06
file001.ply,96433,12262,22409,17,0.9753821266358338,0.8750713528500367,0.9005354752342705,0,2,0.02505340440093743,0.0,0,221,0.19701541221560792,0.0,0,38,0.10780901383311021,0.0,0.0,12262.0,7855.575400168492,8406.0,0.0,22409.0,11167.362679022746,11122.0,0.0,12262.0,7890.850463352991,8424.5,0.0,22409.0,11316.139427127211,11337.0,0.0,96433.0,44434.90208877285,36173.5,0.0,22409.0,10529.90404699739,10171.5,0.0,96433.0,51125.45039164491,56619.5,0.0,22409.0,12419.500652741513,13071.5,0.0,96433.0,46862.62943023777,45401.0,0.0,12205.0,7795.849259757739,8312.0,0.0,96433.0,48693.82009869897,48962.0,0.0,12262.0,7894.086137281292,8424.0,0.0,2.0724265886478467e-07,2.6840624306680855e-09,0.0,2.522214492357218e-06,2.7914785552552653e-09,0.0,8.462024507627345e-07,2.857279630311206e-09,0.0,0.011135814846809667,1.6815584766995599e-07,0.0,0.0023861422429902438,2.4249305376814554e-06,0.0,0.002356895409733587,4.5012185019355814e-07
file002.ply,95299,1292,29350,17,0.9758761804826862,0.7726218097447796,0.9197983032946067,0,16,0.025561385099685204,0.0,0,1057,1.8839907192575407,0.0,0,3,0.08299546863820653,0.0,0.0,1292.0,637.9782514136581,604.0,0.0,29350.0,14513.754675946064,14265.0,0.0,1292.0,652.6520226185298,746.0,0.0,29350.0,14714.444106133102,14568.0,0.0,95299.0,43436.72448979592,40457.0,0.0,29349.0,13368.520408163266,12247.5,73.0,95299.0,48486.30272108843,47743.5,31.0,29350.0,14641.659863945579,15163.0,0.0,95299.0,47047.62829226848,46291.5,0.0,1292.0,635.03525913339,606.5,0.0,95299.0,48232.01189464741,48064.5,0.0,1292.0,657.3857264231096,751.0,0.0,9.53668337047045e-06,1.7796879908453085e-08,0.0,8.607548098013079e-06,1.6229077871085477e-08,0.0,6.508796906557238e-07,1.902846044335414e-08,0.0,0.00517004157611138,2.9676060188944037e-07,0.0,8.80493746442192e-06,2.6768578367084734e-08,0.0,0.02298620934496855,2.8775613620216023e-06
file003.ply,96199,11910,24561,17,0.9771829521829521,0.8555117118629838,0.9159270417718427,0,2,0.023264033264033264,0.0,0,8,0.18789354378305767,0.0,0,14,0.09111635860271965,0.0,0.0,11910.0,8613.480182232346,10254.0,0.0,24561.0,12052.044646924829,12125.0,0.0,11910.0,8659.57312072893,10268.0,0.0,24561.0,12232.419134396356,12262.0,0.0,96199.0,44329.79372457873,37182.0,0.0,24561.0,11375.521208599652,11187.0,0.0,96199.0,51176.42417199303,56635.0,0.0,24561.0,13035.365485183032,13203.0,0.0,96199.0,47273.521549636804,46178.0,0.0,11910.0,8634.169007263923,10256.0,0.0,96199.0,49357.89588377724,49645.0,0.0,11910.0,8783.282324455206,10291.0,0.0,1.9529012455174278e-07,2.3480816672190815e-09,0.0,1.0015161166294524e-07,2.549873639817849e-09,0.0,3.387977013738105e-07,2.4913756265865556e-09,0.0,0.006396584361805312,1.3028546158318272e-07,0.0,0.0011475773607810933,3.363010759227239e-07,0.0,0.005291395622855432,3.273433248699282e-07
file004.ply,94436,14378,27463,17,0.9754439467581563,0.9176576952500174,0.9226259831051559,0,3,0.02512786301979097,0.0,0,576,0.16503233882745671,0.0,0,37,0.08640401980774833,0.0,0.0,14378.0,9722.60715825787,11423.0,0.0,27463.0,13340.805088400173,13387.0,0.0,14378.0,9801.96162138853,11423.0,0.0,27463.0,13548.03967227253,13481.0,0.0,94436.0,45308.69256756757,35794.0,0.0,27463.0,13105.921452702703,13075.5,0.0,94436.0,48851.97635135135,57991.5,0.0,27463.0,13961.136824324325,13882.0,0.0,94436.0,46643.78352941176,45723.0,0.0,14378.0,9617.091764705883,11423.0,0.0,94436.0,48730.684705882355,50170.0,0.0,14378.0,9787.964235294117,11423.0,0.0,2.1585955683002996e-07,1.905924562918593e-09,0.0,5.228978305161086e-06,1.8309707188407802e-09,0.0,7.240270753288941e-07,2.0007982247751754e-09,0.0,0.010596962018092178,1.2095176256619385e-07,0.0,0.0007195280462378892,7.310017370066737e-08,0.0,0.009416904029764906,1.939002912822425e-06
file005.ply,95547,6948,27817,17,0.9728618076778164,0.7671607425528854,0.9115321015170034,0,6,0.027682421400761922,0.0,0,8,0.3806303065189236,0.0,0,21,0.09508232079948235,0.0,0.0,6948.0,4322.566139606633,4478.0,0.0,27817.0,14060.080215966062,14357.0,0.0,6948.0,4335.792132664867,4498.0,0.0,27817.0,14215.276128037023,14523.0,0.0,95547.0,41611.10630407911,33452.0,0.0,27817.0,12921.1217552534,12898.5,0.0,95547.0,54343.152657601975,61154.0,0.0,27817.0,15092.66501854141,15512.5,0.0,95547.0,47569.70174725721,47550.0,0.0,6948.0,4312.022348638765,4472.0,479.0,95547.0,49317.831775700935,50017.0,0.0,6948.0,4358.405932547745,4518.0,0.0,8.189257949614103e-07,4.1424749732433525e-09,0.0,8.954364516231828e-08,4.5585958031311655e-09,0.0,8.336232114102349e-07,4.376401077745731e-09,0.0,0.0007365137317829266,2.733756521420033e-08,0.0,0.004416216022720768,2.4452095799773054e-06,0.0,0.010537672356063772,8.503866718058903e-07
file006.ply,97037,11031,20244,17,0.9753601681815371,0.9170594633792604,0.8875771795505063,0,3,0.025082957192027865,0.0,0,719,0.2206308919506889,0.0,0,4,0.12022721659669054,0.0,0.0,11031.0,7760.387285654538,8006.0,0.0,20244.0,10094.542032622334,9908.0,38.0,11031.0,7794.287327478042,8090.0,0.0,20244.0,10199.14303638645,10104.0,0.0,97037.0,46713.44043715847,31827.0,0.0,20244.0,9863.22950819672,9817.0,0.0,97037.0,49896.502732240435,57489.0,0.0,20244.0,10423.628415300547,10371.0,0.0,97037.0,47197.961775043936,46325.0,0.0,11031.0,7712.469683655536,7872.5,156.0,97037.0,49191.59841827768,49620.0,0.0,11031.0,7825.260984182777,8229.5,0.0,3.7062863485460394e-07,3.27282011046419e-09,0.0,8.353498431839289e-06,2.997781133842952e-09,0.0,1.0999617211260725e-07,3.515935205373756e-09,0.0,0.016783905598139887,6.397431285402603e-07,0.0,0.010339628716620527,3.757279274875822e-06,0.0,0.02047932611372591,6.1320683537643346e-06
file007.ply,95578,11033,26145,17,0.9764069513177581,0.8851731013231829,0.9204849690201178,0,3,0.02409525104887057,0.0,0,354,0.2087185064346565,0.0,0,11,0.0880823070450547,0.0,0.0,10823.0,6743.8332594235035,7386.0,0.0,26145.0,12837.874057649668,12994.0,0.0,11033.0,6799.427494456762,7445.0,0.0,26145.0,13009.788913525499,13115.0,0.0,95073.0,49133.28966061563,58343.0,0.0,26145.0,12211.3591160221,12387.0,0.0,95578.0,53803.16890292028,69185.0,0.0,26145.0,13550.329913180742,13612.0,0.0,95073.0,47386.52236652237,48526.0,0.0,11033.0,6697.087542087542,7260.0,0.0,95578.0,50031.98316498317,53453.0,0.0,11033.0,6841.184704184704,7488.0,0.0,2.907680228521579e-07,2.4642167856228273e-09,0.0,3.4272009881012913e-06,2.4676443224972117e-09,0.0,2.9160370392991605e-07,2.6029713687180506e-09,0.0,0.01213669600546964,3.450335588104966e-07,0.0,0.005223773076047735,1.7020876834961028e-06,0.0,0.0045274043031474686,8.712939072182244e-07
file008.ply,93736,13773,31890,17,0.9725615285319564,0.8857993320749238,0.9220156156909473,0,3,0.02792920618325741,0.0,0,35,0.19006824451865834,0.0,0,5,0.08209212630522718,0.0,0.0,13773.0,9886.524105754277,10822.5,0.0,31890.0,15779.571928460342,15731.0,0.0,13773.0,9940.701788491446,10936.5,0.0,31890.0,15956.187791601866,15955.5,0.0,93736.0,37871.89701207883,27831.0,0.0,31890.0,14161.200890019072,12881.0,41.0,93736.0,48119.40495867769,52326.0,0.0,31890.0,17736.462809917357,19000.0,0.0,93736.0,45986.574587856856,46068.0,0.0,13773.0,9877.647366304785,10780.0,0.0,93736.0,47525.05508644954,48786.0,0.0,13773.0,10007.197828709288,11040.0,0.0,1.9510874715494174e-07,1.914932341483305e-09,0.0,3.253770026450531e-07,2.023146695671095e-09,0.0,1.1380217189735122e-07,2.009474747633027e-09,0.0,0.0011317452931394949,3.0696519185472795e-08,0.0,0.002288140533493241,1.866354507794933e-06,0.0,0.009153039579585034,6.021195619771151e-07
file009.ply,95584,12088,26248,17,0.9767432128472041,0.8470510381338406,0.9195016953026782,0,2,0.023842653135952293,0.0,0,5,0.1885184878815452,0.0,0,16,0.08682235513733856,0.0,0.0,12088.0,8394.358074673864,9861.0,0.0,26248.0,12827.9779577148,12925.0,0.0,12088.0,8472.186684660368,9884.0,0.0,26248.0,13052.420152946468,13154.0,0.0,95584.0,45178.613304488914,41896.0,0.0,26248.0,12283.746349378041,12133.0,0.0,95584.0,50974.943212547325,56392.0,0.0,26248.0,13734.42022714981,13985.0,0.0,95584.0,47229.95125414103,47215.0,0.0,12088.0,8420.431140558449,9878.0,0.0,95584.0,49157.52626597255,50463.0,0.0,12088.0,8543.130619971604,9980.0,0.0,1.8078722443454112e-07,2.226667587303993e-09,0.0,6.047251776294107e-08,2.4237033917935937e-09,0.0,3.8145154398396795e-07,2.355868203794819e-09,0.0,0.0024830185025738,6.238110353927967e-08,0.0,0.0056593347753472086,1.0676918421450334e-06,0.0,0.002892433624560269,3.729717910465324e-07
